Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.053,JAX,,IND,W 27-20,,0,,,0,0,0,0,0%,0,0%,5,21%,
2,2020,2020-09-20,2,2,22.060,JAX,@,TEN,L 30-33,,0,,,0,0,0,1,1%,0,0%,5,18%,
3,2020,2020-09-24,3,3,22.064,JAX,,MIA,L 13-31,,0,,,0,0,0,0,0%,0,0%,2,9%,
4,2020,2020-10-04,4,4,22.074,JAX,@,CIN,L 25-33,,0,,,0,0,0,0,0%,0,0%,6,19%,
5,2020,2020-10-11,5,5,22.081,JAX,@,HOU,L 14-30,,0,,,0,0,0,0,0%,0,0%,4,17%,
6,2020,2020-10-18,6,6,22.088,JAX,,DET,L 16-34,,0,,,0,0,0,55,86%,0,0%,3,12%,
7,2020,2020-10-25,7,7,22.095,JAX,@,LAC,L 29-39,,0,,,0,0,0,30,48%,0,0%,1,3%,
8,2020,2020-11-08,8,9,22.109,JAX,,HOU,L 25-27,,0,,,0,0,0,0,0%,0,0%,4,13%,
9,2020,2020-11-15,9,10,22.116,JAX,@,GNB,L 20-24,,0,,,0,0,0,0,0%,0,0%,4,13%,
10,2020,2020-11-22,10,11,22.123,JAX,,PIT,L 3-27,,0,,,0,0,0,0,0%,0,0%,2,7%,
11,2020,2020-11-29,11,12,22.130,JAX,,CLE,L 25-27,,0,,,0,0,0,34,52%,0,0%,5,19%,
12,2020,2020-12-06,12,13,22.137,JAX,@,MIN,L 24-27,,0,,,0,0,0,29,41%,0,0%,4,12%,
13,2020,2020-12-13,13,14,22.144,JAX,,TEN,L 10-31,*,0,,,0,0,0,71,100%,0,0%,3,12%,
14,2020,2020-12-20,14,15,,JAX,@,BAL,L 14-40,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
15,2020,2020-12-27,15,16,,JAX,,CHI,L 17-41,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
