Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,SFO,,ARI,L 20-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2020,2020-09-20,2,2,22.187,SFO,@,NYJ,W 31-13,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,72%,0,0%,0,0%,
3,2020,2020-09-27,3,3,22.194,SFO,@,NYG,W 36-9,*,8,5,70,14.00,0,62.5%,8.75,3,31,10.33,1,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,71%,0,0%,0,0%,
4,2020,2020-10-04,4,4,22.201,SFO,,PHI,L 20-25,*,5,2,18,9.00,0,40.0%,3.60,1,38,38.00,1,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,88%,0,0%,0,0%,
5,2020,2020-10-11,5,5,22.208,SFO,,MIA,L 17-43,*,6,3,44,14.67,0,50.0%,7.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,
6,2020,2020-10-18,6,6,22.215,SFO,,LAR,W 24-16,*,3,2,12,6.00,1,66.7%,4.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,85%,0,0%,0,0%,
7,2020,2020-10-25,7,7,22.222,SFO,@,NWE,W 33-6,*,7,6,115,19.17,0,85.7%,16.43,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,76%,0,0%,0,0%,
8,2020,2020-11-01,8,8,22.229,SFO,@,SEA,L 27-37,*,10,8,91,11.38,1,80.0%,9.10,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,1,5,0,63,90%,0,0%,0,0%,
9,2020,2020-11-05,9,9,,SFO,,GNB,L 17-34,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
10,2020,2020-11-15,10,10,22.243,SFO,@,NOR,L 13-27,*,14,7,75,10.71,1,50.0%,5.36,1,-8,-8.00,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,96%,0,0%,0,0%,
11,2020,2020-11-29,11,12,,SFO,@,LAR,W 23-20,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
12,2020,2020-12-07,12,13,22.265,SFO,,BUF,L 24-34,,9,5,95,19.00,1,55.6%,10.56,0,0,,0,1,16,16.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,87%,0,0%,1,4%,
13,2020,2020-12-13,13,14,22.271,SFO,,WAS,L 15-23,*,16,10,119,11.90,0,62.5%,7.44,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,91%,0,0%,2,6%,
14,2020,2020-12-20,14,15,22.278,SFO,@,DAL,L 33-41,*,13,9,73,8.11,1,69.2%,5.62,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,80,95%,0,0%,1,3%,
15,2020,2020-12-26,15,16,22.284,SFO,@,ARI,W 20-12,*,2,1,15,15.00,0,50.0%,7.50,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,93%,0,0%,1,4%,
16,2020,2021-01-03,16,17,,SFO,,SEA,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2021,2021-09-12,1,1,23.179,SFO,@,DET,W 41-33,,0,0,0,,0,0.0%,,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,47%,0,0%,1,3%,
18,2021,2021-09-19,2,2,23.186,SFO,@,PHI,W 17-11,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,1,13,13.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,54%,0,0%,2,10%,
19,2021,2021-09-26,3,3,23.193,SFO,,GNB,L 28-30,*,6,4,37,9.25,1,66.7%,6.17,1,8,8.00,0,2,23,11.50,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,86%,0,0%,3,11%,
