Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,SFO,,ARI,L 20-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2020,2020-09-20,2,2,24.042,SFO,@,NYJ,W 31-13,,8,13%,0,0%,5,19%,
3,2020,2020-09-27,3,3,24.049,SFO,@,NYG,W 36-9,,6,8%,0,0%,7,30%,
4,2020,2020-10-04,4,4,24.056,SFO,,PHI,L 20-25,,0,0%,0,0%,2,8%,
5,2020,2020-10-11,5,5,24.063,SFO,,MIA,L 17-43,,0,0%,0,0%,3,9%,
6,2020,2020-10-18,6,6,24.070,SFO,,LAR,W 24-16,,0,0%,0,0%,4,15%,
7,2020,2020-10-25,7,7,24.077,SFO,@,NWE,W 33-6,,0,0%,0,0%,6,29%,
8,2020,2020-11-01,8,8,24.084,SFO,@,SEA,L 27-37,,0,0%,0,0%,3,10%,
9,2020,2020-11-05,9,9,24.088,SFO,,GNB,L 17-34,,21,37%,0,0%,3,11%,
10,2020,2020-11-15,10,10,24.098,SFO,@,NOR,L 13-27,,23,32%,0,0%,3,11%,
11,2020,2020-11-29,11,12,24.112,SFO,@,LAR,W 23-20,*,72,100%,0,0%,7,20%,
12,2020,2020-12-07,12,13,24.120,SFO,,BUF,L 24-34,,27,44%,0,0%,4,17%,
13,2020,2020-12-13,13,14,24.126,SFO,,WAS,L 15-23,*,81,100%,0,0%,1,3%,
14,2020,2020-12-20,14,15,,SFO,@,DAL,L 33-41,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
15,2020,2020-12-26,15,16,24.139,SFO,@,ARI,W 20-12,,27,48%,0,0%,5,21%,
16,2020,2021-01-03,16,17,24.147,SFO,,SEA,L 23-26,*,36,55%,0,0%,5,16%,
17,2021,2021-09-12,1,1,,SFO,@,DET,W 41-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
