Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,21.341,SFO,@,DET,W 41-33,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,90,98%,4,13%,
2,2021,2021-09-19,2,2,21.348,SFO,@,PHI,W 17-11,*,0.0,3,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,56,97%,2,10%,
3,2021,2021-09-26,3,3,21.355,SFO,,GNB,L 28-30,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,71%,12,44%,
4,2021,2021-10-03,4,4,21.362,SFO,,SEA,L 21-28,,,,,,,,,,,,,,,,,,0,0%,0,0%,22,71%,
5,2021,2021-10-10,5,5,22.004,SFO,@,ARI,L 10-17,,,,,,,,,,,,,,,,,,0,0%,0,0%,14,74%,
6,2021,2021-10-24,6,7,,SFO,,IND,L 18-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2021,2021-10-31,7,8,,SFO,@,CHI,W 33-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2021,2021-11-07,8,9,,SFO,,ARI,L 17-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2021,2021-11-15,9,10,22.040,SFO,,LAR,W 31-10,,,,,,,,,,,,,,,,,,0,0%,0,0%,8,35%,
10,2021,2021-11-21,10,11,22.046,SFO,@,JAX,W 30-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,17%,6,26%,
11,2021,2021-11-28,11,12,22.053,SFO,,MIN,W 34-26,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,43%,
12,2021,2021-12-05,12,13,22.060,SFO,@,SEA,L 23-30,,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,36%,14,48%,
13,2021,2021-12-12,13,14,22.067,SFO,@,CIN,W 26-23,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,7%,28,83%,
14,2021,2021-12-19,14,15,22.074,SFO,,ATL,W 31-13,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,63%,
15,2021,2021-12-23,15,16,22.078,SFO,@,TEN,L 17-20,,,,,,,,,,,,,,,,,,0,0%,0,0%,12,52%,
16,2021,2022-01-02,16,17,22.088,SFO,,HOU,W 23-7,,,,,,,,,,,,,,,,,,0,0%,8,12%,12,48%,
17,2021,2022-01-09,17,18,,SFO,@,LAR,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2022,2022-09-11,1,1,22.340,SFO,@,CHI,L 10-19,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,13,54%,
19,2022,2022-09-18,2,2,22.347,SFO,,SEA,W 27-7,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,52%,
20,2022,2022-09-25,3,3,22.354,SFO,@,DEN,L 10-11,,0.0,3,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,35,47%,17,61%,
21,2022,2022-10-03,4,4,22.362,SFO,,LAR,W 24-9,*,1.0,5,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,74,100%,9,36%,
22,2022,2022-10-09,5,5,23.003,SFO,@,CAR,W 37-15,,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,75%,7,25%,
23,2022,2022-10-16,6,6,23.010,SFO,@,ATL,L 14-28,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,98%,4,18%,
24,2022,2022-10-23,7,7,23.017,SFO,,KAN,L 23-44,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,91%,13,46%,
25,2022,2022-10-30,8,8,23.024,SFO,@,LAR,W 31-14,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,4,17%,
26,2022,2022-11-13,9,10,23.038,SFO,,LAC,W 22-16,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,6,21%,
27,2022,2022-11-21,10,11,23.046,SFO,@,ARI,W 38-10,*,0.0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,96%,3,12%,
28,2022,2022-11-27,11,12,23.052,SFO,,NOR,W 13-0,*,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,96%,3,18%,
29,2022,2022-12-04,12,13,23.059,SFO,,MIA,W 33-17,*,0.0,1,0,1,0,0,1,8,0,1,0,0,0,0,0,0,0,0%,46,100%,3,10%,
30,2022,2022-12-11,13,14,23.066,SFO,,TAM,W 35-7,*,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,75,99%,2,10%,
31,2022,2022-12-15,14,15,23.070,SFO,@,SEA,W 21-13,*,0.0,9,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,6,21%,
32,2022,2022-12-24,15,16,23.079,SFO,,WAS,W 37-20,*,0.0,6,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,67,92%,2,7%,
33,2022,2023-01-01,16,17,23.087,SFO,@,LVR,W 37-34,*,0.0,4,3,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,67,96%,5,15%,
34,2022,2023-01-08,17,18,23.094,SFO,,ARI,W 38-13,*,0.0,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,100%,2,8%,
35,2023,2023-09-10,1,1,23.339,SFO,@,PIT,W 30-7,*,0.0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,87%,3,12%,
36,2023,2023-09-17,2,2,23.346,SFO,@,LAR,W 30-23,*,0.0,8,2,10,0,0,1,21,0,1,0,0,0,0,0,0,0,0%,77,96%,8,29%,
37,2023,2023-09-21,3,3,23.350,SFO,,NYG,W 30-12,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,100%,2,7%,
38,2023,2023-10-01,4,4,23.360,SFO,,ARI,W 35-16,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,85%,3,14%,
39,2023,2023-10-08,5,5,24.002,SFO,,DAL,W 42-10,*,0.0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,37,76%,2,7%,
40,2023,2023-10-15,6,6,24.009,SFO,@,CLE,L 17-19,*,0.0,4,1,5,0,0,1,28,0,1,0,0,0,0,0,0,0,0%,72,95%,4,13%,
41,2023,2023-10-23,7,7,24.017,SFO,@,MIN,L 17-22,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,69,99%,7,32%,
42,2023,2023-10-29,8,8,24.023,SFO,,CIN,L 17-31,*,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,6,24%,
43,2023,2023-11-12,9,10,24.037,SFO,@,JAX,W 34-3,*,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,93%,1,4%,
44,2023,2023-11-19,10,11,24.044,SFO,,TAM,W 27-14,*,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,2,9%,
45,2023,2023-11-23,11,12,24.048,SFO,@,SEA,W 31-13,*,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,5,17%,
46,2023,2023-12-03,12,13,24.058,SFO,@,PHI,W 42-19,*,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,100%,3,12%,
47,2023,2023-12-10,13,14,24.065,SFO,,SEA,W 28-16,*,0.0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,59,100%,3,11%,
48,2023,2023-12-17,14,15,24.072,SFO,@,ARI,W 45-29,*,0.0,8,1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,76%,4,13%,
49,2023,2023-12-25,15,16,24.080,SFO,,BAL,L 19-33,*,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,97%,7,26%,
50,2023,2023-12-31,16,17,24.086,SFO,@,WAS,W 27-10,*,0.0,2,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0%,42,91%,2,10%,
51,2023,2024-01-07,17,18,24.093,SFO,,LAR,L 20-21,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,34%,1,5%,
52,2024,2024-09-09,1,1,24.339,SFO,,NYJ,W 32-19,*,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,51,100%,1,4%,
53,2024,2024-09-15,2,2,24.345,SFO,@,MIN,L 17-23,*,0.0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,5,22%,
54,2024,2024-09-22,3,3,24.352,SFO,@,LAR,L 24-27,*,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,98%,6,22%,
55,2024,2024-09-29,4,4,24.359,SFO,,NWE,W 30-13,*,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,64,100%,6,23%,
56,2024,2024-10-06,5,5,25.000,SFO,,ARI,L 23-24,*,0.0,3,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,97%,5,21%,
57,2024,2024-10-10,6,6,25.004,SFO,@,SEA,W 36-24,*,0.0,6,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,75,96%,5,17%,
58,2024,2024-10-20,7,7,25.014,SFO,,KAN,L 18-28,*,0.0,6,2,8,0,0,1,33,0,1,0,0,0,0,0,0,0,0%,70,100%,5,21%,
59,2024,2024-10-27,8,8,25.021,SFO,,DAL,W 30-24,*,0.0,5,1,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0%,61,98%,5,17%,
60,2024,2024-11-10,9,10,25.035,SFO,@,TAM,W 23-20,*,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,4,14%,
61,2024,2024-11-17,10,11,25.042,SFO,,SEA,L 17-20,*,0.0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,98%,4,19%,
62,2024,2024-11-24,11,12,25.049,SFO,@,GNB,L 10-38,*,0.0,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,93%,5,20%,
