Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.106,SFO,@,TAM,W 31-17,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,81%,13,52%,
2,2019,2019-09-15,2,2,22.113,SFO,@,CIN,W 41-17,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,29%,23,74%,
3,2019,2019-09-22,3,3,22.120,SFO,,PIT,W 24-20,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,19%,21,78%,
4,2019,2019-10-07,4,5,22.135,SFO,,CLE,W 31-3,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,28%,19,68%,
5,2019,2019-10-13,5,6,22.141,SFO,@,LAR,W 20-7,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,8%,19,73%,
6,2019,2019-10-20,6,7,22.148,SFO,@,WAS,W 9-0,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,31%,9,56%,
7,2019,2019-10-27,7,8,22.155,SFO,,CAR,W 51-13,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,43%,24,75%,
8,2019,2019-10-31,8,9,22.159,SFO,@,ARI,W 28-25,*,0,0,1.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,48%,22,85%,
9,2019,2019-11-11,9,10,22.170,SFO,,SEA,L 24-27,*,0,0,0.0,3,5,8,0,0,1,47,0,1,0,0,0,0,0,0,0,0%,70,96%,9,26%,
10,2019,2019-11-17,10,11,22.176,SFO,,ARI,W 36-26,*,0,0,0.0,8,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,97%,2,8%,
11,2019,2019-11-24,11,12,22.183,SFO,,GNB,W 37-8,*,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,92%,4,15%,
12,2019,2019-12-01,12,13,22.190,SFO,@,BAL,L 17-20,*,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,98%,2,10%,
13,2019,2019-12-08,13,14,22.197,SFO,@,NOR,W 48-46,*,0,0,0.0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,99%,5,14%,
14,2019,2019-12-15,14,15,22.204,SFO,,ATL,L 22-29,*,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,97%,1,3%,
15,2019,2019-12-21,15,16,22.210,SFO,,LAR,W 34-31,*,0,0,0.0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,100%,4,11%,
16,2019,2019-12-29,16,17,22.218,SFO,@,SEA,W 26-21,*,0,0,0.0,11,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,74,99%,2,9%,
17,2020,2020-09-13,1,1,23.111,SFO,,ARI,L 20-24,,0,0,0.0,3,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,35,43%,23,82%,
18,2020,2020-09-20,2,2,23.118,SFO,@,NYJ,W 31-13,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,26%,17,63%,
19,2020,2020-09-27,3,3,,SFO,@,NYG,W 36-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2020,2020-10-04,4,4,,SFO,,PHI,L 20-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2020,2020-10-11,5,5,23.139,SFO,,MIA,L 17-43,,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,52%,13,41%,
22,2020,2020-10-18,6,6,23.146,SFO,,LAR,W 24-16,*,0,0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,100%,10,37%,
23,2020,2020-10-25,7,7,23.153,SFO,@,NWE,W 33-6,*,0,0,1.0,3,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,77%,1,5%,
24,2020,2020-11-01,8,8,23.160,SFO,@,SEA,L 27-37,*,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,97%,4,14%,
25,2020,2020-11-05,9,9,23.164,SFO,,GNB,L 17-34,*,0,0,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,97%,4,15%,
26,2020,2020-11-15,10,10,23.174,SFO,@,NOR,L 13-27,*,0,0,0.0,7,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,93%,8,29%,
27,2020,2020-11-29,11,12,23.188,SFO,@,LAR,W 23-20,*,0,0,0.0,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,95%,10,29%,
28,2020,2020-12-07,12,13,23.196,SFO,,BUF,L 24-34,*,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,97%,1,4%,
