Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,23.133,SFO,@,DET,W 41-33,,19,104,5.47,1,0,0,0,,0,0.0%,,1,6,35,64%,0,0%,2,6%,
2,2021,2021-09-19,2,2,23.140,SFO,@,PHI,W 17-11,*,17,42,2.47,0,2,2,11,5.50,0,100.0%,5.50,0,0,43,61%,0,0%,0,0%,
3,2021,2021-09-26,3,3,,SFO,,GNB,L 28-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2021,2021-10-03,4,4,,SFO,,SEA,L 21-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2021,2021-10-10,5,5,23.161,SFO,@,ARI,L 10-17,*,9,43,4.78,0,2,2,19,9.50,0,100.0%,9.50,0,0,44,68%,0,0%,0,0%,
6,2021,2021-10-24,6,7,23.175,SFO,,IND,L 18-30,*,18,107,5.94,1,0,0,0,,0,0.0%,,1,6,37,66%,0,0%,0,0%,
7,2021,2021-10-31,7,8,23.182,SFO,@,CHI,W 33-22,*,18,137,7.61,1,0,0,0,,0,0.0%,,1,6,36,64%,0,0%,0,0%,
8,2021,2021-11-07,8,9,23.189,SFO,,ARI,L 17-31,*,8,36,4.50,0,5,5,43,8.60,0,100.0%,8.60,0,0,39,66%,0,0%,0,0%,
9,2021,2021-11-15,9,10,23.197,SFO,,LAR,W 31-10,*,27,91,3.37,0,0,0,0,,0,0.0%,,0,0,36,53%,0,0%,1,4%,
10,2021,2021-11-21,10,11,,SFO,@,JAX,W 30-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2021,2021-11-28,11,12,23.210,SFO,,MIN,W 34-26,*,27,133,4.93,1,6,5,35,7.00,0,83.3%,5.83,1,6,49,70%,0,0%,0,0%,
