Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,21.294,SFO,@,MIN,L 16-24,*,0,0,0.0,11,1,12,1,1,0,0,0,1,0,0,1,0,0,0,0,0%,71,100%,11,39%,
2,2018,2018-09-16,2,2,21.301,SFO,,DET,W 30-27,*,0,0,0.0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,77,100%,14,41%,
3,2018,2018-09-23,3,3,21.308,SFO,@,KAN,L 27-38,*,0,0,0.0,9,2,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0%,75,100%,14,50%,
4,2018,2018-09-30,4,4,21.315,SFO,@,LAC,L 27-29,*,0,0,0.0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,15,47%,
5,2018,2018-10-07,5,5,21.322,SFO,,ARI,L 18-28,*,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,100%,12,44%,
6,2018,2018-10-15,6,6,21.330,SFO,@,GNB,L 30-33,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,12,36%,
7,2018,2018-10-21,7,7,21.336,SFO,,LAR,L 10-39,*,0,0,0.0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,13,43%,
8,2018,2018-10-28,8,8,21.343,SFO,@,ARI,L 15-18,*,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,66,100%,5,19%,
9,2018,2018-11-01,9,9,21.347,SFO,,OAK,W 34-3,*,0,0,0.0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,51,89%,0,0%,
10,2018,2018-11-12,10,10,21.358,SFO,,NYG,L 23-27,*,0,0,0.0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,59,100%,3,10%,
11,2018,2018-11-25,11,12,22.006,SFO,@,TAM,L 9-27,*,0,0,0.0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,72,99%,0,0%,
12,2018,2018-12-02,12,13,22.013,SFO,@,SEA,L 16-43,*,0,0,0.0,2,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,98%,2,7%,
13,2018,2018-12-09,13,14,22.020,SFO,,DEN,W 20-14,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,100%,1,4%,
14,2018,2018-12-16,14,15,22.027,SFO,,SEA,W 26-23,*,0,0,0.0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,75,100%,2,6%,
15,2018,2018-12-23,15,16,22.034,SFO,,CHI,L 9-14,*,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,4,21%,
16,2018,2018-12-30,16,17,22.041,SFO,@,LAR,L 32-48,*,0,0,0.0,9,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,93%,3,10%,
17,2019,2019-09-08,1,1,22.293,SFO,@,TAM,W 31-17,*,0,0,0.0,7,2,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,69,100%,1,4%,
18,2019,2019-09-15,2,2,22.300,SFO,@,CIN,W 41-17,*,0,0,0.0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,78%,2,6%,
19,2019,2019-09-22,3,3,22.307,SFO,,PIT,W 24-20,*,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,100%,2,7%,
20,2019,2019-10-07,4,5,22.322,SFO,,CLE,W 31-3,*,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,46,100%,1,4%,
