Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,24.310,IND,,CIN,L 23-34,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,72%,
2,2018,2018-09-16,2,2,24.317,IND,@,WAS,W 21-9,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,76%,
3,2018,2018-09-23,3,3,24.324,IND,@,PHI,L 16-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,82%,
4,2018,2018-09-30,4,4,24.331,IND,,HOU,L 34-37,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,59%,
5,2018,2018-10-04,5,5,24.335,IND,@,NWE,L 24-38,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,9,13%,25,81%,
6,2018,2018-10-14,6,6,24.345,IND,@,NYJ,L 34-42,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,83%,
7,2018,2018-10-21,7,7,24.352,IND,,BUF,W 37-5,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,18,75%,
8,2018,2018-10-28,8,8,24.359,IND,@,OAK,W 42-28,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,20,77%,
9,2018,2018-11-11,9,10,25.008,IND,,JAX,W 29-26,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,23,79%,
10,2018,2018-11-18,10,11,25.015,IND,,TEN,W 38-10,*,0.0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,9,35%,
11,2018,2018-11-25,11,12,25.022,IND,,MIA,W 27-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,69%,
12,2018,2018-12-02,12,13,25.029,IND,@,JAX,L 0-6,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,18,90%,
13,2018,2018-12-09,13,14,25.036,IND,@,HOU,W 24-21,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,21%,20,69%,
14,2018,2018-12-16,14,15,25.043,IND,,DAL,W 23-0,,0.0,5,0,5,0,0,1,14,0,1,0,0,0,0,0,0,0,0%,39,57%,7,47%,
15,2018,2018-12-23,15,16,25.050,IND,,NYG,W 28-27,,0.0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,67%,3,11%,
16,2018,2018-12-30,16,17,25.057,IND,@,TEN,W 33-17,*,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,26,53%,8,27%,
17,2019,2019-09-08,1,1,25.309,IND,@,LAC,L 24-30,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,20,77%,
18,2019,2019-09-15,2,2,25.316,IND,@,TEN,W 19-17,,,,,,,,,,,,0,,,0,0,0,0,0%,1,2%,23,89%,
19,2019,2019-09-22,3,3,25.323,IND,,ATL,W 27-24,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,77%,
20,2019,2019-09-29,4,4,25.330,IND,,OAK,L 24-31,,,,,,,,,,,,0,,,0,0,0,0,0%,11,17%,25,84%,
21,2019,2019-10-06,5,5,25.337,IND,@,KAN,W 19-13,*,0.0,6,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,61,100%,16,64%,
22,2019,2019-10-20,6,7,25.351,IND,,HOU,W 30-23,,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,43%,24,86%,
23,2019,2019-10-27,7,8,25.358,IND,,DEN,W 15-13,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,48%,25,83%,
