Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,,1,,DEN,,SEA,W 27-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2018,2018-09-16,,2,,DEN,,OAK,W 20-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2018,2018-09-23,3,3,22.215,DEN,@,BAL,L 14-27,,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,43%,11,39%,
4,2018,2018-10-01,4,4,22.223,DEN,,KAN,L 23-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,5,6%,9,32%,
5,2018,2018-10-07,5,5,22.229,DEN,@,NYJ,L 16-34,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,29%,10,31%,
6,2018,2018-10-14,6,6,22.236,DEN,,LAR,L 20-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,8,11%,9,32%,
7,2018,2018-10-18,7,7,22.240,DEN,@,ARI,W 45-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,12%,18,56%,
8,2018,2018-10-28,8,8,22.250,DEN,@,KAN,L 23-30,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,55%,
9,2018,2018-11-04,9,9,22.257,DEN,,HOU,L 17-19,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,68%,
10,2018,2018-11-18,10,11,22.271,DEN,@,LAC,W 23-22,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,17,65%,
11,2018,2018-11-25,11,12,22.278,DEN,,PIT,W 24-17,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,29%,20,74%,
