Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2015,2015-09-13,,1,,OAK,,CIN,L 13-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2015,2015-09-20,,2,,OAK,,BAL,W 37-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2015,2015-09-27,,3,,OAK,@,CLE,W 27-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2015,2015-10-04,,4,,OAK,@,CHI,L 20-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2015,2015-10-11,,5,,OAK,,DEN,L 10-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2015,2015-10-25,,7,,OAK,@,SDG,W 37-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2015,2015-11-01,,8,,OAK,,NYJ,W 34-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2015,2015-11-08,,9,,OAK,@,PIT,L 35-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2015,2015-11-15,,10,,OAK,,MIN,L 14-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2015,2015-11-22,10,11,23.285,OAK,@,DET,L 13-18,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,1,4%,
11,2015,2015-11-29,11,12,23.292,OAK,@,TEN,W 24-21,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,4,15%,
12,2015,2015-12-06,12,13,23.299,OAK,,KAN,L 20-34,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,6,22%,
13,2015,2015-12-13,,14,,OAK,@,DEN,W 15-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2015,2015-12-20,14,15,23.313,OAK,,GNB,L 20-30,*,0,0,,0,0,0,0,0,0,0,60,78%,0,0%,4,12%,
15,2015,2015-12-24,15,16,23.317,OAK,,SDG,W 23-20,*,0,0,,0,0,0,0,0,0,0,70,100%,0,0%,3,9%,
16,2015,2016-01-03,16,17,23.327,OAK,@,KAN,L 17-23,*,0,0,,0,0,0,0,1,0,0,57,100%,0,0%,3,10%,
17,2016,2016-09-11,1,1,24.214,OAK,@,NOR,W 35-34,,0,0,,0,0,0,0,0,0,0,24,33%,0,0%,3,10%,
18,2016,2016-09-18,2,2,24.221,OAK,,ATL,L 28-35,,0,0,,0,0,0,0,0,0,0,1,1%,0,0%,5,17%,
19,2016,2016-09-25,3,3,24.228,OAK,@,TEN,W 17-10,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,3,12%,
20,2016,2016-10-02,4,4,24.235,OAK,@,BAL,W 28-27,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,8,24%,
21,2016,2016-10-09,5,5,24.242,OAK,,SDG,W 34-31,,0,0,,0,0,0,0,0,0,0,1,1%,0,0%,13,43%,
22,2016,2016-10-16,6,6,24.249,OAK,,KAN,L 10-26,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,9,39%,
23,2016,2016-10-23,7,7,24.256,OAK,@,JAX,W 33-16,,0,0,,0,0,0,0,0,0,0,1,1%,0,0%,11,31%,
24,2016,2016-10-30,8,8,24.263,OAK,@,TAM,W 30-24,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,12,35%,
25,2016,2016-11-06,9,9,24.270,OAK,,DEN,W 30-20,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,10,31%,
26,2016,2016-11-21,10,11,24.285,OAK,,HOU,W 27-20,,0,0,,0,0,0,0,0,0,0,2,4%,0,0%,10,38%,
27,2016,2016-11-27,11,12,24.291,OAK,,CAR,W 35-32,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,11,34%,
28,2016,2016-12-04,12,13,24.298,OAK,,BUF,W 38-24,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,11,33%,
29,2016,2016-12-08,13,14,24.302,OAK,@,KAN,L 13-21,,0,0,,0,0,0,0,0,0,0,9,12%,0,0%,8,28%,
30,2016,2016-12-18,14,15,24.312,OAK,@,SDG,W 19-16,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,9,35%,
31,2016,2016-12-24,15,16,24.318,OAK,,IND,W 33-25,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,8,30%,
32,2016,2017-01-01,16,17,24.326,OAK,@,DEN,L 6-24,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,5,19%,
33,2017,2017-09-10,1,1,25.212,OAK,@,TEN,W 26-16,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,11,37%,
34,2017,2017-09-17,2,2,25.219,OAK,,NYJ,W 45-20,,0,0,,0,0,0,0,0,0,0,1,2%,0,0%,11,37%,
35,2017,2017-09-24,3,3,25.226,OAK,@,WAS,L 10-27,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,8,28%,
36,2017,2017-10-01,4,4,25.233,OAK,@,DEN,L 10-16,,1,15,15.00,0,0,0,0,0,0,0,0,0%,0,0%,7,25%,
37,2017,2017-10-08,5,5,25.240,OAK,,BAL,L 17-30,*,0,0,,0,0,0,0,0,0,0,56,100%,0,0%,3,11%,
38,2017,2017-10-15,6,6,25.247,OAK,,LAC,L 16-17,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,7,32%,
39,2017,2017-10-19,7,7,25.251,OAK,,KAN,W 31-30,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,14,44%,
40,2017,2017-10-29,8,8,25.261,OAK,@,BUF,L 14-34,,0,0,,0,0,0,0,0,0,0,1,2%,0,0%,9,33%,
41,2017,2017-11-05,9,9,25.268,OAK,@,MIA,W 27-24,,0,0,,0,0,0,0,0,0,0,3,5%,0,0%,9,35%,
42,2017,2017-11-19,10,11,25.282,OAK,,NWE,L 8-33,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,7,32%,
43,2017,2017-11-26,11,12,25.289,OAK,,DEN,W 21-14,,0,0,,0,0,0,0,0,0,0,63,93%,0,0%,6,22%,
44,2017,2017-12-03,12,13,25.296,OAK,,NYG,W 24-17,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,7,25%,
45,2017,2017-12-10,,14,,OAK,@,KAN,L 15-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2017,2017-12-17,14,15,25.310,OAK,,DAL,L 17-20,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,9,38%,
47,2017,2017-12-25,,16,,OAK,@,PHI,L 10-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
