Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.295,CLE,@,BAL,L 6-38,,,,,,,,,,,,0,0%,26,44%,1,4%,
2,2020,2020-09-17,2,2,22.299,CLE,,CIN,W 35-30,,0.0,0,1,1,0,0,0,0,0,0,0,0%,34,37%,2,7%,
3,2020,2020-09-27,3,3,22.309,CLE,,WAS,W 34-20,,0.0,0,1,1,0,0,0,0,0,0,0,0%,22,34%,1,4%,
4,2020,2020-10-04,4,4,22.316,CLE,@,DAL,W 49-38,,0.0,0,1,1,0,0,0,0,0,0,0,0%,31,38%,0,0%,
5,2020,2020-10-11,5,5,22.323,CLE,,IND,W 32-23,,,,,,,,,,,,0,0%,9,16%,1,4%,
6,2020,2020-10-18,6,6,22.330,CLE,@,PIT,L 7-38,,,,,,,,,,,,0,0%,21,32%,1,4%,
7,2020,2020-10-25,7,7,22.337,CLE,@,CIN,W 37-34,,0.0,0,1,1,0,0,0,0,0,0,0,0%,16,21%,0,0%,
8,2020,2020-11-01,8,8,22.344,CLE,,LVR,L 6-16,,0.0,2,2,4,0,0,0,0,0,0,0,0%,24,33%,0,0%,
9,2020,2020-11-15,9,10,22.358,CLE,,HOU,W 10-7,,,,,,,,,,,,0,0%,18,32%,1,6%,
10,2020,2020-11-22,10,11,22.365,CLE,,PHI,W 22-17,,0.0,1,0,1,0,0,0,0,0,0,0,0%,17,25%,1,3%,
11,2020,2020-11-29,11,12,23.006,CLE,@,JAX,W 27-25,,0.0,2,0,2,0,0,0,0,0,0,0,0%,18,28%,2,8%,
12,2020,2020-12-06,12,13,23.013,CLE,@,TEN,W 41-35,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,23,32%,0,0%,
13,2020,2020-12-14,13,14,23.021,CLE,,BAL,L 42-47,,0.0,0,1,1,0,0,0,0,0,0,0,0%,9,15%,0,0%,
14,2020,2020-12-20,14,15,23.027,CLE,@,NYG,W 20-6,,,,,,,,,,,,0,0%,11,20%,0,0%,
15,2020,2020-12-27,15,16,23.034,CLE,@,NYJ,L 16-23,,0.0,0,2,2,0,0,0,0,0,0,0,0%,12,17%,1,3%,
16,2020,2021-01-03,16,17,23.041,CLE,,PIT,W 24-22,,,,,,,,,,,,0,0%,16,24%,0,0%,
17,2021,2021-09-12,1,1,23.293,CLE,@,KAN,L 29-33,,0.0,0,0,0,0,1,0,0,0,0,0,0%,27,42%,5,21%,
18,2021,2021-09-19,2,2,23.300,CLE,,HOU,W 31-21,,0.0,1,0,1,0,0,0,0,0,0,0,0%,24,39%,2,8%,
19,2021,2021-09-26,3,3,23.307,CLE,,CHI,W 26-6,,,,,,,,,,,,0,0%,12,27%,1,4%,
20,2021,2021-10-03,4,4,23.314,CLE,@,MIN,W 14-7,,,,,,,,,,,,0,0%,15,22%,1,5%,
21,2021,2021-10-10,5,5,23.321,CLE,@,LAC,L 42-47,,0.0,0,1,1,0,0,0,0,0,0,0,0%,24,32%,6,19%,
22,2021,2021-10-17,6,6,23.328,CLE,,ARI,L 14-37,,0.0,1,1,2,0,0,0,0,0,0,0,0%,21,28%,4,17%,
23,2021,2021-10-21,7,7,23.332,CLE,,DEN,W 17-14,,0.0,1,1,2,0,0,0,0,0,0,0,0%,23,46%,2,10%,
24,2021,2021-10-31,8,8,23.342,CLE,,PIT,L 10-15,,0.0,1,2,3,0,1,0,0,0,1,0,0%,36,49%,2,11%,
25,2021,2021-11-07,9,9,23.349,CLE,@,CIN,W 41-16,,0.0,0,3,3,0,1,0,0,0,0,0,0%,38,51%,1,4%,
26,2021,2021-11-14,10,10,23.356,CLE,@,NWE,L 7-45,,0.0,2,0,2,0,0,0,0,0,0,0,0%,39,58%,5,22%,
27,2021,2021-11-21,11,11,23.363,CLE,,DET,W 13-10,,,,,,,,,,,,0,0%,25,52%,3,14%,
28,2021,2021-11-28,12,12,24.005,CLE,@,BAL,L 10-16,,0.5,1,2,3,0,1,0,0,0,0,0,0%,42,52%,5,21%,
29,2021,2021-12-12,13,14,24.019,CLE,,BAL,W 24-22,*,,,,,,,,,,,0,0%,31,42%,3,10%,
30,2021,2021-12-20,14,15,24.027,CLE,,LVR,L 14-16,*,0.0,1,4,5,0,0,0,0,0,0,0,0%,38,55%,4,15%,
31,2021,2021-12-25,15,16,,CLE,@,GNB,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2021,2022-01-03,16,17,24.041,CLE,@,PIT,L 14-26,,0.0,1,0,1,0,0,0,0,0,0,0,0%,33,41%,4,13%,
33,2021,2022-01-09,17,18,24.047,CLE,,CIN,W 21-16,*,0.0,1,2,3,0,0,0,0,0,0,0,0%,36,67%,2,8%,
34,2022,2022-09-11,1,1,24.292,CLE,@,CAR,W 26-24,*,0.0,0,1,1,0,0,0,0,0,0,0,0%,41,77%,10,31%,
35,2022,2022-09-18,2,2,24.299,CLE,,NYJ,L 30-31,*,0.0,0,1,1,0,0,0,0,0,0,0,0%,47,67%,11,37%,
36,2022,2022-09-22,3,3,24.303,CLE,,PIT,W 29-17,*,0.0,2,0,2,1,0,0,0,0,0,0,0%,40,68%,10,36%,
37,2022,2022-10-02,4,4,24.313,CLE,@,ATL,L 20-23,*,1.0,3,0,3,1,1,0,0,0,0,0,0%,50,91%,9,35%,
38,2022,2022-10-09,5,5,24.320,CLE,,LAC,L 28-30,*,0.0,0,2,2,0,0,0,0,0,0,0,0%,48,68%,12,44%,
39,2022,2022-10-16,6,6,24.327,CLE,,NWE,L 15-38,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,50,71%,11,38%,
40,2022,2022-10-23,7,7,24.334,CLE,@,BAL,L 20-23,*,0.0,2,1,3,0,0,0,0,0,0,0,0%,49,77%,10,37%,
41,2022,2022-10-31,8,8,24.342,CLE,,CIN,W 32-13,*,,,,,,,,,,,0,0%,28,53%,9,39%,
42,2022,2022-11-13,9,10,24.355,CLE,@,MIA,L 17-39,*,0.0,0,0,0,0,0,0,0,0,0,0,0%,34,49%,9,39%,
43,2022,2022-11-20,10,11,24.362,CLE,@,BUF,L 23-31,*,0.0,2,1,3,1,0,0,0,0,0,0,0%,43,66%,10,33%,
44,2022,2022-11-27,11,12,25.004,CLE,,TAM,W 23-17,*,1.0,2,1,3,1,1,0,0,0,0,0,0%,34,49%,8,26%,
45,2022,2022-12-04,12,13,25.011,CLE,@,HOU,W 27-14,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,38,58%,7,23%,
46,2022,2022-12-11,13,14,25.018,CLE,@,CIN,L 10-23,*,0.0,0,3,3,0,1,0,0,0,0,0,0%,41,61%,6,25%,
47,2022,2022-12-17,14,15,25.024,CLE,,BAL,W 13-3,*,0.0,1,1,2,0,0,0,0,0,0,0,0%,40,63%,10,56%,
48,2022,2022-12-24,15,16,25.031,CLE,,NOR,L 10-17,*,0.0,2,1,3,1,0,0,0,0,0,0,0%,42,78%,6,27%,
49,2022,2023-01-01,16,17,25.039,CLE,@,WAS,W 24-10,*,0.0,2,0,2,0,0,0,0,0,0,0,0%,31,45%,7,33%,
50,2022,2023-01-08,17,18,25.046,CLE,@,PIT,L 14-28,*,0.0,1,3,4,0,0,0,0,0,2,0,0%,47,64%,6,27%,
51,2023,2023-09-10,1,1,25.291,CLE,,CIN,W 24-3,*,0.0,0,1,1,0,0,0,0,0,0,0,0%,26,46%,11,35%,
52,2023,2023-09-18,2,2,25.299,CLE,@,PIT,L 22-26,*,0.0,0,1,1,0,0,0,0,0,0,0,0%,24,44%,11,36%,
53,2023,2023-09-24,3,3,25.305,CLE,,TEN,W 27-3,*,,,,,,,,,,,0,0%,16,33%,7,29%,
54,2023,2023-10-01,4,4,25.312,CLE,,BAL,L 3-28,*,0.5,0,2,2,0,1,0,0,0,0,0,0%,29,50%,5,18%,
55,2023,2023-10-15,5,6,25.326,CLE,,SFO,W 19-17,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,27,44%,11,35%,
56,2023,2023-10-22,6,7,25.333,CLE,@,IND,W 39-38,*,1.0,2,1,3,1,1,0,0,0,0,0,0%,32,46%,8,20%,
57,2023,2023-10-29,7,8,25.340,CLE,@,SEA,L 20-24,*,0.0,2,0,2,1,0,0,0,0,0,0,0%,27,47%,6,23%,
58,2023,2023-11-05,8,9,25.347,CLE,,ARI,W 27-0,*,1.0,1,0,1,1,1,0,0,0,0,0,0%,17,33%,8,29%,
59,2023,2023-11-12,9,10,25.354,CLE,@,BAL,W 33-31,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,25,46%,7,23%,
60,2023,2023-11-19,10,11,25.361,CLE,,PIT,W 13-10,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,25,43%,5,17%,
61,2023,2023-11-26,11,12,26.003,CLE,@,DEN,L 12-29,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,27,40%,6,23%,
62,2023,2023-12-03,12,13,26.010,CLE,@,LAR,L 19-36,*,0.0,2,0,2,0,0,0,0,0,0,0,0%,23,36%,5,15%,
63,2023,2023-12-10,13,14,26.017,CLE,,JAX,W 31-27,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,11,14%,2,6%,
64,2023,2023-12-17,14,15,26.024,CLE,,CHI,W 20-17,,0.0,0,2,2,0,0,0,0,0,0,0,0%,30,41%,5,14%,
65,2023,2023-12-24,15,16,26.031,CLE,@,HOU,W 36-22,,0.0,1,0,1,0,0,0,0,0,0,0,0%,31,41%,4,17%,
66,2023,2023-12-28,16,17,26.035,CLE,,NYJ,W 37-20,,0.0,1,0,1,0,0,0,0,0,0,0,0%,30,41%,8,27%,
67,2023,2024-01-07,17,18,26.045,CLE,@,CIN,L 14-31,*,0.0,0,0,0,0,0,0,0,0,1,0,0%,44,69%,5,17%,
68,2024,2024-09-09,1,1,26.291,SFO,,NYJ,W 32-19,,0.0,0,0,0,0,1,0,0,0,0,0,0%,15,29%,1,4%,
