Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.110,SFO,@,CHI,L 10-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,5,21%,
2,2022,2022-09-18,2,2,23.117,SFO,,SEA,W 27-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,8,35%,
3,2022,2022-09-25,3,3,23.124,SFO,@,DEN,L 10-11,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,15,54%,
4,2022,2022-10-03,4,4,23.132,SFO,,LAR,W 24-9,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,17,68%,
5,2022,2022-10-09,5,5,23.138,SFO,@,CAR,W 37-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,1%,0,0%,15,54%,
6,2022,2022-10-16,6,6,23.145,SFO,@,ATL,L 14-28,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,16,73%,
7,2022,2022-10-23,7,7,,SFO,,KAN,L 23-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2022,2022-10-30,8,8,23.159,SFO,@,LAR,W 31-14,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,16,67%,
9,2022,2022-11-13,9,10,23.173,SFO,,LAC,W 22-16,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,19,68%,
10,2022,2022-11-21,10,11,23.181,SFO,@,ARI,W 38-10,,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,12%,0,0%,17,65%,
11,2022,2022-11-27,11,12,23.187,SFO,,NOR,W 13-0,,5,25,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,9,13%,0,0%,11,65%,
12,2022,2022-12-04,12,13,23.194,SFO,,MIA,W 33-17,,8,51,6.38,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,18%,0,0%,20,67%,
13,2022,2022-12-11,13,14,23.201,SFO,,TAM,W 35-7,,11,56,5.09,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,30%,0,0%,14,67%,
14,2022,2022-12-15,14,15,23.205,SFO,@,SEA,W 21-13,,4,64,16.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,20,71%,
15,2022,2022-12-24,15,16,23.214,SFO,,WAS,W 37-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,63%,
16,2022,2023-01-01,16,17,23.222,SFO,@,LVR,W 37-34,,2,13,6.50,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,5,7%,0,0%,18,55%,
17,2022,2023-01-08,17,18,23.229,SFO,,ARI,W 38-13,,8,28,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,23%,0,0%,18,69%,
18,2023,2023-09-10,1,1,24.109,SFO,@,PIT,W 30-7,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,17,65%,
19,2023,2023-09-17,2,2,24.116,SFO,@,LAR,W 30-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,61%,
20,2023,2023-09-21,3,3,24.120,SFO,,NYG,W 30-12,,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,5%,0,0%,20,71%,
21,2023,2023-10-01,4,4,24.130,SFO,,ARI,W 35-16,,3,10,3.33,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,15%,0,0%,14,64%,
22,2023,2023-10-08,5,5,24.137,SFO,,DAL,W 42-10,,10,69,6.90,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,13,18%,0,0%,18,67%,
23,2023,2023-10-15,6,6,24.144,SFO,@,CLE,L 17-19,,5,27,5.40,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,15,24%,0,0%,17,55%,
24,2023,2023-10-23,7,7,24.152,SFO,@,MIN,L 17-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,11,50%,
25,2023,2023-10-29,8,8,24.158,SFO,,CIN,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,16,64%,
26,2023,2023-11-12,9,10,24.172,SFO,@,JAX,W 34-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,3,5%,0,0%,16,70%,
27,2023,2023-11-19,10,11,24.179,SFO,,TAM,W 27-14,,0,0,,0,0,0,0,,0,0.0%,,1,12,12.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,3%,0,0%,15,68%,
28,2023,2023-11-23,11,12,24.183,SFO,@,SEA,W 31-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,19,66%,
29,2023,2023-12-03,12,13,24.193,SFO,@,PHI,W 42-19,,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,16,62%,
30,2023,2023-12-10,13,14,24.200,SFO,,SEA,W 28-16,,4,20,5.00,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,6,11%,0,0%,10,37%,
31,2023,2023-12-17,14,15,24.207,SFO,@,ARI,W 45-29,,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,23%,0,0%,11,36%,
32,2023,2023-12-25,15,16,24.215,SFO,,BAL,L 19-33,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,45%,
33,2023,2023-12-31,16,17,24.221,SFO,@,WAS,W 27-10,,2,3,1.50,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,7%,0,0%,14,67%,
34,2023,2024-01-07,17,18,24.228,SFO,,LAR,L 20-21,,6,36,6.00,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,44%,0,0%,5,26%,
35,2024,2024-09-09,1,1,25.108,SFO,,NYJ,W 32-19,*,28,147,5.25,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,81%,0,0%,0,0%,
36,2024,2024-09-15,2,2,25.114,SFO,@,MIN,L 17-23,*,20,100,5.00,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,57,81%,0,0%,0,0%,
37,2024,2024-09-22,3,3,25.121,SFO,@,LAR,L 24-27,*,19,77,4.05,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,75%,0,0%,0,0%,
38,2024,2024-09-29,4,4,25.128,SFO,,NWE,W 30-13,,24,123,5.13,1,3,2,37,18.50,0,66.7%,12.33,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,2,-2,0,47,75%,0,0%,0,0%,
39,2024,2024-10-06,5,5,25.135,SFO,,ARI,L 23-24,*,14,89,6.36,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,41,64%,0,0%,0,0%,
40,2024,2024-10-10,6,6,25.139,SFO,@,SEA,W 36-24,*,9,73,8.11,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,28%,0,0%,0,0%,
41,2024,2024-10-20,7,7,25.149,SFO,,KAN,L 18-28,*,14,58,4.14,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,86%,0,0%,0,0%,
42,2024,2024-10-27,8,8,25.156,SFO,,DAL,W 30-24,,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,16%,0,0%,0,0%,
43,2024,2024-11-10,9,10,25.170,SFO,@,TAM,W 23-20,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,
44,2024,2024-11-17,10,11,25.177,SFO,,SEA,L 17-20,,2,13,6.50,0,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,9,43%,
45,2024,2024-11-24,11,12,25.184,SFO,@,GNB,L 10-38,,3,8,2.67,0,2,1,5,5.00,0,50.0%,2.50,1,29,29.00,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,9,18%,0,0%,10,40%,
