Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-12-29,16,17,22.303,SFO,@,SEA,W 26-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,13%,0,0%,
2,2020,2020-09-13,1,1,23.196,SFO,,ARI,L 20-24,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,27%,0,0%,
3,2020,2020-09-20,2,2,23.203,SFO,@,NYJ,W 31-13,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,58%,0,0%,
4,2020,2020-09-27,3,3,23.210,SFO,@,NYG,W 36-9,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,52%,0,0%,
5,2020,2020-10-04,4,4,23.217,SFO,,PHI,L 20-25,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,27%,0,0%,
6,2020,2020-10-11,5,5,23.224,SFO,,MIA,L 17-43,,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,52%,1,3%,
7,2020,2020-10-18,6,6,23.231,SFO,,LAR,W 24-16,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,48%,1,4%,
8,2020,2020-10-25,7,7,23.238,SFO,@,NWE,W 33-6,,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,31,60%,1,5%,
9,2020,2020-11-01,8,8,23.245,SFO,@,SEA,L 27-37,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,43%,0,0%,
10,2020,2020-11-05,9,9,23.249,SFO,,GNB,L 17-34,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,44%,0,0%,
11,2020,2020-11-15,10,10,23.259,SFO,@,NOR,L 13-27,,,,,,,,,,,,0,,,0,0,0,0,0%,28,47%,1,4%,
12,2020,2020-11-29,11,12,23.273,SFO,@,LAR,W 23-20,*,0.0,2,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0%,41,66%,6,17%,
13,2020,2020-12-07,12,13,23.281,SFO,,BUF,L 24-34,,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,42,58%,0,0%,
14,2020,2020-12-13,13,14,,SFO,,WAS,L 15-23,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List
15,2020,2020-12-20,14,15,23.294,SFO,@,DAL,L 33-41,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,31%,1,3%,
16,2020,2020-12-26,15,16,,SFO,@,ARI,W 20-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2020,2021-01-03,16,17,,SFO,,SEA,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2021,2021-09-12,1,1,24.195,SFO,@,DET,W 41-33,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,46%,4,13%,
19,2021,2021-09-19,2,2,24.202,SFO,@,PHI,W 17-11,,,,,,,,,,,,,,,,,,0,0%,5,9%,0,0%,
20,2021,2021-09-26,3,3,,SFO,,GNB,L 28-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2021,2021-10-03,4,4,,SFO,,SEA,L 21-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2021,2021-10-10,5,5,,SFO,@,ARI,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2021,2021-10-24,6,7,,SFO,,IND,L 18-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2021,2021-10-31,7,8,24.244,SFO,@,CHI,W 33-22,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,26%,0,0%,
