Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,24.003,CHI,@,HOU,L 14-23,*,,0,0,0.5,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,60,80%,0,0%,
2,2016,2016-09-19,2,2,24.011,CHI,,PHI,L 14-29,*,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,71%,0,0%,
3,2016,2016-09-25,3,3,24.017,CHI,@,DAL,L 17-31,*,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,59%,0,0%,
4,2016,2016-10-02,4,4,24.024,CHI,,DET,W 17-14,*,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,19,30%,0,0%,
5,2016,2016-10-09,,5,,CHI,@,IND,L 23-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2016,2016-10-16,,6,,CHI,,JAX,L 16-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2016,2016-10-20,7,7,24.042,CHI,@,GNB,L 10-26,*,,1,6,2.0,2,1,3,1,3,0,0,0,0,0,0,1,1,0,1,0,0%,35,40%,0,0%,
8,2016,2016-10-31,8,8,24.053,CHI,,MIN,W 20-10,*,,0,0,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,67%,2,8%,
9,2016,2016-11-13,9,10,24.066,CHI,@,TAM,L 10-36,*,,0,0,1.5,3,2,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,57,76%,0,0%,
10,2016,2016-11-20,10,11,24.073,CHI,@,NYG,L 16-22,*,,0,0,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,78%,0,0%,
11,2016,2016-11-27,,12,,CHI,,TEN,L 21-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2016,2016-12-04,12,13,24.087,CHI,,SFO,W 26-6,*,1,0,2,2.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,90%,0,0%,
13,2016,2016-12-11,13,14,24.094,CHI,@,DET,L 17-20,*,,0,0,0.0,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,62,86%,0,0%,
14,2016,2016-12-18,14,15,24.101,CHI,,GNB,L 27-30,*,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,49,80%,0,0%,
15,2016,2016-12-24,15,16,24.107,CHI,,WAS,L 21-41,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,27%,0,0%,
16,2016,2017-01-01,,17,,CHI,@,MIN,L 10-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2017,2017-09-10,1,1,25.002,CHI,,ATL,L 17-23,*,,0,0,0.0,3,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,55,93%,0,0%,
18,2017,2017-09-17,2,2,25.009,CHI,@,TAM,L 7-29,*,,0,0,0.0,0,2,2,0,2,0,0,0,0,0,0,0,1,21,0,0,0%,55,77%,0,0%,
19,2017,2017-09-24,3,3,25.016,CHI,,PIT,W 23-17,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,94%,1,4%,
20,2017,2017-09-28,4,4,25.020,CHI,@,GNB,L 14-35,*,,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,75%,0,0%,
21,2017,2017-10-09,5,5,25.031,CHI,,MIN,L 17-20,*,1,0,2,2.0,6,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0%,65,93%,0,0%,
22,2017,2017-10-15,6,6,25.037,CHI,@,BAL,W 27-24,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,99%,0,0%,
23,2017,2017-10-22,7,7,25.044,CHI,,CAR,W 17-3,*,,0,0,1.0,3,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,60,83%,0,0%,
24,2017,2017-10-29,8,8,25.051,CHI,@,NOR,L 12-20,*,,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,97%,0,0%,
25,2017,2017-11-12,9,10,25.065,CHI,,GNB,L 16-23,*,,0,0,0.5,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,0,0%,
26,2017,2017-11-19,10,11,25.072,CHI,,DET,L 24-27,*,,0,0,0.0,5,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,49,78%,0,0%,
27,2017,2017-11-26,,12,,CHI,@,PHI,L 3-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
28,2017,2017-12-03,,13,,CHI,,SFO,L 14-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
