Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,21.156,DAL,,NYG,L 19-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,17,30%,4,15%,
2,2016,2016-09-18,2,2,21.163,DAL,@,WAS,W 27-23,,0.0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,52%,5,19%,
3,2016,2016-09-25,3,3,21.170,DAL,,CHI,W 31-17,*,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,63%,4,15%,
4,2016,2016-10-02,4,4,21.177,DAL,@,SFO,W 24-17,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,83%,3,12%,
5,2016,2016-10-09,5,5,21.184,DAL,,CIN,W 28-14,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,77%,1,5%,
6,2016,2016-10-16,6,6,21.191,DAL,@,GNB,W 30-16,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,59%,4,16%,
7,2016,2016-10-30,7,8,21.205,DAL,,PHI,W 29-23,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,49%,7,19%,
8,2016,2016-11-06,8,9,21.212,DAL,@,CLE,W 35-10,*,2.0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,28,64%,2,8%,
9,2016,2016-11-13,9,10,21.219,DAL,@,PIT,W 35-30,*,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,33,45%,7,23%,
10,2016,2016-11-20,10,11,21.226,DAL,,BAL,W 27-17,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,51%,3,10%,
11,2016,2016-11-24,11,12,21.230,DAL,,WAS,W 31-26,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,34,45%,2,8%,
12,2016,2016-12-01,12,13,21.237,DAL,@,MIN,W 17-15,*,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,66%,2,7%,
13,2016,2016-12-11,13,14,21.247,DAL,@,NYG,L 7-10,*,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,46,69%,0,0%,
14,2016,2016-12-18,14,15,21.254,DAL,,TAM,W 26-20,*,1.0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0%,46,77%,5,17%,
15,2016,2016-12-26,15,16,21.262,DAL,,DET,W 42-21,*,1.0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,65,92%,4,13%,
16,2016,2017-01-01,16,17,21.268,DAL,@,PHI,L 13-27,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,76%,6,21%,
17,2017,2017-09-10,1,1,22.155,DAL,,NYG,W 19-3,*,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,89%,1,4%,
18,2017,2017-09-17,2,2,22.162,DAL,@,DEN,L 17-42,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0%,48,62%,8,27%,
19,2017,2017-09-25,3,3,22.170,DAL,@,ARI,W 28-17,*,2.0,4,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,60,74%,4,13%,
20,2017,2017-10-01,4,4,22.176,DAL,,LAR,L 30-35,*,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,71%,9,27%,
21,2017,2017-10-08,5,5,22.183,DAL,,GNB,L 31-35,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,57%,5,19%,
22,2017,2017-10-22,6,7,22.197,DAL,@,SFO,W 40-10,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,59%,2,8%,
23,2017,2017-10-29,7,8,22.204,DAL,@,WAS,W 33-19,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,53%,1,3%,
24,2017,2017-11-05,8,9,22.211,DAL,,KAN,W 28-17,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,40,70%,1,4%,
25,2017,2017-11-12,9,10,22.218,DAL,@,ATL,L 7-27,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,33,51%,3,14%,
26,2017,2017-11-19,10,11,22.225,DAL,,PHI,L 9-37,*,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,61%,4,15%,
27,2017,2017-11-23,11,12,22.229,DAL,,LAC,L 6-28,*,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,57%,6,32%,
28,2017,2017-11-30,12,13,22.236,DAL,,WAS,W 38-14,*,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0%,36,60%,4,14%,
29,2017,2017-12-10,13,14,22.246,DAL,@,NYG,W 30-10,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,57,71%,3,10%,
30,2017,2017-12-17,14,15,22.253,DAL,@,OAK,W 20-17,*,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,88%,4,17%,
31,2017,2017-12-24,15,16,22.260,DAL,,SEA,L 12-21,*,0.0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,75%,3,11%,
32,2017,2017-12-31,16,17,22.267,DAL,@,PHI,W 6-0,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,46%,1,5%,
33,2018,2018-09-09,1,1,23.154,DAL,@,CAR,L 8-16,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,24,36%,2,9%,
34,2018,2018-09-16,2,2,23.161,DAL,,NYG,W 20-13,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,46%,2,8%,
35,2018,2018-09-23,,3,,DAL,@,SEA,L 13-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2018,2018-09-30,,4,,DAL,,DET,W 26-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2018,2018-10-07,,5,,DAL,@,HOU,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2018,2018-10-14,6,6,23.189,DAL,,JAX,W 40-7,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,13,27%,0,0%,
39,2018,2018-10-21,7,7,23.196,DAL,@,WAS,L 17-20,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,42%,1,4%,
40,2018,2018-11-05,8,9,23.211,DAL,,TEN,L 14-28,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,69%,5,25%,
41,2018,2018-11-11,9,10,23.217,DAL,@,PHI,W 27-20,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,38,61%,1,4%,
42,2018,2018-11-18,10,11,23.224,DAL,@,ATL,W 22-19,*,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,77%,7,27%,
43,2018,2018-11-22,11,12,23.228,DAL,,WAS,W 31-23,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,67%,3,10%,
44,2018,2018-11-29,12,13,23.235,DAL,,NOR,W 13-10,*,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,81%,4,20%,
45,2018,2018-12-09,13,14,23.245,DAL,,PHI,W 29-23,*,0.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0%,41,79%,6,21%,
46,2018,2018-12-16,14,15,23.252,DAL,@,IND,L 0-23,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,48,67%,2,13%,
47,2018,2018-12-23,15,16,23.259,DAL,,TAM,W 27-20,*,1.0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,70%,5,19%,
48,2018,2018-12-30,16,17,23.266,DAL,@,NYG,W 36-35,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,65%,5,18%,
49,2019,2019-09-08,1,1,24.153,DAL,,NYG,W 35-17,*,,,,,,,,,,,0,,,0,0,0,0,0%,51,75%,3,12%,
50,2019,2019-09-15,2,2,24.160,DAL,@,WAS,W 31-21,*,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,81%,5,21%,
51,2019,2019-09-22,3,3,24.167,DAL,,MIA,W 31-6,*,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,60%,4,14%,
52,2019,2019-09-29,4,4,24.174,DAL,@,NOR,L 10-12,*,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,73%,5,24%,
53,2019,2019-10-06,5,5,24.181,DAL,,GNB,L 24-34,*,0.0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,55,76%,6,18%,
54,2019,2019-10-13,6,6,24.188,DAL,@,NYJ,L 22-24,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,77%,3,12%,
55,2019,2019-10-20,7,7,24.195,DAL,,PHI,W 37-10,*,0.0,2,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,41,68%,2,8%,
56,2019,2019-11-04,8,9,24.210,DAL,@,NYG,W 37-18,*,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,69%,6,19%,
57,2019,2019-11-10,9,10,24.216,DAL,,MIN,L 24-28,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,67%,5,20%,
58,2019,2019-11-17,10,11,24.223,DAL,@,DET,W 35-27,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,74%,7,23%,
59,2019,2019-11-24,11,12,24.230,DAL,@,NWE,L 9-13,*,1.0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,81%,8,28%,
60,2019,2019-11-28,12,13,24.234,DAL,,BUF,L 15-26,*,,,,,,,,,,,0,,,0,0,0,0,0%,51,77%,7,30%,
61,2019,2019-12-05,13,14,24.241,DAL,@,CHI,L 24-31,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,63%,5,17%,
62,2019,2019-12-15,14,15,24.251,DAL,,LAR,W 44-21,*,,,,,,,,,,,0,,,0,0,0,0,0%,40,54%,3,10%,
63,2019,2019-12-22,15,16,24.258,DAL,@,PHI,L 9-17,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,74%,5,18%,
64,2019,2019-12-29,16,17,24.265,DAL,,WAS,W 47-16,*,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,68%,4,12%,
65,2020,2020-09-13,1,1,25.158,LVR,@,CAR,W 34-30,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,70%,5,17%,
66,2020,2020-09-21,2,2,25.166,LVR,,NOR,W 34-24,*,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,70%,6,22%,
67,2020,2020-09-27,3,3,25.172,LVR,@,NWE,L 20-36,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,58%,4,13%,
68,2020,2020-10-04,4,4,25.179,LVR,,BUF,L 23-30,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,41%,2,7%,
69,2020,2020-10-11,5,5,,LVR,@,KAN,W 40-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,2020,2020-10-25,6,7,25.200,LVR,,TAM,L 20-45,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,61%,6,19%,
71,2020,2020-11-01,7,8,25.207,LVR,@,CLE,W 16-6,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,63%,1,6%,
72,2020,2020-11-08,8,9,25.214,LVR,@,LAC,W 31-26,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,73%,5,17%,
73,2020,2020-11-15,9,10,25.221,LVR,,DEN,W 37-12,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,61%,2,7%,
74,2020,2020-11-22,10,11,25.228,LVR,,KAN,L 31-35,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,69%,5,19%,
75,2020,2020-11-29,11,12,25.235,LVR,@,ATL,L 6-43,*,,,,,,,,,,,0,,,0,0,0,0,0%,48,62%,6,18%,
76,2020,2020-12-06,12,13,,LVR,@,NYJ,W 31-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
77,2020,2020-12-13,13,14,,LVR,,IND,L 27-44,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
78,2020,2020-12-17,14,15,,LVR,,LAC,L 27-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
79,2020,2020-12-26,15,16,25.262,LVR,,MIA,L 25-26,,,,,,,,,,,,0,,,0,0,0,0,0%,23,37%,7,19%,
80,2020,2021-01-03,16,17,25.270,LVR,@,DEN,W 32-31,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,60%,8,24%,
81,2021,2021-09-12,1,1,26.157,HOU,,JAX,W 37-21,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,64%,3,9%,
82,2021,2021-09-19,2,2,26.164,HOU,@,CLE,L 21-31,*,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,62%,5,20%,
83,2021,2021-09-23,3,3,26.168,HOU,,CAR,L 9-24,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,60%,4,17%,
84,2021,2021-10-03,4,4,26.178,HOU,@,BUF,L 0-40,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,53%,8,33%,
85,2021,2021-10-10,5,5,26.185,HOU,,NWE,L 22-25,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,58%,6,22%,
86,2021,2021-10-17,6,6,26.192,HOU,@,IND,L 3-31,*,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,32,67%,5,21%,
87,2021,2021-10-24,7,7,26.199,HOU,@,ARI,L 5-31,*,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,49%,5,19%,
88,2021,2021-10-31,8,8,26.206,HOU,,LAR,L 22-38,*,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,61%,6,18%,
89,2021,2021-11-07,9,9,26.213,HOU,@,MIA,L 9-17,*,0.5,0,2,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0%,46,61%,3,13%,
90,2021,2021-11-21,10,11,26.227,HOU,@,TEN,W 22-13,*,0.0,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,68%,4,16%,
91,2021,2021-11-28,11,12,26.234,HOU,,NYJ,L 14-21,*,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,63%,5,20%,
92,2021,2021-12-05,12,13,26.241,HOU,,IND,L 0-31,*,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,57%,7,32%,
93,2021,2021-12-12,13,14,26.248,HOU,,SEA,L 13-33,*,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,67%,6,21%,
94,2021,2021-12-19,14,15,26.255,HOU,@,JAX,W 30-16,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,64%,5,16%,
95,2021,2021-12-26,15,16,,HOU,,LAC,W 41-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
96,2021,2022-01-02,16,17,,HOU,@,SFO,L 7-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
97,2021,2022-01-09,17,18,26.276,HOU,,TEN,L 25-28,*,1.0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,47,69%,5,19%,
98,2022,2022-09-11,1,1,27.156,HOU,,IND,T 20-20,*,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,50,54%,7,22%,
99,2022,2022-09-18,2,2,27.163,HOU,@,DEN,L 9-16,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,47%,5,19%,
100,2022,2022-09-25,3,3,27.170,HOU,@,CHI,L 20-23,*,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,68%,1,3%,
101,2022,2022-10-02,4,4,27.177,HOU,,LAC,L 24-34,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,67%,6,21%,
102,2022,2022-10-09,5,5,27.184,HOU,@,JAX,W 13-6,*,0.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,60%,1,5%,
103,2022,2022-10-23,6,7,27.198,HOU,@,LVR,L 20-38,*,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,10,18%,1,4%,
104,2022,2022-10-30,7,8,,HOU,,TEN,L 10-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
105,2022,2022-11-03,8,9,,HOU,,PHI,L 17-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
106,2022,2022-11-13,9,10,27.219,HOU,@,NYG,L 16-24,*,0.5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,55%,1,3%,
107,2022,2022-11-20,10,11,27.226,HOU,,WAS,L 10-23,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,37,54%,5,19%,
108,2022,2022-11-27,11,12,27.233,HOU,@,MIA,L 15-30,*,2.0,4,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,55%,6,20%,
109,2022,2022-12-04,12,13,27.240,HOU,,CLE,L 14-27,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,68%,6,19%,
110,2022,2022-12-11,13,14,27.247,HOU,@,DAL,L 23-27,*,0.0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,66%,5,18%,
111,2022,2022-12-18,14,15,27.254,HOU,,KAN,L 24-30,*,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,62%,4,14%,
112,2022,2022-12-24,15,16,27.260,HOU,@,TEN,W 19-14,*,0.0,3,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0%,42,69%,0,0%,
113,2022,2023-01-01,16,17,27.268,HOU,,JAX,L 3-31,*,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,37,59%,1,4%,
114,2022,2023-01-08,17,18,27.275,HOU,@,IND,W 32-31,*,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,55%,0,0%,
115,2023,2023-09-10,1,1,28.155,HOU,@,BAL,L 9-25,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,66%,4,16%,
116,2023,2023-09-17,2,2,28.162,HOU,,IND,L 20-31,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,61%,7,24%,
117,2023,2023-09-24,3,3,28.169,HOU,@,JAX,W 37-17,*,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,37,51%,6,21%,
118,2023,2023-10-01,4,4,28.176,HOU,,PIT,W 30-6,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,37,63%,4,16%,
119,2023,2023-10-08,5,5,28.183,HOU,@,ATL,L 19-21,*,0.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,52,67%,3,10%,
120,2023,2023-10-15,6,6,28.190,HOU,,NOR,W 20-13,*,0.5,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,68%,0,0%,
121,2023,2023-10-29,7,8,28.204,HOU,@,CAR,L 13-15,*,2.0,3,3,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,48,72%,6,25%,
122,2023,2023-11-05,8,9,28.211,HOU,,TAM,W 39-37,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,73%,7,21%,
123,2023,2023-11-12,9,10,28.218,HOU,@,CIN,W 30-27,*,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,70%,5,16%,
124,2023,2023-11-19,10,11,28.225,HOU,,ARI,W 21-16,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,59%,2,11%,
125,2023,2023-11-26,11,12,28.232,HOU,,JAX,L 21-24,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,68%,5,19%,
126,2023,2023-12-03,12,13,28.239,HOU,,DEN,W 22-17,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,41,68%,6,19%,
127,2023,2023-12-10,13,14,28.246,HOU,@,NYJ,L 6-30,*,1.0,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,66%,9,31%,
128,2023,2023-12-17,14,15,28.253,HOU,@,TEN,W 19-16,*,1.5,2,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,44,70%,4,13%,
129,2023,2023-12-24,15,16,28.260,HOU,,CLE,L 22-36,*,0.0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,47,57%,2,8%,
130,2023,2023-12-31,16,17,,HOU,,TEN,W 26-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
131,2023,2024-01-06,17,18,28.273,HOU,@,IND,W 23-19,*,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,34,52%,0,0%,
132,2024,2024-09-09,1,1,29.154,SFO,,NYJ,W 32-19,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,37,73%,1,4%,
133,2024,2024-09-15,2,2,29.160,SFO,@,MIN,L 17-23,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,67%,3,13%,
134,2024,2024-09-22,3,3,29.167,SFO,@,LAR,L 24-27,*,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,72%,5,19%,
135,2024,2024-09-29,4,4,29.174,SFO,,NWE,W 30-13,*,1.5,2,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0%,48,75%,6,23%,
136,2024,2024-10-06,5,5,29.181,SFO,,ARI,L 23-24,*,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,66%,5,21%,
137,2024,2024-10-10,6,6,29.185,SFO,@,SEA,W 36-24,*,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,59,76%,5,17%,
138,2024,2024-10-20,7,7,29.195,SFO,,KAN,L 18-28,*,0.5,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,44,63%,3,13%,
139,2024,2024-10-27,8,8,29.202,SFO,,DAL,W 30-24,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,47,76%,6,20%,
140,2024,2024-11-10,9,10,29.216,SFO,@,TAM,W 23-20,*,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,72%,4,14%,
141,2024,2024-11-17,10,11,29.223,SFO,,SEA,L 17-20,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,77%,4,19%,
