Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,27.189,SFO,@,TAM,W 31-17,,,,,,,,0,0,0.0,0,0,0,0,0,2,91,45.50,0,91,45.5,0,0.0%,1,50.0%,0,0,0%,0,0%,15,60%,
2,2019,2019-09-15,2,2,27.196,SFO,@,CIN,W 41-17,,,,,,,,0,0,0.0,0,0,0,0,0,2,75,37.50,0,75,37.5,0,0.0%,1,50.0%,0,0,0%,0,0%,17,55%,
3,2019,2019-09-22,3,3,27.203,SFO,,PIT,W 24-20,,,,,,,,0,0,0.0,0,0,0,0,0,3,150,50.00,0,130,43.3,1,33.3%,1,33.3%,0,0,0%,0,0%,12,44%,
4,2019,2019-10-07,4,5,27.218,SFO,,CLE,W 31-3,,,,,,,,0,0,0.0,0,0,0,0,0,4,176,44.00,-6,182,45.5,0,0.0%,2,50.0%,0,1,1%,0,0%,18,64%,
5,2019,2019-10-13,5,6,27.224,SFO,@,LAR,W 20-7,,,,,,,,0,0,0.0,1,0,1,0,0,4,159,39.75,8,151,37.8,0,0.0%,0,0.0%,0,0,0%,0,0%,17,65%,
6,2019,2019-10-20,6,7,27.231,SFO,@,WAS,W 9-0,,,,,,,,0,0,0.0,0,0,0,0,0,2,94,47.00,0,94,47.0,0,0.0%,2,100.0%,0,0,0%,0,0%,10,63%,
7,2019,2019-10-27,7,8,27.238,SFO,,CAR,W 51-13,,,,,,,,0,0,0.0,1,0,1,0,0,3,121,40.33,0,121,40.3,0,0.0%,3,100.0%,0,0,0%,0,0%,21,66%,
8,2019,2019-10-31,8,9,27.242,SFO,@,ARI,W 28-25,,,,,,,,0,0,0.0,0,0,0,0,0,5,231,46.20,17,214,42.8,0,0.0%,3,60.0%,0,0,0%,0,0%,13,50%,
9,2019,2019-11-11,9,10,27.253,SFO,,SEA,L 24-27,,,,,,,,0,0,0.0,0,0,0,0,0,5,232,46.40,24,188,37.6,1,20.0%,1,20.0%,0,0,0%,0,0%,16,46%,
10,2019,2019-11-17,10,11,27.259,SFO,,ARI,W 36-26,,,,,,,,0,0,0.0,0,0,0,0,0,2,101,50.50,0,101,50.5,0,0.0%,1,50.0%,0,0,0%,0,0%,11,42%,
11,2019,2019-11-24,11,12,27.266,SFO,,GNB,W 37-8,,,,,,,,0,0,0.0,0,0,0,0,0,4,182,45.50,-3,185,46.3,0,0.0%,1,25.0%,0,0,0%,0,0%,18,69%,
12,2019,2019-12-01,12,13,27.273,SFO,@,BAL,L 17-20,,,,,,,,0,0,0.0,0,0,0,0,0,2,90,45.00,18,72,36.0,0,0.0%,1,50.0%,0,0,0%,0,0%,10,50%,
13,2019,2019-12-08,13,14,27.280,SFO,@,NOR,W 48-46,,,,,,,,0,0,0.0,0,0,0,0,0,3,134,44.67,37,97,32.3,0,0.0%,0,0.0%,0,0,0%,0,0%,20,54%,
14,2019,2019-12-15,14,15,27.287,SFO,,ATL,L 22-29,,,,,,,,0,0,0.0,0,0,0,0,0,4,184,46.00,19,165,41.3,0,0.0%,2,50.0%,0,0,0%,0,0%,15,50%,
15,2019,2019-12-21,15,16,27.293,SFO,,LAR,W 34-31,,,,,,,,0,0,0.0,0,0,0,0,0,5,219,43.80,1,218,43.6,0,0.0%,4,80.0%,0,0,0%,0,0%,18,49%,
16,2019,2019-12-29,16,17,27.301,SFO,@,SEA,W 26-21,,,,,,,,0,0,0.0,0,0,0,0,0,2,94,47.00,16,78,39.0,0,0.0%,0,0.0%,0,0,0%,0,0%,13,57%,
17,2020,2020-09-13,1,1,28.194,SFO,,ARI,L 20-24,,,,,,,,0,0,0.0,1,0,1,0,0,4,178,44.50,8,170,34.0,0,0.0%,3,75.0%,1,0,0%,0,0%,14,50%,
18,2020,2020-09-20,2,2,28.201,SFO,@,NYJ,W 31-13,,,,,,,,0,0,0.0,1,0,1,0,0,4,199,49.75,0,179,44.8,1,25.0%,2,50.0%,0,0,0%,0,0%,15,56%,
19,2020,2020-09-27,3,3,28.208,SFO,@,NYG,W 36-9,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,0,2,3%,0,0%,14,61%,
20,2020,2020-10-04,4,4,28.215,SFO,,PHI,L 20-25,,,,,,,,0,0,0.0,0,0,0,0,0,4,177,44.25,8,169,42.3,0,0.0%,2,50.0%,0,0,0%,0,0%,9,38%,
21,2020,2020-10-11,5,5,28.222,SFO,,MIA,L 17-43,,,,,,,,0,0,0.0,0,0,0,0,0,3,133,44.33,9,124,41.3,0,0.0%,1,33.3%,0,0,0%,0,0%,11,34%,
22,2020,2020-10-18,6,6,28.229,SFO,,LAR,W 24-16,,,,,,,,0,0,0.0,1,0,1,0,0,5,235,47.00,29,206,41.2,0,0.0%,2,40.0%,0,0,0%,0,0%,14,52%,
23,2020,2020-10-25,7,7,28.236,SFO,@,NWE,W 33-6,,,,,,,,0,0,0.0,0,0,0,0,0,1,45,45.00,0,45,45.0,0,0.0%,1,100.0%,0,0,0%,0,0%,7,33%,
24,2020,2020-11-01,8,8,28.243,SFO,@,SEA,L 27-37,,,,,,,,0,0,0.0,0,0,0,0,0,4,202,50.50,24,178,44.5,0,0.0%,1,25.0%,0,0,0%,0,0%,11,38%,
25,2020,2020-11-05,9,9,28.247,SFO,,GNB,L 17-34,,,,,,,,0,0,0.0,0,0,0,0,0,4,219,54.75,0,179,44.8,2,50.0%,1,25.0%,0,0,0%,0,0%,10,37%,
26,2020,2020-11-15,10,10,28.257,SFO,@,NOR,L 13-27,,,,,,,,0,0,0.0,0,0,0,0,0,5,239,47.80,-2,221,44.2,1,20.0%,0,0.0%,0,0,0%,0,0%,12,43%,
27,2020,2020-11-29,11,12,28.271,SFO,@,LAR,W 23-20,,,,,,,,0,0,0.0,0,0,0,0,0,7,357,51.00,9,308,44.0,2,28.6%,2,28.6%,0,0,0%,0,0%,19,54%,
28,2020,2020-12-07,12,13,28.279,SFO,,BUF,L 24-34,,,,,,,,0,0,0.0,0,0,0,0,0,2,90,45.00,22,68,34.0,0,0.0%,1,50.0%,0,0,0%,0,0%,10,42%,
29,2020,2020-12-13,13,14,28.285,SFO,,WAS,L 15-23,,,,,,,,0,0,0.0,0,0,0,0,0,9,411,45.67,36,375,41.7,0,0.0%,4,44.4%,0,0,0%,0,0%,13,39%,
30,2020,2020-12-20,14,15,28.292,SFO,@,DAL,L 33-41,,,,,,,,0,0,0.0,0,1,1,0,0,4,186,46.50,26,160,40.0,0,0.0%,1,25.0%,0,0,0%,0,0%,14,37%,
