Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,21.320,SFO,@,TAM,W 31-17,,1.0,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,38,55%,1,4%,
2,2019,2019-09-15,2,2,21.327,SFO,@,CIN,W 41-17,,,,,,,,,,,,0,,,0,0,0,0,0%,30,43%,0,0%,
3,2019,2019-09-22,3,3,21.334,SFO,,PIT,W 24-20,*,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,74%,2,7%,
4,2019,2019-10-07,4,5,21.349,SFO,,CLE,W 31-3,*,2.0,4,0,4,2,5,0,0,0,0,0,0,1,1,0,0,0,0%,37,80%,1,4%,
5,2019,2019-10-13,5,6,21.355,SFO,@,LAR,W 20-7,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,83%,1,4%,
6,2019,2019-10-20,6,7,21.362,SFO,@,WAS,W 9-0,*,1.0,5,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,84%,0,0%,
7,2019,2019-10-27,7,8,22.004,SFO,,CAR,W 51-13,*,3.0,4,0,4,3,3,1,46,0,1,0,0,0,0,0,0,0,0%,41,60%,0,0%,
8,2019,2019-10-31,8,9,22.008,SFO,@,ARI,W 28-25,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,73%,0,0%,
9,2019,2019-11-11,9,10,22.019,SFO,,SEA,L 24-27,*,0.0,3,5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,60,82%,3,9%,
10,2019,2019-11-17,10,11,22.025,SFO,,ARI,W 36-26,*,0.0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,56,84%,0,0%,
11,2019,2019-11-24,11,12,22.032,SFO,,GNB,W 37-8,*,1.0,2,1,3,1,1,0,0,0,0,0,0,0,1,6,0,0,0%,53,67%,0,0%,
12,2019,2019-12-01,12,13,22.039,SFO,@,BAL,L 17-20,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,85%,0,0%,
13,2019,2019-12-08,13,14,22.046,SFO,@,NOR,W 48-46,*,0.0,2,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,68,94%,1,3%,
14,2019,2019-12-15,14,15,22.053,SFO,,ATL,L 22-29,*,1.0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,63,94%,1,3%,
15,2019,2019-12-21,15,16,22.059,SFO,,LAR,W 34-31,*,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,51,73%,2,5%,
16,2019,2019-12-29,16,17,22.067,SFO,@,SEA,W 26-21,*,0.0,5,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,64,85%,1,4%,
17,2020,2020-09-13,1,1,22.326,SFO,,ARI,L 20-24,*,0.0,3,3,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,57,70%,1,4%,
18,2020,2020-09-20,2,2,22.333,SFO,@,NYJ,W 31-13,*,,,,,,,,,,,0,,,0,0,0,0,0%,11,17%,1,4%,
19,2020,2020-09-27,3,3,,SFO,@,NYG,W 36-9,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
20,2020,2020-10-04,4,4,,SFO,,PHI,L 20-25,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
21,2020,2020-10-11,5,5,,SFO,,MIA,L 17-43,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
22,2020,2020-10-18,6,6,,SFO,,LAR,W 24-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
23,2020,2020-10-25,7,7,,SFO,@,NWE,W 33-6,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
24,2020,2020-11-01,8,8,,SFO,@,SEA,L 27-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
25,2020,2020-11-05,9,9,,SFO,,GNB,L 17-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
26,2020,2020-11-15,10,10,,SFO,@,NOR,L 13-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
27,2020,2020-11-29,11,12,,SFO,@,LAR,W 23-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
28,2020,2020-12-07,12,13,,SFO,,BUF,L 24-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
29,2020,2020-12-13,13,14,,SFO,,WAS,L 15-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
30,2020,2020-12-20,14,15,,SFO,@,DAL,L 33-41,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
31,2020,2020-12-26,15,16,,SFO,@,ARI,W 20-12,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2020,2021-01-03,16,17,,SFO,,SEA,L 23-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
33,2021,2021-09-12,1,1,23.324,SFO,@,DET,W 41-33,*,1.0,4,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0%,51,55%,1,3%,
34,2021,2021-09-19,2,2,23.331,SFO,@,PHI,W 17-11,*,2.0,2,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,44,76%,1,5%,
35,2021,2021-09-26,3,3,23.338,SFO,,GNB,L 28-30,*,0.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,86%,0,0%,
36,2021,2021-10-03,4,4,23.345,SFO,,SEA,L 21-28,*,1.0,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,39,70%,1,3%,
37,2021,2021-10-10,5,5,23.352,SFO,@,ARI,L 10-17,*,1.0,4,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,69%,1,5%,
38,2021,2021-10-24,6,7,24.001,SFO,,IND,L 18-30,*,0.0,3,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,56,82%,1,4%,
39,2021,2021-10-31,7,8,24.008,SFO,@,CHI,W 33-22,*,2.0,3,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0%,57,81%,0,0%,
40,2021,2021-11-07,8,9,24.015,SFO,,ARI,L 17-31,*,0.0,3,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,52,74%,0,0%,
41,2021,2021-11-15,9,10,24.023,SFO,,LAR,W 31-10,*,1.0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,42,76%,0,0%,
42,2021,2021-11-21,10,11,24.029,SFO,@,JAX,W 30-10,*,2.0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,34,74%,1,4%,
43,2021,2021-11-28,11,12,24.036,SFO,,MIN,W 34-26,*,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,80%,0,0%,
44,2021,2021-12-05,12,13,24.043,SFO,@,SEA,L 23-30,*,1.0,3,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0%,61,87%,2,7%,
45,2021,2021-12-12,13,14,24.050,SFO,@,CIN,W 26-23,*,2.0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,55,82%,1,3%,
46,2021,2021-12-19,14,15,24.057,SFO,,ATL,W 31-13,*,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,47,78%,1,4%,
47,2021,2021-12-23,15,16,24.061,SFO,@,TEN,L 17-20,*,0.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,87%,1,4%,
48,2021,2022-01-02,16,17,24.071,SFO,,HOU,W 23-7,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,73%,3,12%,
49,2021,2022-01-09,17,18,24.078,SFO,@,LAR,W 27-24,*,0.5,2,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,60,92%,0,0%,
50,2022,2022-09-11,1,1,24.323,SFO,@,CHI,L 10-19,*,1.0,4,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,45,78%,0,0%,
51,2022,2022-09-18,2,2,24.330,SFO,,SEA,W 27-7,*,2.0,4,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0%,36,73%,1,4%,
52,2022,2022-09-25,3,3,24.337,SFO,@,DEN,L 10-11,*,1.0,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,57,77%,1,4%,
53,2022,2022-10-03,4,4,24.345,SFO,,LAR,W 24-9,*,2.0,3,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0%,58,78%,0,0%,
54,2022,2022-10-09,5,5,24.351,SFO,@,CAR,W 37-15,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,38%,1,4%,
55,2022,2022-10-16,6,6,,SFO,@,ATL,L 14-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2022,2022-10-23,7,7,25.000,SFO,,KAN,L 23-44,*,1.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,66%,0,0%,
57,2022,2022-10-30,8,8,25.007,SFO,@,LAR,W 31-14,*,1.5,2,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,48,83%,1,4%,
58,2022,2022-11-13,9,10,25.021,SFO,,LAC,W 22-16,*,1.0,4,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0%,56,97%,0,0%,
59,2022,2022-11-21,10,11,25.029,SFO,@,ARI,W 38-10,*,1.0,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,50,70%,1,4%,
60,2022,2022-11-27,11,12,25.035,SFO,,NOR,W 13-0,*,1.0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,45,79%,2,12%,
61,2022,2022-12-04,12,13,25.042,SFO,,MIA,W 33-17,*,3.0,3,0,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0%,38,83%,0,0%,
62,2022,2022-12-11,13,14,25.049,SFO,,TAM,W 35-7,*,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,71%,0,0%,
63,2022,2022-12-15,14,15,25.053,SFO,@,SEA,W 21-13,*,1.0,1,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0%,51,80%,0,0%,
64,2022,2022-12-24,15,16,25.062,SFO,,WAS,W 37-20,*,2.0,5,2,7,2,4,0,0,0,0,0,0,1,0,0,0,0,0%,55,75%,0,0%,
65,2022,2023-01-01,16,17,25.070,SFO,@,LVR,W 37-34,*,0.0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0%,60,86%,1,3%,
66,2022,2023-01-08,17,18,25.077,SFO,,ARI,W 38-13,*,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,25,48%,0,0%,
67,2023,2023-09-10,1,1,25.322,SFO,@,PIT,W 30-7,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,56%,1,4%,
68,2023,2023-09-17,2,2,25.329,SFO,@,LAR,W 30-23,*,0.0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,63,79%,0,0%,
69,2023,2023-09-21,3,3,25.333,SFO,,NYG,W 30-12,*,1.0,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,39,78%,0,0%,
70,2023,2023-10-01,4,4,25.343,SFO,,ARI,W 35-16,*,0.0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,48,68%,1,5%,
71,2023,2023-10-08,5,5,25.350,SFO,,DAL,W 42-10,*,0.5,2,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,34,70%,1,4%,
72,2023,2023-10-15,6,6,25.357,SFO,@,CLE,L 17-19,*,1.0,3,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,68,89%,0,0%,
73,2023,2023-10-23,7,7,26.000,SFO,@,MIN,L 17-22,*,0.0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,64,91%,1,5%,
74,2023,2023-10-29,8,8,26.006,SFO,,CIN,L 17-31,*,0.5,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,0,0%,
75,2023,2023-11-12,9,10,26.020,SFO,@,JAX,W 34-3,*,1.5,2,1,3,1,2,0,0,0,1,0,0,1,1,-3,0,0,0%,37,65%,0,0%,
76,2023,2023-11-19,10,11,26.027,SFO,,TAM,W 27-14,*,1.5,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,62,87%,0,0%,
77,2023,2023-11-23,11,12,26.031,SFO,@,SEA,W 31-13,*,2.0,3,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0%,49,88%,1,3%,
78,2023,2023-12-03,12,13,26.041,SFO,@,PHI,W 42-19,*,0.0,2,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,72%,0,0%,
79,2023,2023-12-10,13,14,26.048,SFO,,SEA,W 28-16,*,1.5,4,2,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,50,85%,1,4%,
80,2023,2023-12-17,14,15,26.055,SFO,@,ARI,W 45-29,*,1.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,47,64%,0,0%,
81,2023,2023-12-25,15,16,26.063,SFO,,BAL,L 19-33,*,0.0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,94%,1,4%,
82,2023,2023-12-31,16,17,26.069,SFO,@,WAS,W 27-10,*,0.0,2,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0%,38,83%,0,0%,
83,2023,2024-01-07,17,18,26.076,SFO,,LAR,L 20-21,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,12%,0,0%,
84,2024,2024-09-09,1,1,26.322,SFO,,NYJ,W 32-19,*,0.0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,48,94%,0,0%,
85,2024,2024-09-15,2,2,26.328,SFO,@,MIN,L 17-23,*,2.0,4,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,46,85%,0,0%,
86,2024,2024-09-22,3,3,26.335,SFO,@,LAR,L 24-27,*,0.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,1,4%,
87,2024,2024-09-29,4,4,26.342,SFO,,NWE,W 30-13,*,1.0,4,1,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0%,45,70%,3,12%,
88,2024,2024-10-06,5,5,26.349,SFO,,ARI,L 23-24,*,0.0,4,0,4,2,0,1,30,0,1,0,0,0,0,0,0,0,0%,45,78%,0,0%,
89,2024,2024-10-10,6,6,26.353,SFO,@,SEA,W 36-24,*,0.0,1,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,68,87%,1,3%,
90,2024,2024-10-20,7,7,26.363,SFO,,KAN,L 18-28,*,0.5,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0%,56,80%,1,4%,
91,2024,2024-10-27,8,8,27.004,SFO,,DAL,W 30-24,*,1.0,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,60,97%,1,3%,
92,2024,2024-11-10,9,10,27.018,SFO,@,TAM,W 23-20,*,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,85%,0,0%,
93,2024,2024-11-17,10,11,27.025,SFO,,SEA,L 17-20,*,1.5,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,26,43%,0,0%,
94,2024,2024-11-24,11,12,,SFO,@,GNB,L 10-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
