Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,23.197,CHI,,BUF,L 20-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,160,40.00,14,146,36.5,0,0.0%,1,25.0%,0,0,0%,0,0%,8,28%,
2,2014,2014-09-14,2,2,23.204,CHI,@,SFO,W 28-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,5,238,47.60,24,194,32.3,1,20.0%,1,20.0%,1,0,0%,0,0%,11,42%,
3,2014,2014-09-22,3,3,23.212,CHI,@,NYJ,W 27-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,213,42.60,10,203,40.6,0,0.0%,0,0.0%,0,0,0%,0,0%,10,33%,
4,2014,2014-09-28,4,4,23.218,CHI,,GNB,L 17-38,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,,0,0%,0,0%,3,13%,
5,2014,2014-10-05,5,5,23.225,CHI,@,CAR,L 24-31,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,205,51.25,81,124,31.0,0,0.0%,2,50.0%,0,0,0%,0,0%,9,30%,
6,2014,2014-10-12,6,6,23.232,CHI,@,ATL,W 27-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,201,40.20,10,171,34.2,1,20.0%,2,40.0%,0,0,0%,0,0%,9,32%,
7,2014,2014-10-19,7,7,23.239,CHI,,MIA,L 14-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,159,53.00,22,137,45.7,0,0.0%,2,66.7%,0,0,0%,0,0%,5,22%,
8,2014,2014-10-26,8,8,23.246,CHI,@,NWE,L 23-51,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,189,47.25,57,132,33.0,0,0.0%,0,0.0%,0,0,0%,0,0%,5,17%,
9,2014,2014-11-09,9,10,23.260,CHI,@,GNB,L 14-55,,1,-12,-12.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,1,0,0,1,0,0,4,171,42.75,16,155,38.8,0,0.0%,0,0.0%,0,0,0%,0,0%,7,22%,
10,2014,2014-11-16,10,11,23.267,CHI,,MIN,W 21-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,59,29.50,0,59,29.5,0,0.0%,1,50.0%,0,0,0%,0,0%,6,26%,
