Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,TEN,,NYG,L 20-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-19,2,2,,TEN,@,BUF,L 7-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2022,2022-09-25,3,3,,TEN,,LVR,W 24-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2022,2022-10-02,4,4,,TEN,@,IND,W 24-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2022,2022-10-09,5,5,24.161,TEN,@,WAS,W 21-17,,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0%,20,32%,3,11%,
6,2022,2022-10-23,6,7,,TEN,,IND,W 19-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2022,2022-10-30,7,8,24.182,TEN,@,HOU,W 17-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,14,26%,1,4%,
8,2022,2022-11-06,8,9,,TEN,@,KAN,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2022,2022-11-13,9,10,24.196,TEN,,DEN,W 17-10,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0%,26,33%,0,0%,
10,2022,2022-11-17,10,11,24.200,TEN,@,GNB,W 27-17,,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0%,19,31%,0,0%,
11,2022,2022-11-27,11,12,24.210,TEN,,CIN,L 16-20,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0%,13,19%,0,0%,
12,2022,2022-12-04,12,13,,TEN,@,PHI,L 10-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2022,2022-12-11,13,14,,TEN,,JAX,L 22-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-12-18,14,15,,TEN,@,LAC,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-12-24,15,16,,TEN,,HOU,L 14-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2022-12-29,16,17,24.242,TEN,,DAL,L 13-27,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,13,16%,5,20%,
17,2022,2023-01-07,17,18,,TEN,@,JAX,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2024,2024-09-09,1,1,26.131,SFO,,NYJ,W 32-19,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,14,27%,1,4%,
19,2024,2024-09-15,2,2,,SFO,@,MIN,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2024,2024-09-22,3,3,26.144,SFO,@,LAR,L 24-27,,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0%,6,10%,1,4%,
21,2024,2024-09-29,4,4,26.151,SFO,,NWE,W 30-13,,0.0,2,0,2,1,1,0,0,1,0,0,0,0,0%,19,30%,0,0%,
22,2024,2024-10-06,5,5,26.158,SFO,,ARI,L 23-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,24,41%,7,29%,
23,2024,2024-10-10,6,6,26.162,SFO,@,SEA,W 36-24,,1.0,2,0,2,1,1,0,0,0,0,0,0,0,0%,32,41%,7,23%,
24,2024,2024-10-20,7,7,26.172,SFO,,KAN,L 18-28,,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0%,36,51%,8,33%,
25,2024,2024-10-27,8,8,26.179,SFO,,DAL,W 30-24,,1.0,1,0,1,1,3,0,0,0,0,0,0,0,0%,29,47%,6,20%,
26,2024,2024-11-10,9,10,26.193,SFO,@,TAM,W 23-20,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,36,59%,4,14%,
27,2024,2024-11-17,10,11,26.200,SFO,,SEA,L 17-20,,0.0,2,1,3,0,1,0,0,0,0,0,0,0,0%,34,57%,2,10%,
28,2024,2024-11-24,11,12,26.207,SFO,@,GNB,L 10-38,*,0.0,1,2,3,1,0,0,0,0,0,0,0,0,0%,45,62%,0,0%,
