Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-09,1.0,1.0,23.203,SFO,,NYJ,W 32-19,,,,,,,,,,,,,,0,0%,0,0%,16,62%,
2.0,2024.0,2024-09-15,2.0,2.0,23.209,SFO,@,MIN,L 17-23,,,,,,,,,,,,,,0,0%,0,0%,13,57%,
3.0,2024.0,2024-09-22,3.0,3.0,,SFO,@,LAR,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4.0,2024.0,2024-09-29,4.0,4.0,23.223,SFO,,NWE,W 30-13,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,4,6%,14,54%,
5.0,2024.0,2024-10-06,5.0,5.0,23.23,SFO,,ARI,L 23-24,,,,,,,,,,,,,,0,0%,0,0%,14,58%,
6.0,2024.0,2024-10-10,6.0,6.0,23.234,SFO,@,SEA,W 36-24,,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0%,0,0%,19,63%,
7.0,2024.0,2024-10-20,7.0,7.0,23.244,SFO,,KAN,L 18-28,,,,,,,,,,,,,,0,0%,2,3%,16,67%,
8.0,2024.0,2024-10-27,8.0,8.0,23.251,SFO,,DAL,W 30-24,,,,,,,,,,,,,,0,0%,2,3%,18,60%,
9.0,2024.0,2024-11-10,9.0,10.0,23.265,SFO,@,TAM,W 23-20,,,,,,,,,,,,,,0,0%,0,0%,17,59%,
10.0,2024.0,2024-11-17,10.0,11.0,23.272,SFO,,SEA,L 17-20,,,,,,,,,,,,,,0,0%,0,0%,3,14%,
11.0,2024.0,2024-11-24,11.0,12.0,,SFO,@,GNB,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
