Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.200,CAR,,LVR,L 30-34,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,25%,2,7%,
2,2020,2020-09-20,2,2,,CAR,@,TAM,L 17-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-27,3,3,22.214,CAR,@,LAC,W 21-16,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,31%,0,0%,
4,2020,2020-10-04,4,4,22.221,CAR,,ARI,W 31-21,,1.0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,21,37%,0,0%,
5,2020,2020-10-11,5,5,22.228,CAR,@,ATL,W 23-16,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,26%,3,12%,
6,2020,2020-10-18,6,6,,CAR,,CHI,L 16-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
7,2020,2020-10-25,7,7,,CAR,@,NOR,L 24-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,2020,2020-10-29,8,8,,CAR,,ATL,L 17-25,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,2020,2020-11-08,9,9,22.256,CAR,@,KAN,L 31-33,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,13,21%,0,0%,
10,2020,2020-11-15,10,10,22.263,CAR,,TAM,L 23-46,*,0.0,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,58%,8,25%,
11,2020,2020-11-22,11,11,22.270,CAR,,DET,W 20-0,*,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,48%,4,17%,
12,2020,2020-11-29,12,12,22.277,CAR,@,MIN,L 27-28,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,56%,6,21%,
13,2020,2020-12-13,13,14,22.291,CAR,,DEN,L 27-32,*,0.0,1,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,42,69%,5,17%,
14,2020,2020-12-19,14,15,22.297,CAR,@,GNB,L 16-24,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,84%,2,7%,
15,2020,2020-12-27,15,16,22.305,CAR,@,WAS,W 20-13,*,1.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,37,52%,4,18%,
16,2020,2021-01-03,16,17,22.312,CAR,,NOR,L 7-33,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,64%,6,26%,
