Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.332,NWE,,PHI,L 20-25,,,,,,,,0,0%,0,0%,17,59%,
2,2023,2023-09-17,2,2,,NWE,,MIA,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2023,2023-09-24,3,3,22.346,NWE,@,NYJ,W 15-10,,0.0,1,0,1,0,0,0,0%,0,0%,15,48%,
4,2023,2023-10-01,4,4,22.353,NWE,@,DAL,L 3-38,,,,,,,,0,0%,0,0%,12,46%,
5,2023,2023-10-08,5,5,22.360,NWE,,NOR,L 0-34,,0.0,2,0,2,0,0,0,0%,10,14%,16,52%,
6,2023,2023-10-15,6,6,23.002,NWE,@,LVR,L 17-21,,,,,,,,0,0%,0,0%,13,52%,
7,2023,2023-10-22,7,7,,IND,,CLE,L 38-39,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2023,2023-10-29,8,8,,IND,,NOR,L 27-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-05,9,9,,IND,@,CAR,W 27-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-12,10,10,23.030,IND,@,NWE,W 10-6,,0.0,1,0,1,0,0,0,0%,0,0%,10,48%,
11,2023,2023-11-26,11,12,23.044,IND,,TAM,W 27-20,,,,,,,,0,0%,0,0%,17,63%,
12,2023,2023-12-03,12,13,23.051,IND,@,TEN,W 31-28,,,,,,,,0,0%,0,0%,26,70%,
13,2023,2023-12-10,13,14,23.058,IND,@,CIN,L 14-34,,0.0,1,0,1,0,0,0,0%,0,0%,17,63%,
14,2023,2023-12-16,14,15,23.064,IND,,PIT,W 30-13,,0.0,0,1,1,0,0,0,0%,2,3%,17,65%,
15,2023,2023-12-24,15,16,23.072,IND,@,ATL,L 10-29,,0.0,2,0,2,0,0,0,0%,0,0%,25,89%,
16,2023,2023-12-31,16,17,23.079,IND,,LVR,W 23-20,,,,,,,,0,0%,0,0%,19,63%,
17,2023,2024-01-06,17,18,23.085,IND,,HOU,L 19-23,,0.0,1,0,1,1,0,0,0%,0,0%,23,77%,
18,2024,2024-09-08,1,1,,IND,,HOU,L 27-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2024,2024-09-15,2,2,,IND,@,GNB,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2024,2024-09-29,4,4,,CHI,,LAR,W 24-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2024,2024-10-06,5,5,,CHI,,CAR,W 36-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2024,2024-10-13,6,6,24.000,CHI,,JAX,W 35-16,,,,,,,,0,0%,3,5%,8,33%,
23,2024,2024-10-27,7,8,,CHI,@,WAS,L 15-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2024,2024-11-03,8,9,,CHI,@,ARI,L 9-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2024,2024-11-10,9,10,,CHI,,NWE,L 3-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
