Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,22.188,CIN,,BAL,L 0-20,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,13,20%,0,0%,
2,2017,2017-09-14,2,2,22.192,CIN,,HOU,L 9-13,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,11,17%,1,3%,
3,2017,2017-09-24,3,3,22.202,CIN,@,GNB,L 24-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,3,4%,0,0%,
4,2017,2017-10-01,4,4,22.209,CIN,@,CLE,W 31-7,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,4,6%,0,0%,
5,2017,2017-10-08,5,5,22.216,CIN,,BUF,W 20-16,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,10,14%,0,0%,
6,2017,2017-10-22,6,7,22.230,CIN,@,PIT,L 14-29,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,13,19%,0,0%,
7,2017,2017-10-29,7,8,22.237,CIN,,IND,W 24-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,5,7%,0,0%,
8,2017,2017-11-05,8,9,22.244,CIN,@,JAX,L 7-23,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,47,59%,0,0%,
9,2017,2017-11-12,9,10,22.251,CIN,@,TEN,L 20-24,*,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0%,36,40%,0,0%,
10,2017,2017-11-19,10,11,22.258,CIN,@,DEN,W 20-17,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0%,42,51%,0,0%,
11,2017,2017-11-26,11,12,22.265,CIN,,CLE,W 30-16,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,24,34%,0,0%,
12,2017,2017-12-04,12,13,22.273,CIN,,PIT,L 20-23,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,11,17%,0,0%,
13,2017,2017-12-10,13,14,22.279,CIN,,CHI,L 7-33,*,0.0,2,2,4,1,0,0,0,0,0,0,0,0,0%,47,62%,0,0%,
14,2017,2017-12-17,14,15,22.286,CIN,@,MIN,L 7-34,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,37,57%,0,0%,
15,2017,2017-12-24,,16,,CIN,,DET,W 26-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2017,2017-12-31,16,17,22.300,CIN,@,BAL,W 31-27,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,31,41%,0,0%,
17,2018,2018-09-09,1,1,23.187,CIN,@,IND,W 34-23,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,33,40%,6,21%,
18,2018,2018-09-13,2,2,23.191,CIN,,BAL,W 34-23,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,36,42%,3,10%,
19,2018,2018-09-23,3,3,23.201,CIN,@,CAR,L 21-31,*,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,35,52%,5,19%,
20,2018,2018-09-30,4,4,23.208,CIN,@,ATL,W 37-36,*,0.0,3,0,3,0,1,0,0,0,0,0,0,0,0%,34,49%,7,24%,
21,2018,2018-10-07,5,5,23.215,CIN,,MIA,W 27-17,*,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0%,36,56%,4,14%,
22,2018,2018-10-14,6,6,23.222,CIN,,PIT,L 21-28,*,0.0,0,2,2,0,1,0,0,0,0,0,0,0,0%,47,64%,0,0%,
23,2018,2018-10-21,7,7,23.229,CIN,@,KAN,L 10-45,*,1.0,5,0,5,1,2,0,0,0,0,0,0,0,0%,45,64%,4,15%,
24,2018,2018-10-28,8,8,23.236,CIN,,TAM,W 37-34,*,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0%,27,31%,2,6%,
25,2018,2018-11-11,9,10,23.250,CIN,,NOR,L 14-51,*,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0%,55,73%,5,18%,
26,2018,2018-11-18,10,11,23.257,CIN,@,BAL,L 21-24,*,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0%,49,62%,1,4%,
27,2018,2018-11-25,11,12,23.264,CIN,,CLE,L 20-35,*,0.0,3,0,3,2,0,0,0,0,0,0,0,0,0%,51,80%,2,8%,
28,2018,2018-12-02,12,13,23.271,CIN,,DEN,L 10-24,*,0.0,2,3,5,1,0,0,0,0,0,0,0,0,0%,44,75%,6,21%,
29,2018,2018-12-09,13,14,23.278,CIN,@,LAC,L 21-26,*,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0%,30,53%,6,21%,
30,2018,2018-12-16,14,15,23.285,CIN,,OAK,W 30-16,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,33,56%,4,12%,
31,2018,2018-12-23,15,16,23.292,CIN,@,CLE,L 18-26,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,44,64%,5,19%,
