Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,23.088,IND,,SEA,L 16-28,,,,,,,,0,0%,4,7%,0,0%,
2,2021,2021-09-19,2,2,,IND,,LAR,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2021,2021-09-26,3,3,23.102,IND,@,TEN,L 16-25,,0.0,0,1,1,0,0,0,0%,12,18%,3,13%,
4,2021,2021-10-03,4,4,23.109,IND,@,MIA,W 27-17,,,,,,,,0,0%,3,6%,2,7%,
5,2021,2021-10-11,5,5,23.117,IND,@,BAL,L 25-31,,,,,,,,0,0%,10,14%,1,4%,
6,2021,2021-10-17,6,6,,IND,,HOU,W 31-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2021,2021-10-24,7,7,,IND,@,SFO,W 30-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2021,2021-12-18,14,15,23.185,IND,,NWE,W 27-17,,,,,,,,0,0%,6,9%,2,8%,
9,2021,2021-12-25,15,16,23.192,IND,@,ARI,W 22-16,,,,,,,,0,0%,6,9%,0,0%,
10,2021,2022-01-02,16,17,23.200,IND,,LVR,L 20-23,,0.0,0,1,1,0,0,0,0%,9,15%,0,0%,
11,2021,2022-01-09,17,18,23.207,IND,@,JAX,L 11-26,,0.0,2,0,2,0,0,0,0%,12,18%,3,14%,
12,2022,2022-09-11,1,1,,IND,@,HOU,T 20-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2022,2022-09-18,2,2,,IND,@,JAX,L 0-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-09-25,3,3,,IND,,KAN,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-10-02,4,4,,IND,,TEN,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2022,2022-10-06,5,5,24.112,IND,@,DEN,W 12-9,,0.0,0,0,0,0,1,0,0%,7,10%,0,0%,
17,2022,2022-10-16,6,6,24.122,IND,,JAX,W 34-27,,0.0,1,0,1,0,0,0,0%,8,13%,2,8%,
18,2022,2022-10-23,7,7,24.129,IND,@,TEN,L 10-19,,,,,,,,0,0%,13,22%,0,0%,
19,2022,2022-10-30,8,8,,IND,,WAS,L 16-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2022,2022-11-06,9,9,,IND,@,NWE,L 3-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2022,2022-11-13,10,10,,IND,@,LVR,W 25-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2022,2022-11-20,11,11,,IND,,PHI,L 16-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2022,2022-11-28,12,12,24.165,IND,,PIT,L 17-24,,,,,,,,0,0%,7,10%,0,0%,
24,2022,2022-12-04,13,13,,IND,@,DAL,L 19-54,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2022,2022-12-17,14,15,,IND,@,MIN,L 36-39,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2022,2022-12-26,15,16,,IND,,LAC,L 3-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2022,2023-01-01,16,17,24.199,IND,@,NYG,L 10-38,,0.0,0,1,1,0,0,0,0%,10,16%,0,0%,
28,2022,2023-01-08,17,18,,IND,,HOU,L 31-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
