Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.144,CHI,,SFO,W 19-10,*,0.0,4,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0%,68,100%,5,21%,
2,2022,2022-09-18,2,2,23.151,CHI,@,GNB,L 10-27,*,0.0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,0,0%,
3,2022,2022-09-25,3,3,23.158,CHI,,HOU,W 23-20,*,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,7,24%,
4,2022,2022-10-02,4,4,23.165,CHI,@,NYG,L 12-20,*,1.0,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,6,20%,
5,2022,2022-10-09,5,5,23.172,CHI,@,MIN,L 22-29,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,79,100%,0,0%,
6,2022,2022-10-13,6,6,23.176,CHI,,WAS,L 7-12,*,1.0,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,2,10%,
7,2022,2022-10-24,7,7,23.187,CHI,@,NWE,W 33-14,*,0.0,5,2,7,0,0,1,6,0,1,0,0,0,0,0,0,0,0%,51,98%,7,28%,
8,2022,2022-10-30,8,8,23.193,CHI,@,DAL,L 29-49,*,1.0,7,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,5,17%,
9,2022,2022-11-06,9,9,23.200,CHI,,MIA,L 32-35,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,6,23%,
10,2022,2022-11-13,10,10,23.207,CHI,,DET,L 30-31,*,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,98%,1,3%,
11,2022,2022-11-20,11,11,23.214,CHI,@,ATL,L 24-27,*,0.0,7,4,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,53,96%,6,22%,
12,2022,2022-11-27,12,12,,CHI,@,NYJ,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2022,2022-12-04,13,13,,CHI,,GNB,L 19-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2022,2022-12-18,14,15,23.242,CHI,,PHI,L 20-25,*,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,1,4%,
15,2022,2022-12-24,15,16,23.248,CHI,,BUF,L 13-35,*,1.0,4,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,0,0%,
16,2022,2023-01-01,16,17,23.256,CHI,@,DET,L 10-41,*,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,100%,0,0%,
17,2022,2023-01-08,17,18,23.263,CHI,,MIN,L 13-29,*,0.0,5,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,1,4%,
18,2023,2023-09-10,1,1,24.143,CHI,,GNB,L 20-38,*,0.0,3,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,57,95%,6,21%,
19,2023,2023-09-17,2,2,24.150,CHI,@,TAM,L 17-27,*,0.0,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,41,58%,3,11%,
20,2023,2023-09-24,3,3,24.157,CHI,@,KAN,L 10-41,*,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,99%,7,28%,
21,2023,2023-10-01,4,4,24.164,CHI,,DEN,L 28-31,*,0.0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,100%,5,19%,
22,2023,2023-10-05,5,5,24.168,CHI,@,WAS,W 40-20,*,0.0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,91%,3,10%,
23,2023,2023-10-15,6,6,24.178,CHI,,MIN,L 13-19,*,0.5,3,3,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,57,100%,5,19%,
24,2023,2023-10-22,7,7,24.185,CHI,,LVR,W 30-12,*,0.0,9,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,100%,3,13%,
25,2023,2023-10-29,8,8,,CHI,@,LAC,L 13-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2023,2023-11-05,9,9,,CHI,@,NOR,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2023,2023-11-09,10,10,24.203,CHI,,CAR,W 16-13,*,0.0,5,4,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,100%,7,25%,
28,2023,2023-11-19,11,11,24.213,CHI,@,DET,L 26-31,*,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,4,15%,
29,2023,2023-11-27,12,12,24.221,CHI,@,MIN,W 12-10,*,0.5,2,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0%,54,98%,3,15%,
30,2023,2023-12-10,13,14,24.234,CHI,,DET,W 28-13,*,0.0,13,4,17,0,0,0,0,0,2,0,0,1,0,0,0,0,0%,64,98%,2,8%,
31,2023,2023-12-17,14,15,24.241,CHI,@,CLE,L 17-20,*,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,69,100%,6,17%,
32,2023,2023-12-24,15,16,24.248,CHI,,ARI,W 27-16,*,0.0,4,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,59,97%,3,10%,
33,2023,2023-12-31,16,17,24.255,CHI,,ATL,W 37-17,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,5,16%,
34,2023,2024-01-07,17,18,24.262,CHI,@,GNB,L 9-17,*,0.0,4,4,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0%,60,100%,4,22%,
35,2024,2024-09-08,1,1,25.141,CHI,,TEN,W 24-17,*,0.0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,4,14%,
36,2024,2024-09-15,2,2,25.148,CHI,@,HOU,L 13-19,*,0.0,4,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,5,17%,
37,2024,2024-09-22,3,3,25.155,CHI,@,IND,L 16-21,*,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,100%,3,13%,
38,2024,2024-09-29,4,4,25.162,CHI,,LAR,W 24-18,*,1.0,8,4,12,2,1,1,0,0,1,0,0,0,0,0,0,0,0%,61,100%,5,19%,
39,2024,2024-10-06,5,5,25.169,CHI,,CAR,W 36-10,*,0.0,3,2,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,51,85%,4,15%,
40,2024,2024-10-13,6,6,,CHI,,JAX,W 35-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2024,2024-10-27,7,8,,CHI,@,WAS,L 15-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2024,2024-11-03,8,9,,CHI,@,ARI,L 9-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2024,2024-11-10,9,10,,CHI,,NWE,L 3-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
