Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,24.332,CHI,,SFO,W 19-10,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,63%,
2,2022,2022-09-18,2,2,24.339,CHI,@,GNB,L 10-27,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,68%,
3,2022,2022-09-25,3,3,24.346,CHI,,HOU,W 23-20,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,54%,10,34%,
4,2022,2022-10-02,4,4,24.353,CHI,@,NYG,L 12-20,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,38%,13,43%,
5,2022,2022-10-09,5,5,24.360,CHI,@,MIN,L 22-29,*,0.0,10,4,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,72,91%,8,35%,
6,2022,2022-10-13,6,6,24.364,CHI,,WAS,L 7-12,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,16,80%,
7,2022,2022-10-24,7,7,25.010,CHI,@,NWE,W 33-14,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,64%,
8,2022,2022-10-30,8,8,25.016,CHI,@,DAL,L 29-49,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,66%,
9,2022,2022-11-06,9,9,25.023,CHI,,MIA,L 32-35,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,51%,4,15%,
10,2022,2022-11-13,10,10,25.030,CHI,,DET,L 30-31,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,66%,2,7%,
11,2022,2022-11-20,11,11,25.037,CHI,@,ATL,L 24-27,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,18%,16,59%,
12,2022,2022-11-27,12,12,25.044,CHI,@,NYJ,L 10-31,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,52%,10,40%,
13,2022,2022-12-04,13,13,25.051,CHI,,GNB,L 19-28,*,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,98%,5,21%,
14,2022,2022-12-18,14,15,25.065,CHI,,PHI,L 20-25,,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,88%,3,12%,
15,2022,2022-12-24,15,16,25.071,CHI,,BUF,L 13-35,*,0.0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,64,100%,0,0%,
16,2022,2023-01-01,16,17,25.079,CHI,@,DET,L 10-41,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,39%,1,3%,
17,2022,2023-01-08,17,18,,CHI,,MIN,L 13-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2023,2023-09-10,1,1,25.331,CHI,,GNB,L 20-38,,,,,,,,,,,,,,,,,,0,0%,2,3%,20,71%,
19,2023,2023-09-17,2,2,25.338,CHI,@,TAM,L 17-27,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,24,89%,
20,2023,2023-09-24,3,3,25.345,CHI,@,KAN,L 10-41,,0.0,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,55%,17,68%,
21,2023,2023-10-01,4,4,25.352,CHI,,DEN,L 28-31,,,,,,,,,,,,,,,,,,0,0%,0,0%,20,77%,
22,2023,2023-10-05,5,5,25.356,CHI,@,WAS,W 40-20,,0.0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,26%,22,73%,
23,2023,2023-10-15,6,6,26.001,CHI,,MIN,L 13-19,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,12%,22,85%,
24,2023,2023-10-22,7,7,26.008,CHI,,LVR,W 30-12,,,,,,,,,,,,,,,,,,0,0%,5,8%,16,70%,
25,2023,2023-10-29,8,8,26.015,CHI,@,LAC,L 13-30,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,16%,21,95%,
26,2023,2023-11-05,9,9,26.022,CHI,@,NOR,L 17-24,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,44%,14,58%,
27,2023,2023-11-09,10,10,26.026,CHI,,CAR,W 16-13,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,21,75%,
28,2023,2023-11-19,11,11,26.036,CHI,@,DET,L 26-31,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,69%,
29,2023,2023-11-27,12,12,26.044,CHI,@,MIN,W 12-10,,,,,,,,,,,,,,,,,,0,0%,4,7%,14,70%,
30,2023,2023-12-10,13,14,26.057,CHI,,DET,W 28-13,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,79%,
31,2023,2023-12-17,14,15,26.064,CHI,@,CLE,L 17-20,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,30,86%,
32,2023,2023-12-24,15,16,26.071,CHI,,ARI,W 27-16,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,79%,
33,2023,2023-12-31,16,17,26.078,CHI,,ATL,W 37-17,,,,,,,,,,,,,,,,,,0,0%,0,0%,24,75%,
34,2023,2024-01-07,17,18,26.085,CHI,@,GNB,L 9-17,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,27,45%,10,56%,
35,2024,2024-09-08,1,1,26.330,CHI,,TEN,W 24-17,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,72%,
36,2024,2024-09-15,2,2,26.337,CHI,@,HOU,L 13-19,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,73%,
37,2024,2024-09-22,3,3,26.344,CHI,@,IND,L 16-21,,,,,,,,,,,,,,,,,,0,0%,1,2%,18,78%,
38,2024,2024-09-29,4,4,26.351,CHI,,LAR,W 24-18,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,65%,
39,2024,2024-10-06,5,5,26.358,CHI,,CAR,W 36-10,,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,9,15%,17,65%,
40,2024,2024-10-13,6,6,26.365,CHI,,JAX,W 35-16,*,0.0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,12,50%,
41,2024,2024-10-27,7,8,27.013,CHI,@,WAS,L 15-18,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,17,65%,
42,2024,2024-11-03,8,9,27.020,CHI,@,ARI,L 9-29,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,57%,
43,2024,2024-11-10,9,10,,CHI,,NWE,L 3-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
