Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,23.159,CHI,,SFO,W 19-10,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,9,38%,
2,2022,2022-09-18,2,2,23.166,CHI,@,GNB,L 10-27,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,59%,
3,2022,2022-09-25,3,3,23.173,CHI,,HOU,W 23-20,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,62%,
4,2022,2022-10-02,4,4,23.180,CHI,@,NYG,L 12-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0%,0,0%,20,67%,
5,2022,2022-10-09,5,5,23.187,CHI,@,MIN,L 22-29,,0,0,,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,61%,
6,2022,2022-10-13,6,6,23.191,CHI,,WAS,L 7-12,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,80%,
7,2022,2022-10-24,7,7,23.202,CHI,@,NWE,W 33-14,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,52%,
8,2022,2022-10-30,8,8,23.208,CHI,@,DAL,L 29-49,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,11,38%,
9,2022,2022-11-06,9,9,23.215,CHI,,MIA,L 32-35,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,14,54%,
10,2022,2022-11-13,10,10,23.222,CHI,,DET,L 30-31,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,66%,
11,2022,2022-11-20,11,11,23.229,CHI,@,ATL,L 24-27,,0,0,,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,67%,
12,2022,2022-11-27,12,12,23.236,CHI,@,NYJ,L 10-31,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,92%,
13,2022,2022-12-04,13,13,23.243,CHI,,GNB,L 19-28,*,0,0,,0,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,77%,11,46%,
14,2022,2022-12-18,14,15,23.257,CHI,,PHI,L 20-25,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,16,64%,
15,2022,2022-12-24,15,16,23.263,CHI,,BUF,L 13-35,,0,0,,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,63%,13,52%,
16,2022,2023-01-01,16,17,23.271,CHI,@,DET,L 10-41,,0,0,,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,58%,17,57%,
17,2022,2023-01-08,17,18,,CHI,,MIN,L 13-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2023,2023-09-10,1,1,24.158,CHI,,GNB,L 20-38,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,17%,24,86%,
19,2023,2023-09-17,2,2,,CHI,@,TAM,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2023,2023-09-24,3,3,24.172,CHI,@,KAN,L 10-41,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,12%,15,60%,
21,2023,2023-10-01,4,4,,CHI,,DEN,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2023,2023-10-05,5,5,,CHI,@,WAS,W 40-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2023,2023-10-15,6,6,,CHI,,MIN,L 13-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2023,2023-10-22,7,7,,CHI,,LVR,W 30-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2023,2023-10-29,8,8,,CHI,@,LAC,L 13-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2023,2023-11-05,9,9,,CHI,@,NOR,L 17-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2023,2023-11-09,10,10,24.218,CHI,,CAR,W 16-13,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,61%,
28,2023,2023-11-19,11,11,24.228,CHI,@,DET,L 26-31,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,69%,
29,2023,2023-11-27,12,12,24.236,CHI,@,MIN,W 12-10,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,2,4%,14,70%,
30,2023,2023-12-10,13,14,24.249,CHI,,DET,W 28-13,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,67%,
31,2023,2023-12-17,14,15,24.256,CHI,@,CLE,L 17-20,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,24,69%,
32,2023,2023-12-24,15,16,24.263,CHI,,ARI,W 27-16,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,66%,
33,2023,2023-12-31,16,17,24.270,CHI,,ATL,W 37-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,20,63%,
34,2023,2024-01-07,17,18,24.277,CHI,@,GNB,L 9-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,11,61%,
35,2024,2024-09-08,1,1,25.156,CHI,,TEN,W 24-17,,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,69%,
36,2024,2024-09-15,2,2,25.163,CHI,@,HOU,L 13-19,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,21,70%,
37,2024,2024-09-22,3,3,25.170,CHI,@,IND,L 16-21,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,74%,
38,2024,2024-09-29,4,4,25.177,CHI,,LAR,W 24-18,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,16,62%,
39,2024,2024-10-06,5,5,25.184,CHI,,CAR,W 36-10,,1,22,22.00,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,15%,19,73%,
40,2024,2024-10-13,6,6,25.191,CHI,,JAX,W 35-16,,0,0,,0,0.0,1,0,1,0,0,1,10,0,1,0,0,0,0,0,0,0,0%,30,48%,10,42%,
41,2024,2024-10-27,7,8,25.205,CHI,@,WAS,L 15-18,*,0,0,,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,70%,8,31%,
42,2024,2024-11-03,8,9,25.212,CHI,@,ARI,L 9-29,,,,,,,,,,,,,,,,,,,,,,0,0%,8,14%,18,64%,
43,2024,2024-11-10,9,10,25.219,CHI,,NWE,L 3-19,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,24,89%,
