Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2013,2013-09-09,,1,,SDG,,HOU,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2013,2013-09-15,2,2,21.141,SDG,@,PHI,W 33-30,,3,2,34,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,44,53%,0,0%,0,0%,
3,2013,2013-09-22,3,3,21.148,SDG,@,TEN,L 17-20,*,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,49,83%,0,0%,0,0%,
4,2013,2013-09-29,4,4,21.155,SDG,,DAL,W 30-21,*,6,5,80,16.00,0,83.3%,13.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,68,94%,0,0%,0,0%,
5,2013,2013-10-06,5,5,21.162,SDG,@,OAK,L 17-27,*,9,6,115,19.17,1,66.7%,12.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,21,21.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,2,7%,
6,2013,2013-10-14,6,6,21.170,SDG,,IND,W 19-9,*,12,9,107,11.89,1,75.0%,8.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,74,99%,0,0%,2,8%,
7,2013,2013-10-20,7,7,21.176,SDG,@,JAX,W 24-6,*,6,3,67,22.33,0,50.0%,11.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,58,82%,0,0%,3,15%,
8,2013,2013-11-03,8,9,21.190,SDG,@,WAS,L 24-30,*,11,8,128,16.00,1,72.7%,11.64,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,98%,0,0%,3,11%,
9,2013,2013-11-10,9,10,21.197,SDG,,DEN,L 20-28,*,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,70,97%,0,0%,5,16%,
10,2013,2013-11-17,10,11,21.204,SDG,@,MIA,L 16-20,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,34,17.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,3,12%,
11,2013,2013-11-24,11,12,21.211,SDG,@,KAN,W 41-38,*,11,9,124,13.78,0,81.8%,11.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,69,99%,0,0%,4,11%,
12,2013,2013-12-01,12,13,21.218,SDG,,CIN,L 10-17,*,10,8,106,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,65,100%,0,0%,4,20%,
13,2013,2013-12-08,13,14,21.225,SDG,,NYG,W 37-14,*,3,3,59,19.67,2,100.0%,19.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,47,65%,0,0%,2,8%,
14,2013,2013-12-12,14,15,21.229,SDG,@,DEN,W 27-20,*,5,2,29,14.50,2,40.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,5,19%,
15,2013,2013-12-22,15,16,21.239,SDG,,OAK,W 26-13,*,7,3,26,8.67,1,42.9%,3.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,35,11.67,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,71,99%,0,0%,5,19%,
16,2013,2013-12-29,16,17,21.246,SDG,,KAN,W 27-24,*,8,5,89,17.80,0,62.5%,11.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,5,15%,
17,2014,2014-09-08,1,1,22.134,SDG,@,ARI,L 17-18,*,9,5,37,7.40,0,55.6%,4.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,
18,2014,2014-09-14,2,2,22.140,SDG,,SEA,W 30-21,*,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,79,96%,0,0%,0,0%,
19,2014,2014-09-21,3,3,22.147,SDG,@,BUF,W 22-10,*,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,65,98%,0,0%,4,15%,
