Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.004,WAS,@,PHI,L 27-32,*,0,0,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,69%,5,17%,
2,2019,2019-09-15,2,2,23.011,WAS,,DAL,L 21-31,*,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,72%,5,21%,
3,2019,2019-09-23,3,3,23.019,WAS,,CHI,L 15-31,*,0,0,1.0,4,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,67%,7,33%,
4,2019,2019-09-29,4,4,23.025,WAS,@,NYG,L 3-24,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,69%,4,20%,
5,2019,2019-10-06,5,5,23.032,WAS,,NWE,L 7-33,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,60%,7,22%,
6,2019,2019-10-13,6,6,23.039,WAS,@,MIA,W 17-16,*,0,0,0.0,1,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,41,55%,6,20%,
7,2019,2019-10-20,7,7,23.046,WAS,,SFO,L 0-9,*,0,0,0.5,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,69%,5,31%,
8,2019,2019-10-24,8,8,23.050,WAS,@,MIN,L 9-19,*,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,60%,5,25%,
9,2019,2019-11-03,9,9,23.060,WAS,@,BUF,L 9-24,*,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,47%,4,17%,
10,2019,2019-11-17,10,11,23.074,WAS,,NYJ,L 17-34,*,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,36,51%,10,32%,
11,2019,2019-11-24,11,12,23.081,WAS,,DET,W 19-16,*,0,0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0%,49,66%,6,20%,
12,2019,2019-12-01,12,13,23.088,WAS,@,CAR,W 29-21,*,0,0,1.5,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,32,44%,2,6%,
13,2019,2019-12-08,13,14,23.095,WAS,@,GNB,L 15-20,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,68%,7,28%,
14,2019,2019-12-15,14,15,23.102,WAS,,PHI,L 27-37,*,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,79%,6,21%,
15,2019,2019-12-22,15,16,23.109,WAS,,NYG,L 35-41,*,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,77%,7,21%,
16,2019,2019-12-29,16,17,23.116,WAS,@,DAL,L 16-47,*,0,0,2.0,5,0,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0%,52,68%,7,21%,
17,2020,2020-09-13,1,1,24.009,WAS,,PHI,W 27-17,*,0,0,1.0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,48,71%,0,0%,
18,2020,2020-09-20,2,2,24.016,WAS,@,ARI,L 15-30,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,65%,0,0%,
19,2020,2020-09-27,3,3,24.023,WAS,@,CLE,L 20-34,*,0,0,1.0,3,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,46,73%,7,25%,
20,2020,2020-10-04,4,4,24.030,WAS,,BAL,L 17-31,*,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,47%,0,0%,
21,2020,2020-10-11,5,5,24.037,WAS,,LAR,L 10-30,*,0,0,1.0,4,4,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,44,65%,0,0%,
22,2020,2020-10-18,6,6,24.044,WAS,@,NYG,L 19-20,*,0,0,0.0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,79%,0,0%,
23,2020,2020-10-25,7,7,24.051,WAS,,DAL,W 25-3,*,0,0,2.0,2,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0%,39,68%,0,0%,
24,2020,2020-11-08,8,9,24.065,WAS,,NYG,L 20-23,*,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,44,57%,0,0%,
25,2020,2020-11-15,9,10,24.072,WAS,@,DET,L 27-30,*,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,64%,0,0%,
26,2020,2020-11-22,10,11,24.079,WAS,,CIN,W 20-9,*,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,65%,4,15%,
27,2020,2020-11-26,11,12,24.083,WAS,@,DAL,W 41-16,*,1,6,0.0,0,2,2,0,0,1,15,1,1,0,0,0,0,0,0,0,0%,33,56%,4,14%,
28,2020,2020-12-07,12,13,24.094,WAS,@,PIT,W 23-17,*,0,0,0.0,1,3,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0%,45,63%,6,19%,
29,2020,2020-12-13,13,14,24.100,WAS,@,SFO,W 23-15,*,0,0,1.0,5,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,56,69%,4,12%,
30,2020,2020-12-20,14,15,24.107,WAS,,SEA,L 15-20,*,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,39,68%,6,25%,
31,2020,2020-12-27,15,16,24.114,WAS,,CAR,L 13-20,*,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,50,75%,7,32%,
32,2020,2021-01-03,16,17,24.121,WAS,@,PHI,W 20-14,*,0,0,1.0,4,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0%,52,76%,4,16%,
33,2021,2021-09-12,1,1,25.008,WAS,,LAC,L 16-20,*,0,0,1.0,2,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,53,65%,0,0%,
34,2021,2021-09-16,2,2,25.012,WAS,,NYG,W 30-29,*,0,0,1.0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,61,88%,0,0%,
35,2021,2021-09-26,3,3,25.022,WAS,@,BUF,L 21-43,*,0,0,0.0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,70%,0,0%,
36,2021,2021-10-03,4,4,25.029,WAS,@,ATL,W 34-30,*,0,0,1.0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,60,79%,0,0%,
