Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,,1,,BUF,@,NYJ,W 17-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2019,2019-09-15,,2,,BUF,@,NYG,W 28-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2019,2019-09-22,,3,,BUF,,CIN,W 21-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-29,,4,,BUF,,NWE,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2019,2019-10-06,5,5,22.234,BUF,@,TEN,W 14-7,,0,,,0,0,0,20,31%,0,0%,2,8%,
6,2019,2019-10-20,,7,,BUF,,MIA,W 31-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2019,2019-10-27,,8,,BUF,,PHI,L 13-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2019,2019-11-03,8,9,22.262,BUF,,WAS,W 24-9,,0,,,0,0,0,0,0%,0,0%,4,17%,
9,2019,2019-11-10,,10,,BUF,@,CLE,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-11-17,,11,,BUF,@,MIA,W 37-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2019,2019-11-24,11,12,22.283,BUF,,DEN,W 20-3,,0,,,0,0,0,0,0%,0,0%,4,17%,
12,2019,2019-11-28,12,13,22.287,BUF,@,DAL,W 26-15,,0,,,0,0,0,0,0%,0,0%,6,26%,
13,2019,2019-12-08,13,14,22.297,BUF,,BAL,L 17-24,,0,,,0,0,0,0,0%,0,0%,3,10%,
14,2019,2019-12-15,14,15,22.304,BUF,@,PIT,W 17-10,,0,,,0,0,0,0,0%,0,0%,3,13%,
15,2019,2019-12-21,15,16,22.310,BUF,@,NWE,L 17-24,,0,,,0,0,0,1,2%,0,0%,3,12%,
16,2019,2019-12-29,16,17,22.318,BUF,,NYJ,L 6-13,,0,,,0,0,0,57,89%,0,0%,2,8%,
17,2020,2020-09-13,1,1,23.212,BUF,,NYJ,W 27-17,,0,,,0,0,0,1,1%,0,0%,7,27%,
18,2020,2020-09-20,2,2,23.219,BUF,@,MIA,W 31-28,,0,,,0,0,0,5,8%,0,0%,5,17%,
19,2020,2020-09-27,3,3,23.226,BUF,,LAR,W 35-32,,0,,,0,0,0,1,2%,0,0%,5,21%,
20,2020,2020-10-04,4,4,23.233,BUF,@,LVR,W 30-23,,0,,,0,0,0,1,2%,0,0%,5,19%,
21,2020,2020-10-13,5,5,23.242,BUF,@,TEN,L 16-42,,0,,,0,0,0,7,10%,0,0%,2,8%,
22,2020,2020-10-19,6,6,23.248,BUF,,KAN,L 17-26,,0,,,0,0,0,0,0%,0,0%,4,16%,
23,2020,2020-10-25,7,7,23.254,BUF,@,NYJ,W 18-10,,0,,,0,0,0,2,3%,0,0%,8,35%,
24,2020,2020-11-01,8,8,23.261,BUF,,NWE,W 24-21,,0,,,0,0,0,7,12%,0,0%,4,16%,
25,2020,2020-11-08,9,9,23.268,BUF,,SEA,W 44-34,,0,,,0,0,0,13,19%,0,0%,9,26%,
26,2020,2020-11-15,10,10,23.275,BUF,@,ARI,L 30-32,,0,,,0,0,0,0,0%,0,0%,6,18%,
27,2020,2020-11-29,11,12,23.289,BUF,,LAC,W 27-17,,0,,,0,0,0,1,2%,0,0%,5,19%,
28,2020,2020-12-07,12,13,23.297,BUF,@,SFO,W 34-24,,0,,,0,0,0,2,3%,0,0%,6,25%,
29,2020,2020-12-13,13,14,23.303,BUF,,PIT,W 26-15,,0,,,0,0,0,1,1%,0,0%,5,18%,
30,2020,2020-12-19,14,15,23.309,BUF,@,DEN,W 48-19,,0,,,0,0,0,4,5%,0,0%,8,25%,
31,2020,2020-12-28,15,16,23.318,BUF,@,NWE,W 38-9,,0,,,0,0,0,8,11%,0,0%,6,21%,
32,2020,2021-01-03,16,17,23.324,BUF,,MIA,W 56-26,,0,,,0,0,0,29,45%,0,0%,8,22%,
33,2021,2021-09-12,1,1,24.210,BUF,,PIT,L 16-23,,,,,,,,0,0%,0,0%,4,14%,
34,2021,2021-09-19,2,2,24.217,BUF,@,MIA,W 35-0,,,,,,,,2,3%,0,0%,6,27%,
35,2021,2021-09-26,3,3,24.224,BUF,,WAS,W 43-21,,,,,,,,8,10%,0,0%,7,24%,
36,2021,2021-10-03,4,4,24.231,BUF,,HOU,W 40-0,*,,,,,,,10,14%,0,0%,8,33%,
37,2021,2021-10-10,5,5,24.238,BUF,@,KAN,W 38-20,,,,,,,,0,0%,0,0%,6,21%,
38,2021,2021-10-18,6,6,24.246,BUF,@,TEN,L 31-34,,,,,,,,1,1%,0,0%,5,17%,
39,2021,2021-10-31,7,8,24.259,BUF,,MIA,W 26-11,,,,,,,,4,5%,0,0%,4,17%,
40,2021,2021-11-07,8,9,24.266,BUF,@,JAX,L 6-9,,,,,,,,1,1%,0,0%,2,10%,
41,2021,2021-11-14,9,10,24.273,BUF,@,NYJ,W 45-17,,,,,,,,11,19%,0,0%,7,26%,
42,2021,2021-11-21,10,11,24.280,BUF,,IND,L 15-41,,,,,,,,5,9%,0,0%,3,13%,
43,2021,2021-11-25,11,12,24.284,BUF,@,NOR,W 31-6,,,,,,,,9,14%,0,0%,5,23%,
44,2021,2021-12-06,12,13,24.295,BUF,,NWE,L 10-14,,,,,,,,4,7%,0,0%,3,13%,
45,2021,2021-12-12,13,14,24.301,BUF,@,TAM,L 27-33,,,,,,,,1,1%,0,0%,5,14%,
