Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,24.069,BUF,@,NYJ,W 17-16,,2,2,35,17.50,0,100.0%,17.50,0,0,0,0,0,0,0,0,21,32%,0,0%,0,0%,
2,2019,2019-09-15,2,2,24.076,BUF,@,NYG,W 28-14,*,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,
3,2019,2019-09-22,3,3,24.083,BUF,,CIN,W 21-17,,3,1,3,3.00,0,33.3%,1.00,0,0,0,0,0,0,0,0,22,29%,0,0%,4,15%,
4,2019,2019-09-29,4,4,24.090,BUF,,NWE,L 10-16,,,,,,,0.0%,,0,0,0,,,0,0,0,9,11%,0,0%,0,0%,
5,2019,2019-10-06,5,5,24.097,BUF,@,TEN,W 14-7,,2,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,16,25%,0,0%,1,4%,
6,2019,2019-10-20,,7,,BUF,,MIA,W 31-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2019,2019-10-27,,8,,BUF,,PHI,L 13-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2019,2019-11-03,,9,,BUF,,WAS,W 24-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2019,2019-11-10,,10,,BUF,@,CLE,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2019,2019-11-17,,11,,BUF,@,MIA,W 37-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2019,2019-11-24,,12,,BUF,,DEN,W 20-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2019,2019-11-28,,13,,BUF,@,DAL,W 26-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2019,2019-12-08,,14,,BUF,,BAL,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2019,2019-12-15,,15,,BUF,@,PIT,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2019,2019-12-21,,16,,BUF,@,NWE,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2019,2019-12-29,16,17,24.181,BUF,,NYJ,L 6-13,,5,5,76,15.20,0,100.0%,15.20,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,
17,2021,2021-09-12,1,1,26.073,BUF,,PIT,L 16-23,,,,,,,0.0%,,0,0,,,,,,,2,2%,0,0%,0,0%,
18,2021,2021-09-19,2,2,26.080,BUF,@,MIA,W 35-0,,,,,,,0.0%,,0,0,,,,,,,8,12%,0,0%,0,0%,
19,2021,2021-09-26,3,3,26.087,BUF,,WAS,W 43-21,,2,2,2,1.00,0,100.0%,1.00,0,0,0,0,0,0,0,0,14,18%,0,0%,0,0%,
20,2021,2021-10-03,4,4,26.094,BUF,,HOU,W 40-0,,,,,,,0.0%,,0,0,,,,,,,22,31%,0,0%,1,4%,
