Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,21.032,SEA,,CIN,W 21-20,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,9,29%,
2,2019,2019-09-15,2,2,21.039,SEA,@,PIT,W 28-26,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,10,33%,
3,2019,2019-09-22,3,3,21.046,SEA,,NOR,L 27-33,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,9,32%,
4,2019,2019-09-29,4,4,21.053,SEA,@,ARI,W 27-10,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,14,54%,
5,2019,2019-10-03,5,5,21.057,SEA,,LAR,W 30-29,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,13,42%,
6,2019,2019-10-13,6,6,21.067,SEA,@,CLE,W 32-28,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,13,50%,
7,2019,2019-10-20,7,7,21.074,SEA,,BAL,L 16-30,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,11,38%,
8,2019,2019-10-27,8,8,21.081,SEA,@,ATL,W 27-20,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,12,46%,
9,2019,2019-11-03,9,9,21.088,SEA,,TAM,W 40-34,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,13,36%,
10,2019,2019-11-11,10,10,21.096,SEA,@,SFO,W 27-24,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,19,54%,
11,2019,2019-11-24,11,12,21.109,SEA,@,PHI,W 17-9,,0,0,,0,0,0,0,,0,0.0%,,1,29,29.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,82%,
12,2019,2019-12-02,12,13,21.117,SEA,,MIN,W 37-30,,1,29,29.00,0,0,0,0,,0,0.0%,,2,51,25.50,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,20,61%,
13,2019,2019-12-08,13,14,21.123,SEA,@,LAR,L 12-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,68%,
