Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,23.188,CHI,,GNB,L 20-38,,,,,,,,,,,,,,,,,,0,0%,12,20%,0,0%,
2,2023,2023-09-17,2,2,23.195,CHI,@,TAM,L 17-27,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,31%,1,4%,
3,2023,2023-09-24,3,3,23.202,CHI,@,KAN,L 10-41,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,26%,2,8%,
4,2023,2023-10-01,4,4,23.209,CHI,,DEN,L 28-31,,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,9,19%,0,0%,
5,2023,2023-10-05,5,5,23.213,CHI,@,WAS,W 40-20,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,20%,1,3%,
6,2023,2023-10-15,6,6,23.223,CHI,,MIN,L 13-19,,0.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,18%,1,4%,
7,2023,2023-10-22,7,7,23.230,CHI,,LVR,W 30-12,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,31%,0,0%,
8,2023,2023-10-29,8,8,23.237,CHI,@,LAC,L 13-30,,0.0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,19,28%,0,0%,
9,2023,2023-11-05,9,9,23.244,CHI,@,NOR,L 17-24,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,0,0%,
10,2023,2023-11-09,10,10,23.248,CHI,,CAR,W 16-13,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,20%,0,0%,
11,2023,2023-11-19,11,11,23.258,CHI,@,DET,L 26-31,,,,,,,,,,,,,,,,,,0,0%,17,27%,1,4%,
12,2023,2023-11-27,12,12,23.266,CHI,@,MIN,W 12-10,,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,20%,1,5%,
13,2023,2023-12-10,13,14,23.279,CHI,,DET,W 28-13,,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,16,25%,1,4%,
14,2023,2023-12-17,14,15,23.286,CHI,@,CLE,L 17-20,,,,,,,,,,,,,,,,,,0,0%,19,28%,4,11%,
15,2023,2023-12-24,15,16,23.293,CHI,,ARI,W 27-16,,,,,,,,,,,,,,,,,,0,0%,19,31%,1,3%,
16,2023,2023-12-31,16,17,23.300,CHI,,ATL,W 37-17,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,15,25%,1,3%,
17,2023,2024-01-07,17,18,23.307,CHI,@,GNB,L 9-17,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,30%,2,11%,
18,2024,2024-09-08,1,1,,CHI,,TEN,W 24-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-15,2,2,24.193,CHI,@,HOU,L 13-19,,,,,,,,,,,,,,,,,,0,0%,7,11%,0,0%,
20,2024,2024-09-22,3,3,,CHI,@,IND,L 16-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-29,4,4,,CHI,,LAR,W 24-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2024,2024-10-06,5,5,,CHI,,CAR,W 36-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2024,2024-10-13,6,6,,CHI,,JAX,W 35-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2024,2024-10-27,7,8,,CHI,@,WAS,L 15-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-11-03,8,9,24.242,CHI,@,ARI,L 9-29,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,38%,2,7%,
26,2024,2024-11-10,9,10,24.249,CHI,,NWE,L 3-19,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,48%,6,22%,
