Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,BAL,,CLE,W 38-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2020,2020-09-20,2,2,,BAL,@,HOU,W 33-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2020,2020-09-28,3,3,,BAL,,KAN,L 20-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2020,2020-10-04,4,4,22.227,BAL,@,WAS,W 31-17,,,,,,,0.0%,,4,7%,0,0%,4,15%,
5,2020,2020-10-11,5,5,22.234,BAL,,CIN,W 27-3,,,,,,,0.0%,,1,2%,0,0%,1,4%,
6,2020,2020-10-18,6,6,,BAL,@,PHI,W 30-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2020,2020-11-01,7,8,,BAL,,PIT,L 24-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2020,2020-11-08,8,9,22.262,BAL,@,IND,W 24-10,,,,,,,0.0%,,0,0%,0,0%,1,4%,
9,2020,2020-11-15,9,10,22.269,BAL,@,NWE,L 17-23,,,,,,,0.0%,,0,0%,0,0%,1,4%,
10,2020,2020-11-22,10,11,,BAL,,TEN,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2020,2020-12-02,11,12,22.286,BAL,@,PIT,L 14-19,,,,,,,0.0%,,12,23%,0,0%,2,8%,
12,2020,2020-12-08,12,13,22.292,BAL,,DAL,W 34-17,,,,,,,0.0%,,0,0%,0,0%,4,14%,
13,2020,2020-12-14,13,14,22.298,BAL,@,CLE,W 47-42,,,,,,,0.0%,,0,0%,0,0%,4,12%,
14,2020,2020-12-20,14,15,22.304,BAL,,JAX,W 40-14,,,,,,,0.0%,,0,0%,0,0%,6,26%,
15,2020,2020-12-27,15,16,22.311,BAL,,NYG,W 27-13,,,,,,,0.0%,,14,21%,0,0%,6,25%,
16,2020,2021-01-03,16,17,22.318,BAL,@,CIN,W 38-3,,,,,,,0.0%,,17,23%,0,0%,6,24%,
17,2021,2021-09-12,1,1,23.204,NYG,,DEN,L 13-27,,,,,,,0.0%,,44,72%,0,0%,0,0%,
18,2021,2021-09-16,2,2,23.208,NYG,@,WAS,L 29-30,,,,,,,0.0%,,56,81%,0,0%,0,0%,
19,2021,2021-09-26,3,3,23.218,NYG,,ATL,L 14-17,*,,,,,,0.0%,,70,100%,0,0%,0,0%,
20,2021,2021-10-03,4,4,,NYG,@,NOR,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2021,2021-10-10,5,5,,NYG,@,DAL,L 20-44,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2021,2021-10-17,6,6,,NYG,,LAR,L 11-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2021,2021-10-24,7,7,23.246,NYG,,CAR,W 25-3,,,,,,,0.0%,,0,0%,0,0%,1,4%,
24,2021,2021-11-01,8,8,,NYG,@,KAN,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2021,2021-11-07,9,9,,NYG,,LVR,W 23-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2021,2021-11-22,10,11,,NYG,@,TAM,L 10-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2021,2021-11-28,11,12,,NYG,,PHI,W 13-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2021,2021-12-05,12,13,23.288,NYG,@,MIA,L 9-20,,,,,,,0.0%,,30,46%,0,0%,0,0%,
29,2021,2021-12-12,13,14,23.295,NYG,@,LAC,L 21-37,,,,,,,0.0%,,10,14%,0,0%,1,3%,
30,2021,2021-12-19,14,15,,NYG,,DAL,L 6-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2021,2021-12-26,15,16,,NYG,@,PHI,L 10-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2021,2022-01-02,16,17,23.316,NYG,@,CHI,L 3-29,,,,,,,0.0%,,31,55%,0,0%,1,4%,
33,2021,2022-01-09,17,18,23.323,NYG,,WAS,L 7-22,,,,,,,0.0%,,53,88%,0,0%,0,0%,
34,2022,2022-09-11,1,1,24.203,NYG,@,TEN,W 21-20,*,,,,,,0.0%,,32,53%,0,0%,2,7%,
35,2022,2022-09-18,2,2,24.210,NYG,,CAR,W 19-16,*,,,,,,0.0%,,56,77%,0,0%,5,17%,
36,2022,2022-09-26,3,3,24.218,NYG,,DAL,L 16-23,*,,,,,,0.0%,,72,100%,0,0%,5,17%,
37,2022,2022-10-02,4,4,24.224,NYG,,CHI,W 20-12,*,,,,,,0.0%,,65,100%,0,0%,5,17%,
38,2022,2022-10-09,5,5,24.231,NYG,@,GNB,W 27-22,*,,,,,,0.0%,,60,98%,0,0%,5,19%,
39,2022,2022-10-16,6,6,24.238,NYG,,BAL,W 24-20,*,,,,,,0.0%,,65,100%,0,0%,4,15%,
40,2022,2022-10-23,7,7,24.245,NYG,@,JAX,W 23-17,*,,,,,,0.0%,,16,21%,0,0%,1,5%,
41,2022,2022-10-30,8,8,,NYG,@,SEA,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2022,2022-11-13,9,10,,NYG,,HOU,W 24-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2022,2022-11-20,10,11,,NYG,,DET,L 18-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2022,2022-11-24,11,12,,NYG,@,DAL,L 20-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2022,2022-12-04,12,13,,NYG,,WAS,T 20-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2022,2022-12-11,13,14,,NYG,,PHI,L 22-48,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2022,2022-12-18,14,15,24.301,NYG,@,WAS,W 20-12,,,,,,,0.0%,,42,67%,0,0%,4,16%,
48,2022,2022-12-24,15,16,24.307,NYG,@,MIN,L 24-27,,,,,,,0.0%,,34,49%,0,0%,4,14%,
49,2022,2023-01-01,16,17,24.315,NYG,,IND,W 38-10,,,,,,,0.0%,,36,57%,0,0%,7,29%,
50,2022,2023-01-08,17,18,24.322,NYG,@,PHI,L 16-22,*,,,,,,0.0%,,63,100%,0,0%,3,11%,
51,2023,2023-09-10,1,1,25.202,NYG,,DAL,L 0-40,*,,,,,,0.0%,,70,100%,0,0%,2,8%,
52,2023,2023-09-17,2,2,25.209,NYG,@,ARI,W 31-28,*,,,,,,0.0%,,31,46%,0,0%,1,4%,
53,2023,2023-09-21,3,3,,NYG,@,SFO,L 12-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-10-02,4,4,25.224,NYG,,SEA,L 3-24,*,1,1,0,0.00,0,100.0%,0.00,75,100%,0,0%,1,4%,
55,2023,2023-10-08,5,5,25.230,NYG,@,MIA,L 16-31,*,,,,,,0.0%,,69,96%,0,0%,5,19%,
56,2023,2023-10-15,6,6,25.237,NYG,@,BUF,L 9-14,*,,,,,,0.0%,,77,100%,0,0%,3,14%,
57,2023,2023-10-22,7,7,25.244,NYG,,WAS,W 14-7,*,,,,,,0.0%,,68,100%,0,0%,3,10%,
58,2023,2023-10-29,8,8,25.251,NYG,,NYJ,L 10-13,*,,,,,,0.0%,,75,100%,0,0%,4,11%,
59,2023,2023-11-05,9,9,25.258,NYG,@,LVR,L 6-30,*,,,,,,0.0%,,63,100%,0,0%,0,0%,
60,2023,2023-11-12,10,10,25.265,NYG,@,DAL,L 17-49,*,,,,,,0.0%,,57,100%,0,0%,3,10%,
61,2023,2023-11-19,11,11,25.272,NYG,@,WAS,W 31-19,*,,,,,,0.0%,,55,100%,0,0%,5,17%,
62,2023,2023-11-26,12,12,25.279,NYG,,NWE,W 10-7,*,,,,,,0.0%,,52,100%,0,0%,2,9%,
63,2023,2023-12-11,13,14,25.294,NYG,,GNB,W 24-22,*,,,,,,0.0%,,56,100%,0,0%,5,19%,
64,2023,2023-12-17,14,15,25.300,NYG,@,NOR,L 6-24,*,,,,,,0.0%,,62,100%,0,0%,2,9%,
65,2023,2023-12-25,15,16,25.308,NYG,@,PHI,L 25-33,*,,,,,,0.0%,,63,100%,0,0%,3,10%,
66,2023,2023-12-31,16,17,25.314,NYG,,LAR,L 25-26,*,,,,,,0.0%,,74,100%,0,0%,6,20%,
67,2023,2024-01-07,17,18,25.321,NYG,,PHI,W 27-10,*,,,,,,0.0%,,67,100%,0,0%,6,23%,
68,2024,2024-09-08,1,1,26.201,TAM,,WAS,W 37-20,*,,,,,,0.0%,,64,100%,0,0%,7,26%,
69,2024,2024-09-15,2,2,26.208,TAM,@,DET,W 20-16,*,,,,,,0.0%,,48,100%,0,0%,4,15%,
70,2024,2024-09-22,3,3,26.215,TAM,,DEN,L 7-26,*,,,,,,0.0%,,57,100%,0,0%,1,5%,
71,2024,2024-09-29,4,4,26.222,TAM,,PHI,W 33-16,*,,,,,,0.0%,,77,100%,0,0%,6,22%,
72,2024,2024-10-03,5,5,26.226,TAM,@,ATL,L 30-36,*,,,,,,0.0%,,53,100%,0,0%,6,19%,
73,2024,2024-10-13,6,6,26.236,TAM,@,NOR,W 51-27,*,,,,,,0.0%,,77,100%,0,0%,7,19%,
74,2024,2024-10-21,7,7,26.244,TAM,,BAL,L 31-41,*,,,,,,0.0%,,82,100%,0,0%,4,14%,
75,2024,2024-10-27,8,8,26.250,TAM,,ATL,L 26-31,*,,,,,,0.0%,,73,100%,0,0%,4,15%,
76,2024,2024-11-04,9,9,26.258,TAM,@,KAN,L 24-30,*,,,,,,0.0%,,55,100%,0,0%,4,14%,
77,2024,2024-11-10,10,10,26.264,TAM,,SFO,L 20-23,*,,,,,,0.0%,,61,100%,0,0%,4,14%,
78,2024,2024-11-24,11,12,26.278,TAM,@,NYG,W 30-7,*,,,,,,0.0%,,65,100%,0,0%,5,25%,
