Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,NYJ,@,BUF,L 17-27,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
2,2020,2020-09-20,2,2,,NYJ,,SFO,L 13-31,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
3,2020,2020-09-27,3,3,,NYJ,@,IND,L 7-36,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
4,2020,2020-10-01,4,4,,NYJ,,DEN,L 28-37,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
5,2020,2020-10-11,5,5,,NYJ,,ARI,L 10-30,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
6,2020,2020-10-18,6,6,,NYJ,@,MIA,L 0-24,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
7,2020,2020-10-25,7,7,,NYJ,,BUF,L 10-18,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
8,2020,2020-11-01,8,8,,NYJ,@,KAN,L 9-35,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury
9,2020,2020-11-09,9,9,23.004,NYJ,,NWE,L 27-30,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,48%,7,26%,
10,2020,2020-11-22,10,11,23.017,NYJ,@,LAC,L 28-34,*,0,0,0.0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,81,99%,13,43%,
11,2020,2020-11-29,11,12,23.024,NYJ,,MIA,L 3-20,*,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,5,22%,
12,2020,2020-12-06,12,13,23.031,NYJ,,LVR,L 28-31,*,0,0,0.0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,78,100%,7,27%,
13,2020,2020-12-13,13,14,23.038,NYJ,@,SEA,L 3-40,*,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,1,4%,
14,2020,2020-12-20,14,15,23.045,NYJ,@,LAR,W 23-20,*,0,0,0.0,3,0,3,0,0,1,20,0,1,0,0,0,0,0,0,0,0%,59,100%,0,0%,
15,2020,2020-12-27,15,16,23.052,NYJ,,CLE,W 23-16,*,0,0,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,81,100%,0,0%,
16,2020,2021-01-03,16,17,23.059,NYJ,@,NWE,L 14-28,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,65,100%,7,27%,
17,2021,2021-09-12,1,1,23.311,NYJ,@,CAR,L 14-19,*,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,4,14%,
18,2021,2021-09-19,2,2,23.318,NYJ,,NWE,L 6-25,*,0,0,0.0,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,97%,1,4%,
19,2021,2021-09-26,3,3,23.325,NYJ,@,DEN,L 0-26,*,0,0,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,94%,0,0%,
20,2021,2021-10-03,4,4,23.332,NYJ,,TEN,W 27-24,*,0,0,0.5,3,2,5,0,2,0,0,0,3,0,0,0,0,0,0,0,0%,100,100%,5,15%,
21,2021,2021-10-10,5,5,23.339,NYJ,@,ATL,L 20-27,*,0,0,0.0,6,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,77,99%,1,4%,
22,2021,2021-10-24,6,7,23.353,NYJ,@,NWE,L 13-54,*,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,76,100%,0,0%,
23,2021,2021-10-31,7,8,23.360,NYJ,,CIN,W 34-31,*,0,0,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,98%,2,7%,
24,2021,2021-11-04,8,9,23.364,NYJ,@,IND,L 30-45,*,0,0,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,100%,0,0%,
25,2021,2021-11-14,9,10,24.009,NYJ,,BUF,L 17-45,*,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,95%,7,26%,
26,2021,2021-11-21,10,11,24.016,NYJ,,MIA,L 17-24,*,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,99%,6,21%,
27,2021,2021-11-28,11,12,24.023,NYJ,@,HOU,W 21-14,*,0,0,0.0,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,57,100%,3,12%,
28,2021,2021-12-05,12,13,24.030,NYJ,,PHI,L 18-33,*,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,7,29%,
29,2021,2021-12-12,13,14,24.037,NYJ,,NOR,L 9-30,*,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,97%,1,3%,
30,2021,2021-12-19,14,15,24.044,NYJ,@,MIA,L 24-31,*,0,0,0.0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,69,97%,1,3%,
31,2021,2021-12-26,15,16,24.051,NYJ,,JAX,W 26-21,*,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,70,96%,0,0%,
32,2021,2022-01-02,16,17,24.058,NYJ,,TAM,L 24-28,*,0,0,0.0,7,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,74,100%,1,4%,
33,2021,2022-01-09,17,18,24.065,NYJ,@,BUF,L 10-27,*,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,81,99%,8,24%,
34,2022,2022-09-11,1,1,24.310,NYJ,,BAL,L 9-24,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,5,9%,0,0%,
35,2022,2022-09-18,2,2,,NYJ,@,CLE,W 31-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2022,2022-09-25,3,3,,NYJ,,CIN,L 12-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2022,2022-10-02,4,4,,NYJ,@,PIT,W 24-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2022,2022-10-09,5,5,,NYJ,,MIA,W 40-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2022,2022-10-16,6,6,,NYJ,@,GNB,W 27-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2022,2022-10-23,7,7,,NYJ,@,DEN,W 16-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2022,2022-10-30,8,8,,NYJ,,NWE,L 17-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2022,2022-11-06,9,9,,NYJ,,BUF,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2022,2022-11-20,10,11,,NYJ,@,NWE,L 3-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,2022,2022-11-27,11,12,,NYJ,,CHI,W 31-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,2022,2022-12-04,12,13,,NYJ,@,MIN,L 22-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2022,2022-12-11,13,14,,NYJ,@,BUF,L 12-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2022,2022-12-18,14,15,25.043,NYJ,,DET,L 17-20,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,13,46%,
48,2022,2022-12-22,15,16,25.047,NYJ,,JAX,L 3-19,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,9,41%,
49,2022,2023-01-01,16,17,25.057,NYJ,@,SEA,L 6-23,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,84%,
50,2022,2023-01-08,17,18,25.064,NYJ,@,MIA,L 6-11,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,15,68%,
51,2023,2023-09-11,1,1,25.310,NYJ,,BUF,W 22-16,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,81%,
52,2023,2023-09-17,2,2,,NYJ,@,DAL,L 10-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,2023,2023-09-24,3,3,,NYJ,,NWE,L 10-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,2023,2023-10-01,4,4,25.330,NYJ,,KAN,L 20-23,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,16,62%,
55,2023,2023-10-08,5,5,25.337,NYJ,@,DEN,W 31-21,*,1,6,0.0,4,0,4,0,0,0,0,0,0,0,0,0,1,39,1,0,0%,62,99%,3,9%,
56,2023,2023-10-15,6,6,25.344,NYJ,,PHI,W 20-14,*,0,0,0.0,1,2,3,0,0,1,5,0,2,0,0,0,0,0,0,0,0%,70,100%,3,14%,
57,2023,2023-10-29,7,8,25.358,NYJ,@,NYG,W 13-10,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,23,62%,
58,2023,2023-11-06,8,9,26.001,NYJ,,LAC,L 6-27,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,70%,
59,2023,2023-11-12,9,10,26.007,NYJ,@,LVR,L 12-16,,0,0,,,,,,,,,,,,,,,,,0,0%,1,2%,14,52%,
60,2023,2023-11-19,10,11,26.014,NYJ,@,BUF,L 6-32,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,16,59%,
61,2023,2023-11-24,11,12,26.019,NYJ,,MIA,L 13-34,,0,0,,,,,,,,,,,,,,,,,0,0%,1,1%,15,63%,
62,2023,2023-12-03,12,13,,NYJ,,ATL,L 8-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,2023,2023-12-10,13,14,,NYJ,,HOU,W 30-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,2023,2023-12-17,14,15,,NYJ,@,MIA,L 0-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,2023,2023-12-24,15,16,,NYJ,,WAS,W 30-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,2023,2023-12-28,16,17,,NYJ,@,CLE,L 20-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
