Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.02,TAM,,WAS,W 37-20,,9,62,6.89,0,3,2,14,7.0,0,66.7%,4.67,0,0,,0,0,0,0,0,0,0,0,0,20.0,31%,0.0,0%,4.0,15%
2.0,2024.0,2024-09-15,2.0,2.0,22.027,TAM,@,DET,W 20-16,,7,22,3.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,17.0,35%,0.0,0%,5.0,19%
3.0,2024.0,2024-09-22,3.0,3.0,22.034,TAM,,DEN,L 7-26,,9,70,7.78,0,3,3,14,4.67,0,100.0%,4.67,1,27,27.0,0,0,0,0,0,0,0,0,0,18.0,32%,0.0,0%,4.0,18%
4.0,2024.0,2024-09-29,4.0,4.0,22.041,TAM,,PHI,W 33-16,,10,49,4.9,1,2,1,6,6.0,0,50.0%,3.0,0,0,,0,1,6,0,0,0,0,0,0,32.0,42%,0.0,0%,0.0,0%
5.0,2024.0,2024-10-03,5.0,5.0,22.045,TAM,@,ATL,L 30-36,,9,44,4.89,0,2,2,12,6.0,0,100.0%,6.0,1,39,39.0,0,0,0,1,1,0,0,0,0,23.0,43%,0.0,0%,3.0,9%
6.0,2024.0,2024-10-13,6.0,6.0,22.055,TAM,@,NOR,W 51-27,*,14,81,5.79,1,2,2,24,12.0,0,100.0%,12.0,2,44,22.0,0,1,6,0,0,0,0,0,0,49.0,64%,0.0,0%,2.0,5%
7.0,2024.0,2024-10-21,7.0,7.0,22.063,TAM,,BAL,L 31-41,,9,23,2.56,1,3,3,54,18.0,0,100.0%,18.0,0,0,,0,1,6,0,0,0,0,0,0,29.0,35%,0.0,0%,8.0,28%
8.0,2024.0,2024-10-27,8.0,8.0,22.069,TAM,,ATL,L 26-31,,9,44,4.89,0,7,7,40,5.71,0,100.0%,5.71,0,0,,0,0,0,0,0,0,0,0,0,31.0,42%,0.0,0%,0.0,0%
9.0,2024.0,2024-11-04,9.0,9.0,22.077,TAM,@,KAN,L 24-30,,7,24,3.43,0,3,3,10,3.33,0,100.0%,3.33,1,46,46.0,0,0,0,0,0,0,0,0,0,19.0,35%,0.0,0%,5.0,18%
10.0,2024.0,2024-11-10,10.0,10.0,22.083,TAM,,SFO,L 20-23,,13,73,5.62,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,1,6,0,0,0,1,0,0,28.0,46%,0.0,0%,5.0,17%
11.0,2024.0,2024-11-24,11.0,12.0,22.097,TAM,@,NYG,W 30-7,,12,88,7.33,1,6,6,64,10.67,0,100.0%,10.67,0,0,,0,1,6,1,0,0,1,0,0,34.0,52%,0.0,0%,2.0,10%
