Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,TAM,,WAS,W 37-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,24.16,TAM,@,DET,W 20-16,,0,0%,0,0%,4,15%,
3.0,2024.0,2024-09-22,3.0,3.0,24.167,TAM,,DEN,L 7-26,,0,0%,0,0%,1,5%,
4.0,2024.0,2024-09-29,4.0,4.0,24.174,TAM,,PHI,W 33-16,,0,0%,0,0%,6,22%,
5.0,2024.0,2024-10-03,5.0,5.0,24.178,TAM,@,ATL,L 30-36,,0,0%,0,0%,6,19%,
6.0,2024.0,2024-10-13,6.0,6.0,24.188,TAM,@,NOR,W 51-27,,0,0%,0,0%,7,19%,
7.0,2024.0,2024-10-21,7.0,7.0,24.196,TAM,,BAL,L 31-41,,0,0%,0,0%,4,14%,
8.0,2024.0,2024-10-27,8.0,8.0,24.202,TAM,,ATL,L 26-31,,0,0%,0,0%,4,15%,
9.0,2024.0,2024-11-04,9.0,9.0,24.21,TAM,@,KAN,L 24-30,,0,0%,0,0%,4,14%,
10.0,2024.0,2024-11-10,10.0,10.0,24.216,TAM,,SFO,L 20-23,,0,0%,0,0%,4,14%,
11.0,2024.0,2024-11-24,11.0,12.0,24.23,TAM,@,NYG,W 30-7,,0,0%,0,0%,5,25%,
