Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-12-17,14,15,,TAM,@,GNB,W 34-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2024,2024-09-08,1,1,25.198,TAM,,WAS,W 37-20,,0,0%,0,0%,8,30%,
3,2024,2024-09-15,2,2,25.205,TAM,@,DET,W 20-16,,0,0%,0,0%,9,35%,
4,2024,2024-09-22,3,3,25.212,TAM,,DEN,L 7-26,,0,0%,0,0%,5,23%,
5,2024,2024-09-29,4,4,,TAM,,PHI,W 33-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2024,2024-10-03,5,5,,TAM,@,ATL,L 30-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2024,2024-10-13,6,6,,TAM,@,NOR,W 51-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2024,2024-10-21,7,7,,TAM,,BAL,L 31-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2024,2024-10-27,8,8,,TAM,,ATL,L 26-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2024,2024-11-04,9,9,,TAM,@,KAN,L 24-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2024,2024-11-10,10,10,25.261,TAM,,SFO,L 20-23,,0,0%,0,0%,10,34%,
12,2024,2024-11-24,11,12,25.275,TAM,@,NYG,W 30-7,,0,0%,0,0%,7,35%,
