Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,21.175,TAM,@,NOR,W 48-40,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,17,52%,
2,2018,2018-09-16,2,2,21.182,TAM,,PHI,W 27-21,,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,46%,11,39%,
3,2018,2018-09-24,3,3,21.190,TAM,,PIT,L 27-30,,0.0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,83%,9,28%,
4,2018,2018-09-30,,4,,TAM,@,CHI,L 10-48,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-10-14,5,6,21.210,TAM,@,ATL,L 29-34,*,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,0,0%,
6,2018,2018-10-21,6,7,21.217,TAM,,CLE,W 26-23,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,34%,0,0%,
7,2018,2018-10-28,7,8,21.224,TAM,@,CIN,L 34-37,*,0.0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,79%,1,3%,
8,2018,2018-11-04,8,9,21.231,TAM,@,CAR,L 28-42,*,0.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,63%,5,16%,
9,2018,2018-11-11,9,10,21.238,TAM,,WAS,L 3-16,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,57%,2,10%,
10,2018,2018-11-18,10,11,21.245,TAM,@,NYG,L 35-38,*,0.0,7,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,79%,1,3%,
11,2018,2018-11-25,11,12,21.252,TAM,,SFO,W 27-9,*,0.0,10,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,60,94%,0,0%,
12,2018,2018-12-02,12,13,21.259,TAM,,CAR,W 24-17,*,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,87%,0,0%,
13,2018,2018-12-09,13,14,21.266,TAM,,NOR,L 14-28,*,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,51,80%,1,4%,
14,2018,2018-12-16,14,15,21.273,TAM,@,BAL,L 12-20,*,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,62%,0,0%,
15,2018,2018-12-23,15,16,21.280,TAM,@,DAL,L 20-27,*,0.0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,60%,6,22%,
16,2018,2018-12-30,16,17,21.287,TAM,,ATL,L 32-34,*,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,81%,4,12%,
17,2019,2019-09-08,1,1,22.174,TAM,,SFO,L 17-31,*,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,8,32%,
18,2019,2019-09-12,2,2,22.178,TAM,@,CAR,W 20-14,*,0.0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,74,99%,10,34%,
19,2019,2019-09-22,3,3,22.188,TAM,,NYG,L 31-32,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,8,24%,
20,2019,2019-09-29,4,4,22.195,TAM,@,LAR,W 55-40,*,0.0,2,0,2,0,0,1,11,0,3,0,0,0,0,0,0,0,0%,84,94%,7,18%,
21,2019,2019-10-06,5,5,22.202,TAM,@,NOR,L 24-31,*,0.0,7,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,69,100%,13,43%,
22,2019,2019-10-13,6,6,22.209,TAM,,CAR,L 26-37,*,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,91%,16,41%,
23,2019,2019-10-27,7,8,22.223,TAM,@,TEN,L 23-27,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,93%,9,31%,
24,2019,2019-11-03,8,9,22.230,TAM,@,SEA,L 34-40,*,0.0,6,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0%,66,89%,11,31%,
25,2019,2019-11-10,9,10,22.237,TAM,,ARI,W 30-27,*,0.0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,8,25%,
26,2019,2019-11-17,10,11,22.244,TAM,,NOR,L 17-34,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,10,38%,
27,2019,2019-11-24,11,12,22.251,TAM,@,ATL,W 35-22,*,0.0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,85,100%,11,32%,
28,2019,2019-12-01,12,13,22.258,TAM,@,JAX,W 28-11,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,6,25%,
29,2019,2019-12-08,13,14,22.265,TAM,,IND,W 38-35,*,0.0,6,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,8,26%,
30,2019,2019-12-15,14,15,22.272,TAM,@,DET,W 38-17,*,0.0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0%,30,47%,4,13%,
31,2019,2019-12-21,,16,,TAM,,HOU,L 20-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2019,2019-12-29,,17,,TAM,,ATL,L 22-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
33,2020,2020-09-13,1,1,23.179,TAM,@,NOR,L 23-34,*,0.0,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,91%,11,33%,
34,2020,2020-09-20,2,2,23.186,TAM,,CAR,W 31-17,*,0.0,4,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,73,100%,8,32%,
35,2020,2020-09-27,3,3,23.193,TAM,@,DEN,W 28-10,*,1.0,4,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,8,28%,
36,2020,2020-10-04,4,4,23.200,TAM,,LAC,W 38-31,*,1.0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,53,100%,7,22%,
37,2020,2020-10-08,5,5,23.204,TAM,@,CHI,L 19-20,*,0.0,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,4,14%,
38,2020,2020-10-18,6,6,23.214,TAM,,GNB,W 38-10,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,95%,2,7%,
39,2020,2020-10-25,7,7,23.221,TAM,@,LVR,W 45-20,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,86%,6,19%,
40,2020,2020-11-02,8,8,23.229,TAM,@,NYG,W 25-23,*,0.0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,74%,4,15%,
41,2020,2020-11-08,9,9,23.235,TAM,,NOR,L 3-38,*,0.0,5,3,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0%,66,90%,6,29%,
42,2020,2020-11-15,10,10,23.242,TAM,@,CAR,W 46-23,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,71%,3,9%,
43,2020,2020-11-23,11,11,23.250,TAM,,LAR,L 24-27,*,0.0,4,3,7,1,0,1,2,0,1,0,0,0,0,0,0,0,0%,50,69%,6,20%,
44,2020,2020-11-29,12,12,23.256,TAM,,KAN,L 24-27,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,70,89%,6,21%,
45,2020,2020-12-13,13,14,23.270,TAM,,MIN,W 26-14,*,0.0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,70%,4,18%,
