Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-09,1,1,,TAM,,DAL,W 31-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2021,2021-09-19,2,2,,TAM,,ATL,W 48-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2021,2021-09-26,3,3,,TAM,@,LAR,L 24-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2021,2021-10-03,4,4,,TAM,@,NWE,W 19-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2021,2021-10-10,5,5,23.059,TAM,,MIA,W 45-17,,,,,,,0.0%,,,,,,,,12,16%,0,0%,0,0%,
6,2021,2021-10-14,6,6,,TAM,@,PHI,W 28-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2021,2021-10-24,7,7,,TAM,,CHI,W 38-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2021,2021-10-31,8,8,,TAM,@,NOR,L 27-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2021,2021-11-14,9,10,,TAM,@,WAS,L 19-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2021,2021-11-22,10,11,23.102,TAM,,NYG,W 30-10,,,,,,,0.0%,,,,,,,,9,12%,0,0%,0,0%,
11,2021,2021-11-28,11,12,23.108,TAM,@,IND,W 38-31,,,,,,,0.0%,,,,,,,,0,0%,0,0%,6,19%,
12,2021,2021-12-05,12,13,23.115,TAM,@,ATL,W 30-17,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,19%,
13,2021,2021-12-12,13,14,23.122,TAM,,BUF,W 33-27,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,14%,
14,2021,2021-12-19,14,15,23.129,TAM,,NOR,L 0-9,,,,,,,0.0%,,,,,,,,0,0%,0,0%,1,4%,
15,2021,2021-12-26,15,16,23.136,TAM,@,CAR,W 32-6,,,,,,,0.0%,,,,,,,,3,4%,0,0%,6,22%,
