Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,24.026,GNB,@,NOR,L 3-38,*,,,,,,,57,100%,0,0%,1,5%,
2,2021,2021-09-20,2,2,24.034,GNB,,DET,W 35-17,*,,,,,,,65,100%,0,0%,5,22%,
3,2021,2021-09-26,3,3,24.040,GNB,@,SFO,W 30-28,*,,,,,,,63,100%,0,0%,6,22%,
4,2021,2021-10-03,4,4,24.047,GNB,,PIT,W 27-17,*,,,,,,,72,100%,0,0%,6,24%,
5,2021,2021-10-10,5,5,24.054,GNB,@,CIN,W 25-22,*,,,,,,,64,100%,0,0%,0,0%,
6,2021,2021-10-17,6,6,24.061,GNB,@,CHI,W 24-14,*,,,,,,,59,100%,0,0%,4,19%,
7,2021,2021-10-24,7,7,24.068,GNB,,WAS,W 24-10,*,,,,,,,56,100%,0,0%,5,26%,
8,2021,2021-10-28,8,8,24.072,GNB,@,ARI,W 24-21,*,,,,,,,73,100%,0,0%,1,5%,
9,2021,2021-11-07,9,9,24.082,GNB,@,KAN,L 7-13,*,,,,,,,63,100%,0,0%,3,14%,
10,2021,2021-11-14,10,10,24.089,GNB,,SEA,W 17-0,*,,,,,,,74,100%,0,0%,0,0%,
11,2021,2021-11-21,11,11,24.096,GNB,@,MIN,L 31-34,*,,,,,,,59,100%,0,0%,2,7%,
12,2021,2021-11-28,12,12,24.103,GNB,,LAR,W 36-28,*,,,,,,,82,100%,0,0%,0,0%,
13,2021,2021-12-12,13,14,24.117,GNB,,CHI,W 45-30,*,,,,,,,65,100%,0,0%,0,0%,
14,2021,2021-12-19,14,15,24.124,GNB,@,BAL,W 31-30,*,,,,,,,62,100%,0,0%,0,0%,
15,2021,2021-12-25,15,16,24.130,GNB,,CLE,W 24-22,*,,,,,,,59,100%,0,0%,0,0%,
16,2021,2022-01-02,16,17,24.138,GNB,,MIN,W 37-10,*,,,,,,,75,100%,0,0%,0,0%,
17,2021,2022-01-09,17,18,24.145,GNB,@,DET,L 30-37,,,,,,,,36,53%,0,0%,0,0%,
18,2022,2022-09-11,1,1,25.025,GNB,@,MIN,L 7-23,*,0.0,1,0,1,0,0,61,100%,0,0%,1,4%,
19,2022,2022-09-18,2,2,25.032,GNB,,CHI,W 27-10,*,,,,,,,68,100%,0,0%,5,23%,
20,2022,2022-09-25,3,3,25.039,GNB,@,TAM,W 14-12,*,,,,,,,62,100%,0,0%,2,8%,
21,2022,2022-10-02,4,4,25.046,GNB,,NWE,W 27-24,*,,,,,,,73,100%,0,0%,5,16%,
22,2022,2022-10-09,5,5,25.053,GNB,,NYG,L 22-27,*,,,,,,,63,100%,0,0%,4,15%,
23,2022,2022-10-16,6,6,25.060,GNB,,NYJ,L 10-27,*,,,,,,,68,93%,0,0%,3,10%,
24,2022,2022-10-23,7,7,25.067,GNB,@,WAS,L 21-23,,,,,,,,0,0%,0,0%,3,10%,
