Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,23.214,NYG,@,DAL,W 20-19,*,4,3,43,14.33,1,75.0%,10.75,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,
2,2016,2016-09-18,2,2,23.221,NYG,,NOR,W 16-13,*,8,8,117,14.63,0,100.0%,14.63,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,75,95%,0,0%,0,0%,
3,2016,2016-09-25,3,3,23.228,NYG,,WAS,L 27-29,*,7,5,73,14.60,1,71.4%,10.43,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,99%,0,0%,0,0%,
4,2016,2016-10-03,4,4,23.236,NYG,@,MIN,L 10-24,*,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,94%,0,0%,0,0%,
5,2016,2016-10-09,5,5,23.242,NYG,@,GNB,L 16-23,*,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,
6,2016,2016-10-16,6,6,23.249,NYG,,BAL,W 27-23,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,
7,2016,2016-10-23,7,7,23.256,NYG,@,LAR,W 17-10,*,7,5,32,6.40,0,71.4%,4.57,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,95%,0,0%,1,4%,
8,2016,2016-11-06,8,9,23.270,NYG,,PHI,W 28-23,*,6,3,50,16.67,1,50.0%,8.33,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,92%,0,0%,0,0%,
9,2016,2016-11-14,9,10,23.278,NYG,,CIN,W 21-20,*,7,5,42,8.40,1,71.4%,6.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,71,95%,0,0%,1,3%,
10,2016,2016-11-20,10,11,23.284,NYG,,CHI,W 22-16,*,11,5,50,10.00,1,45.5%,4.55,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,0,0%,
11,2016,2016-11-27,11,12,23.291,NYG,@,CLE,W 27-13,*,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,91%,0,0%,0,0%,
12,2016,2016-12-04,12,13,23.298,NYG,@,PIT,L 14-24,*,8,4,21,5.25,1,50.0%,2.63,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,100%,0,0%,0,0%,
13,2016,2016-12-11,13,14,23.305,NYG,,DAL,W 10-7,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,91%,0,0%,0,0%,
14,2016,2016-12-18,14,15,23.312,NYG,,DET,W 17-6,*,5,4,56,14.00,1,80.0%,11.20,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,95%,0,0%,0,0%,
15,2016,2016-12-22,15,16,23.316,NYG,@,PHI,L 19-24,*,11,7,61,8.71,1,63.6%,5.55,1,2,2.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,88,99%,0,0%,0,0%,
16,2016,2017-01-01,16,17,23.326,NYG,@,WAS,W 19-10,*,5,3,30,10.00,0,60.0%,6.00,1,7,7.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,86%,0,0%,0,0%,
17,2017,2017-09-10,1,1,24.212,NYG,@,DAL,L 3-19,*,8,7,44,6.29,0,87.5%,5.50,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,57,100%,0,0%,0,0%,
