Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,23.203,TAM,,WAS,W 37-20,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,68%,2,7%,
2.0,2024.0,2024-09-15,2.0,2.0,23.21,TAM,@,DET,W 20-16,*,0.0,6,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,67%,5,19%,
3.0,2024.0,2024-09-22,3.0,3.0,23.217,TAM,,DEN,L 7-26,,0.0,3,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0%,41,60%,4,18%,
4.0,2024.0,2024-09-29,4.0,4.0,23.224,TAM,,PHI,W 33-16,,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,45,79%,6,22%,
5.0,2024.0,2024-10-03,5.0,5.0,23.228,TAM,@,ATL,L 30-36,*,0.0,9,2,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,86,99%,2,6%,
6.0,2024.0,2024-10-13,6.0,6.0,23.238,TAM,@,NOR,W 51-27,,0.0,3,2,5,0,1,1,0,0,2,0,0,1,0,0,0,0,0%,42,60%,4,11%,
7.0,2024.0,2024-10-21,7.0,7.0,23.246,TAM,,BAL,L 31-41,*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,24%,0,0%,
8.0,2024.0,2024-10-27,8.0,8.0,,TAM,,ATL,L 26-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9.0,2024.0,2024-11-04,9.0,9.0,23.26,TAM,@,KAN,L 24-30,*,0.0,8,1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,72,85%,5,18%,
10.0,2024.0,2024-11-10,10.0,10.0,,TAM,,SFO,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11.0,2024.0,2024-11-24,11.0,12.0,,TAM,@,NYG,W 30-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
