Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,22.205,DEN,@,NYG,W 27-13,,,,,,,,,,,,,,,,,,0,0%,0,0%,4,21%,
2,2021,2021-09-19,2,2,22.212,DEN,@,JAX,W 23-13,,,,,,,,,,,,,,,,,,0,0%,0,0%,10,40%,
3,2021,2021-09-26,3,3,22.219,DEN,,NYJ,W 26-0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,9,39%,
4,2021,2021-10-03,4,4,,DEN,,BAL,L 7-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2021,2021-10-10,5,5,22.233,DEN,@,PIT,L 19-27,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,65%,
6,2021,2021-10-17,6,6,22.240,DEN,,LVR,L 24-34,,,,,,,,,,,,,,,,,,0,0%,0,0%,5,16%,
7,2021,2021-10-21,7,7,,DEN,@,CLE,L 14-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2021,2021-10-31,8,8,22.254,DEN,,WAS,W 17-10,*,0.0,5,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,97%,0,0%,
9,2021,2021-11-07,9,9,22.261,DEN,@,DAL,W 30-16,*,0.0,4,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,0,0%,
10,2021,2021-11-14,10,10,22.268,DEN,,PHI,L 13-30,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,25%,0,0%,
11,2021,2021-11-28,11,12,22.282,DEN,,LAC,W 28-13,*,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,0,0%,
12,2021,2021-12-05,12,13,22.289,DEN,@,KAN,L 9-22,*,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,0,0%,
