Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
1,2021,2021-09-12,1,1,23.234,NOR,,GNB,W 38-3,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,103,51.50,17,86,43.0,0,0.0%,1,50.0%,0,0,0%,0,0%,9,41%
2,2021,2021-09-19,2,2,23.241,NOR,@,CAR,L 7-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,294,49.00,24,270,45.0,0,0.0%,1,16.7%,0,0,0%,0,0%,7,28%
3,2021,2021-09-26,3,3,23.248,NOR,@,NWE,W 28-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,249,49.80,30,199,39.8,1,20.0%,0,0.0%,0,0,0%,0,0%,11,38%
4,2021,2021-10-03,4,4,23.255,NOR,,NYG,L 21-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,3,132,44.00,26,106,35.3,0,0.0%,2,66.7%,0,0,0%,0,0%,7,28%
5,2021,2021-10-10,5,5,23.262,NOR,@,WAS,W 33-22,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,268,53.60,10,258,51.6,0,0.0%,3,60.0%,0,0,0%,0,0%,12,41%
6,2021,2021-10-25,6,7,23.277,NOR,@,SEA,W 13-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,285,47.50,19,266,44.3,0,0.0%,4,66.7%,0,0,0%,0,0%,9,36%
7,2021,2021-10-31,7,8,23.283,NOR,,TAM,W 36-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,3,158,52.67,14,144,48.0,0,0.0%,1,33.3%,0,0,0%,0,0%,10,34%
8,2021,2021-11-07,8,9,23.290,NOR,,ATL,L 25-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,3,122,40.67,0,102,34.0,1,33.3%,1,33.3%,0,0,0%,0,0%,6,22%
9,2021,2021-11-14,9,10,23.297,NOR,@,TEN,L 21-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,202,40.40,9,173,34.6,1,20.0%,1,20.0%,0,0,0%,0,0%,8,28%
10,2021,2021-11-21,10,11,23.304,NOR,@,PHI,L 29-40,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,299,49.83,43,256,42.7,0,0.0%,3,50.0%,0,0,0%,0,0%,10,26%
11,2021,2021-11-25,11,12,23.308,NOR,,BUF,L 6-31,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,0,0,0,0,0,5,235,47.00,49,186,37.2,0,0.0%,0,0.0%,0,0,0%,0,0%,6,27%
12,2021,2021-12-02,12,13,23.315,NOR,,DAL,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,308,51.33,44,264,44.0,0,0.0%,1,16.7%,0,0,0%,0,0%,10,31%
13,2021,2021-12-12,13,14,23.325,NOR,@,NYJ,W 30-9,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,258,51.60,44,214,42.8,0,0.0%,1,20.0%,0,0,0%,0,0%,11,37%
14,2021,2021-12-19,14,15,23.332,NOR,@,TAM,W 9-0,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,9,412,45.78,41,371,41.2,0,0.0%,4,44.4%,0,0,0%,0,0%,13,48%
15,2021,2021-12-27,15,16,23.340,NOR,,MIA,L 3-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,7,316,45.14,9,307,43.9,0,0.0%,2,28.6%,0,0,0%,0,0%,8,31%
16,2021,2022-01-02,16,17,23.346,NOR,,CAR,W 18-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,215,43.00,0,195,39.0,1,20.0%,3,60.0%,0,0,0%,0,0%,11,41%
17,2021,2022-01-09,17,18,23.353,NOR,@,ATL,W 30-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,100,50.00,12,88,44.0,0,0.0%,1,50.0%,0,0,0%,0,0%,9,33%
18,2022,2022-09-11,1,1,24.233,NOR,@,ATL,W 27-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,272,54.40,42,230,46.0,0,0.0%,1,20.0%,0,0,0%,0,0%,9,28%
19,2022,2022-09-18,2,2,24.240,NOR,,TAM,L 10-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,218,43.60,17,201,40.2,0,0.0%,2,40.0%,0,0,0%,0,0%,7,27%
20,2022,2022-09-25,3,3,24.247,NOR,@,CAR,L 14-22,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,6,285,47.50,30,235,39.2,1,16.7%,2,33.3%,0,0,0%,0,0%,10,34%
21,2022,2022-10-02,4,4,24.254,NOR,,MIN,L 25-28,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,194,48.50,23,171,42.8,0,0.0%,1,25.0%,0,0,0%,0,0%,8,26%
22,2022,2022-10-09,5,5,24.261,NOR,,SEA,W 39-32,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,189,47.25,0,149,37.3,2,50.0%,0,0.0%,0,0,0%,0,0%,9,26%
23,2022,2022-10-16,6,6,24.268,NOR,,CIN,L 26-30,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,3,149,49.67,33,116,38.7,0,0.0%,0,0.0%,0,0,0%,0,0%,9,31%
24,2022,2022-10-20,7,7,24.272,NOR,@,ARI,L 34-42,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,94,47.00,0,94,47.0,0,0.0%,2,100.0%,0,0,0%,0,0%,8,25%
25,2022,2022-10-30,8,8,24.282,NOR,,LVR,W 24-0,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,2,80,40.00,3,77,38.5,0,0.0%,2,100.0%,0,0,0%,0,0%,7,37%
26,2022,2022-11-07,9,9,24.290,NOR,,BAL,L 13-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,232,46.40,0,232,46.4,0,0.0%,2,40.0%,0,0,0%,0,0%,8,31%
27,2022,2022-11-13,10,10,24.296,NOR,@,PIT,L 10-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,259,51.80,3,236,47.2,1,20.0%,2,40.0%,0,0,0%,0,0%,7,29%
28,2022,2022-11-20,11,11,24.303,NOR,,LAR,W 27-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,5,239,47.80,14,225,45.0,0,0.0%,3,60.0%,0,0,0%,0,0%,10,32%
29,2022,2022-11-27,12,12,24.310,NOR,@,SFO,L 0-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,4,183,45.75,18,145,36.3,1,25.0%,2,50.0%,0,0,0%,0,0%,5,29%
