Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,24.233,ARI,@,WAS,L 16-20,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,3,5%,0,0%,7,25%,
2,2023,2023-09-17,2,2,24.240,ARI,,NYG,L 28-31,,1,-2,-2.00,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,0,0,0,0,0,0,8,12%,0,0%,8,29%,
3,2023,2023-09-24,3,3,24.247,ARI,,DAL,W 28-16,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,11,18%,0,0%,7,28%,
4,2023,2023-10-01,4,4,24.254,ARI,@,SFO,L 16-35,,1,3,3.00,0,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,0,0,0,0,0,0,25,35%,0,0%,0,0%,
5,2023,2023-10-08,5,5,24.261,ARI,,CIN,L 20-34,,10,45,4.50,1,3,1,12,12.00,0,33.3%,4.00,0,0,,0,1,6,0,0,0,0,0,0,44,77%,0,0%,1,4%,
6,2023,2023-10-15,6,6,24.268,ARI,@,LAR,L 9-26,,2,11,5.50,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,33,43%,0,0%,7,26%,
7,2023,2023-10-22,7,7,24.275,ARI,@,SEA,L 10-20,*,13,58,4.46,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,0,0,0,0,0,0,53,80%,0,0%,1,4%,
8,2023,2023-10-29,8,8,24.282,ARI,,BAL,L 24-31,*,20,78,3.90,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0,0,0,0,0,0,42,55%,0,0%,0,0%,
9,2023,2023-11-05,9,9,,ARI,@,CLE,L 0-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-12,10,10,,ARI,,ATL,W 25-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
