Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,24.049,ARI,@,BUF,L 28-34,,0,0%,0,0%,4,15%,
2.0,2024.0,2024-09-15,2.0,2.0,24.056,ARI,,LAR,W 41-10,,6,9%,0,0%,7,28%,
3.0,2024.0,2024-09-22,3.0,3.0,24.063,ARI,,DET,L 13-20,,0,0%,0,0%,3,13%,
4.0,2024.0,2024-09-29,4.0,4.0,24.07,ARI,,WAS,L 14-42,,0,0%,0,0%,2,9%,
5.0,2024.0,2024-10-06,5.0,5.0,,ARI,@,SFO,W 24-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6.0,2024.0,2024-10-13,6.0,6.0,24.084,ARI,@,GNB,L 13-34,,23,40%,0,0%,3,11%,
7.0,2024.0,2024-10-21,7.0,7.0,24.092,ARI,,LAC,W 17-15,,20,35%,0,0%,3,14%,
8.0,2024.0,2024-10-27,8.0,8.0,24.098,ARI,@,MIA,W 28-27,,26,39%,0,0%,4,15%,
9.0,2024.0,2024-11-03,9.0,9.0,24.105,ARI,,CHI,W 29-9,,17,29%,0,0%,6,21%,
10.0,2024.0,2024-11-10,10.0,10.0,,ARI,,NYJ,W 31-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11.0,2024.0,2024-11-24,11.0,12.0,24.126,ARI,@,SEA,L 6-16,,0,0%,0,0%,3,12%,
