Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,21.052,ARI,,DET,T 27-27,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,7,18%,
2,2019,2019-09-15,2,2,21.059,ARI,@,BAL,L 17-23,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,5,18%,
3,2019,2019-09-22,,3,,ARI,,CAR,L 20-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2019,2019-09-29,4,4,21.073,ARI,,SEA,L 10-27,,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,31%,
5,2019,2019-10-06,5,5,21.080,ARI,@,CIN,W 26-23,*,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,67%,5,17%,
6,2019,2019-10-13,6,6,21.087,ARI,,ATL,W 34-33,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,49%,1,3%,
7,2019,2019-10-20,7,7,21.094,ARI,@,NYG,W 27-21,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,10%,6,21%,
8,2019,2019-10-27,8,8,21.101,ARI,@,NOR,L 9-31,*,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,57%,6,21%,
9,2019,2019-10-31,9,9,21.105,ARI,,SFO,L 25-28,*,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,61%,4,15%,
10,2019,2019-11-10,10,10,21.115,ARI,@,TAM,L 27-30,*,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,80,96%,0,0%,
11,2019,2019-11-17,11,11,21.122,ARI,@,SFO,L 26-36,*,0.0,5,0,5,0,0,1,18,0,1,0,0,0,0,0,0,0,0%,72,99%,0,0%,
12,2019,2019-12-01,12,13,21.136,ARI,,LAR,L 7-34,*,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,63%,0,0%,
13,2019,2019-12-08,13,14,21.143,ARI,,PIT,L 17-23,,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,63%,0,0%,
14,2019,2019-12-15,14,15,21.150,ARI,,CLE,W 38-24,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,1,24,0,0,0%,66,94%,4,15%,
15,2019,2019-12-22,15,16,21.157,ARI,@,SEA,W 27-13,,0.0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,54,95%,1,3%,
16,2019,2019-12-29,16,17,21.164,ARI,@,LAR,L 24-31,*,0.0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,79,96%,0,0%,
17,2020,2020-09-13,1,1,22.057,ARI,@,SFO,W 24-20,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,0,0%,
18,2020,2020-09-20,2,2,,ARI,,WAS,W 30-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
19,2020,2020-09-27,3,3,,ARI,,DET,L 23-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
20,2020,2020-10-04,4,4,,ARI,@,CAR,L 21-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
21,2020,2020-10-11,5,5,,ARI,@,NYJ,W 30-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
22,2020,2020-10-19,6,6,,ARI,@,DAL,W 38-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
23,2020,2020-10-25,7,7,,ARI,,SEA,W 37-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
24,2020,2020-11-08,8,9,22.113,ARI,,MIA,L 31-34,*,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,57,94%,1,4%,
25,2020,2020-11-15,9,10,22.120,ARI,,BUF,W 32-30,*,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,0,0%,
26,2020,2020-11-19,10,11,22.124,ARI,@,SEA,L 21-28,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,56%,0,0%,
27,2020,2020-11-29,11,12,,ARI,@,NWE,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2020,2020-12-06,12,13,,ARI,,LAR,L 28-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2020,2020-12-13,13,14,,ARI,@,NYG,W 26-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2020,2020-12-20,14,15,,ARI,,PHI,W 33-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2020,2020-12-26,15,16,,ARI,,SFO,L 12-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2020,2021-01-03,16,17,22.169,ARI,@,LAR,L 7-18,,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,86%,0,0%,
33,2021,2021-09-12,1,1,23.056,ARI,@,TEN,W 38-13,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,84%,7,26%,
34,2021,2021-09-19,2,2,23.063,ARI,,MIN,W 34-33,*,0.0,7,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,57,94%,2,6%,
35,2021,2021-09-26,3,3,23.070,ARI,@,JAX,W 31-19,*,0.0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,99%,6,21%,
36,2021,2021-10-03,4,4,23.077,ARI,@,LAR,W 37-20,*,0.0,5,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,8,29%,
37,2021,2021-10-10,5,5,23.084,ARI,,SFO,W 17-10,,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,82%,2,11%,
38,2021,2021-10-17,6,6,23.091,ARI,@,CLE,W 37-14,,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,95%,3,13%,
39,2021,2021-10-24,7,7,23.098,ARI,,HOU,W 31-5,*,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,80%,1,4%,
40,2021,2021-10-28,8,8,23.102,ARI,,GNB,L 21-24,*,0.0,4,6,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,64,88%,6,27%,
41,2021,2021-11-07,9,9,23.112,ARI,@,SFO,W 31-17,,0.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,76%,10,38%,
42,2021,2021-11-14,10,10,23.119,ARI,,CAR,L 10-34,*,0.0,5,4,9,1,0,1,10,0,1,0,0,0,0,0,0,0,0%,64,85%,5,20%,
