Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,ARI,,KAN,L 21-44,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-18,2,2,,ARI,@,LVR,W 29-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2022,2022-09-25,3,3,,ARI,,LAR,L 12-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2022,2022-10-02,4,4,,ARI,@,CAR,W 26-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2022,2022-10-09,5,5,,ARI,,PHI,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2022,2022-10-16,6,6,23.274,ARI,@,SEA,L 9-19,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,5,19%,
7,2022,2022-10-20,7,7,23.278,ARI,,NOR,W 42-34,,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0%,5,7%,18,56%,
8,2022,2022-10-30,8,8,23.288,ARI,@,MIN,L 26-34,,,,,,,,,,,,,,0,0%,3,4%,23,77%,
9,2022,2022-11-06,9,9,23.295,ARI,,SEA,L 21-31,,,,,,,,,,,,,,0,0%,10,14%,8,30%,
10,2022,2022-11-13,10,10,,ARI,@,LAR,W 27-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
