Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,ARI,@,WAS,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2023,2023-09-17,2,2,,ARI,,NYG,L 28-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2023,2023-09-24,3,3,,ARI,,DAL,W 28-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2023,2023-10-01,4,4,,ARI,@,SFO,L 16-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2023,2023-10-08,5,5,,ARI,,CIN,L 20-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2023,2023-10-15,6,6,,ARI,@,LAR,L 9-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2023,2023-10-22,7,7,,ARI,@,SEA,L 10-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2023,2023-10-29,8,8,,ARI,,BAL,L 24-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2023,2023-11-05,9,9,,ARI,@,CLE,L 0-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2023,2023-11-12,10,10,,ARI,,ATL,W 25-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2023,2023-11-19,11,11,,ARI,@,HOU,L 16-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2023,2023-11-26,12,12,,ARI,,LAR,L 14-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2023,2023-12-03,13,13,,ARI,@,PIT,W 24-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2023,2023-12-17,14,15,,ARI,,SFO,L 29-45,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-24,15,16,,ARI,@,CHI,L 16-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2023,2023-12-31,16,17,,ARI,@,PHI,W 35-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2023,2024-01-07,17,18,,ARI,,SEA,L 20-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2024,2024-09-08,1,1,,ARI,@,BUF,L 28-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2024,2024-09-15,2,2,,ARI,,LAR,W 41-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2024,2024-09-22,3,3,,ARI,,DET,L 13-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2024,2024-09-29,4,4,,ARI,,WAS,L 14-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2024,2024-10-06,5,5,25.135,ARI,@,SFO,W 24-23,,0,0%,0,0%,2,8%,
23,2024,2024-10-13,6,6,25.142,ARI,@,GNB,L 13-34,,0,0%,0,0%,3,11%,
24,2024,2024-10-21,7,7,25.150,ARI,,LAC,W 17-15,,0,0%,0,0%,3,14%,
25,2024,2024-10-27,8,8,25.156,ARI,@,MIA,W 28-27,,0,0%,0,0%,4,15%,
26,2024,2024-11-03,9,9,25.163,ARI,,CHI,W 29-9,,1,2%,0,0%,6,21%,
27,2024,2024-11-10,10,10,25.170,ARI,,NYJ,W 31-6,,7,12%,0,0%,5,28%,
28,2024,2024-11-24,11,12,25.184,ARI,@,SEA,L 6-16,,0,0%,0,0%,3,12%,
