Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,22.012,LAC,,KAN,L 28-38,,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,43%,6,20%,
2,2018,2018-09-16,2,2,22.019,LAC,@,BUF,W 31-20,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,48%,4,13%,
3,2018,2018-09-23,3,3,22.026,LAC,@,LAR,L 23-35,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,27%,6,24%,
4,2018,2018-09-30,4,4,22.033,LAC,,SFO,W 29-27,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,27%,5,16%,
5,2018,2018-10-07,5,5,22.040,LAC,,OAK,W 26-10,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,26%,0,0%,
6,2018,2018-10-14,6,6,22.047,LAC,@,CLE,W 38-14,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,21,28%,2,7%,
7,2018,2018-10-21,7,7,22.054,LAC,,TEN,W 20-19,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,15,21%,4,17%,
8,2018,2018-11-04,8,9,22.068,LAC,@,SEA,W 25-17,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,22%,4,14%,
9,2018,2018-11-11,9,10,22.075,LAC,@,OAK,W 20-6,,0.5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,2,9%,
10,2018,2018-11-18,,11,,LAC,,DEN,L 22-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2018,2018-11-25,11,12,22.089,LAC,,ARI,W 45-10,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,45%,0,0%,
12,2018,2018-12-02,12,13,22.096,LAC,@,PIT,W 33-30,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,28,41%,2,7%,
13,2018,2018-12-09,13,14,22.103,LAC,,CIN,W 26-21,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,28%,2,7%,
14,2018,2018-12-13,14,15,22.107,LAC,@,KAN,W 29-28,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,12,20%,3,13%,
15,2018,2018-12-22,15,16,22.116,LAC,,BAL,L 10-22,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,27%,1,4%,
16,2018,2018-12-30,16,17,22.124,LAC,@,DEN,W 23-9,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,42%,5,22%,
17,2019,2019-09-08,1,1,23.011,LAC,,IND,W 30-24,*,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,65%,5,19%,
18,2019,2019-09-15,2,2,23.018,LAC,@,DET,L 10-13,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,68%,3,14%,
19,2019,2019-09-22,3,3,23.025,LAC,,HOU,L 20-27,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,66%,5,19%,
20,2019,2019-09-29,4,4,23.032,LAC,@,MIA,W 30-10,*,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0%,36,69%,4,17%,
21,2019,2019-10-06,5,5,23.039,LAC,,DEN,L 13-20,*,0.0,3,2,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0%,47,78%,5,19%,
22,2019,2019-10-13,6,6,23.046,LAC,,PIT,L 17-24,*,0.0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,78%,4,15%,
23,2019,2019-10-20,,7,,LAC,@,TEN,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2019,2019-10-27,,8,,LAC,@,CHI,W 17-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2019,2019-11-03,,9,,LAC,,GNB,W 26-11,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2019,2019-11-07,,10,,LAC,@,OAK,L 24-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2019,2019-11-18,11,11,23.082,LAC,,KAN,L 17-24,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,55%,4,15%,
28,2019,2019-12-01,12,13,23.095,LAC,@,DEN,L 20-23,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,70%,6,19%,
29,2019,2019-12-08,13,14,23.102,LAC,@,JAX,W 45-10,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,77%,4,14%,
30,2019,2019-12-15,14,15,23.109,LAC,,MIN,L 10-39,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,42,65%,8,32%,
31,2019,2019-12-22,15,16,23.116,LAC,,OAK,L 17-24,*,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,73%,5,19%,
32,2019,2019-12-29,16,17,23.123,LAC,@,KAN,L 21-31,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,76%,6,26%,
33,2020,2020-09-13,1,1,24.016,LAC,@,CIN,W 16-13,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,75%,6,21%,
34,2020,2020-09-20,2,2,24.023,LAC,,KAN,L 20-23,*,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,26%,4,14%,
35,2020,2020-09-27,3,3,,LAC,,CAR,L 16-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
36,2020,2020-10-04,4,4,,LAC,@,TAM,L 31-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
37,2020,2020-10-12,5,5,,LAC,@,NOR,L 27-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
38,2020,2020-10-25,6,7,24.058,LAC,,JAX,W 39-29,*,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,52%,1,3%,
39,2020,2020-11-01,7,8,24.065,LAC,@,DEN,L 30-31,,0.0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,51%,5,16%,
40,2020,2020-11-08,8,9,24.072,LAC,,LVR,L 26-31,*,0.0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,82%,4,13%,
41,2020,2020-11-15,9,10,24.079,LAC,@,MIA,L 21-29,*,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,78%,7,24%,
42,2020,2020-11-22,10,11,24.086,LAC,,NYJ,W 34-28,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,57%,4,13%,
43,2020,2020-11-29,11,12,24.093,LAC,@,BUF,L 17-27,*,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,71%,5,19%,
44,2020,2020-12-06,12,13,24.100,LAC,,NWE,L 0-45,*,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,58%,7,26%,
45,2020,2020-12-13,13,14,24.107,LAC,,ATL,W 20-17,*,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,34,60%,3,14%,
46,2020,2020-12-17,14,15,24.111,LAC,@,LVR,W 30-27,*,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,64%,6,21%,
47,2020,2020-12-27,15,16,24.121,LAC,,DEN,W 19-16,*,0.0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,63,82%,6,20%,
48,2020,2021-01-03,16,17,24.128,LAC,@,KAN,W 38-21,*,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,75%,2,9%,
49,2021,2021-09-12,1,1,25.015,LAC,@,WAS,W 20-16,*,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,29%,2,9%,
50,2021,2021-09-19,2,2,,LAC,,DAL,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2021,2021-09-26,3,3,,LAC,@,KAN,W 30-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,2021,2021-10-04,4,4,,LAC,,LVR,W 28-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
