Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.175,ARI,@,WAS,L 16-20,*,0.0,3,0,3,0,0,0,0,0,0,0,0%,71,100%,0,0%,
2,2023,2023-09-17,2,2,22.182,ARI,,NYG,L 28-31,*,0.0,5,0,5,0,0,0,0,0,2,0,0%,66,97%,1,4%,
3,2023,2023-09-24,3,3,22.189,ARI,,DAL,W 28-16,*,0.0,8,2,10,0,0,0,0,0,2,0,0%,81,100%,0,0%,
4,2023,2023-10-01,4,4,22.196,ARI,@,SFO,L 16-35,*,0.0,5,0,5,1,0,0,0,0,0,0,0%,54,98%,0,0%,
5,2023,2023-10-08,5,5,22.203,ARI,,CIN,L 20-34,,0.0,4,1,5,0,0,0,0,0,0,0,0%,40,49%,17,63%,
6,2023,2023-10-15,6,6,22.210,ARI,@,LAR,L 9-26,*,0.0,3,0,3,0,0,0,0,0,0,0,0%,32,56%,10,37%,
7,2023,2023-10-22,7,7,,ARI,@,SEA,L 10-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2023,2023-10-29,8,8,,ARI,,BAL,L 24-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2023,2023-11-05,9,9,,ARI,@,CLE,L 0-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2023,2023-11-12,10,10,22.238,ARI,,ATL,W 25-23,,,,,,,,,,,,0,0%,0,0%,14,54%,
11,2023,2023-11-19,11,11,22.245,ARI,@,HOU,L 16-21,,,,,,,,,,,,0,0%,0,0%,9,50%,
12,2023,2023-11-26,12,12,22.252,ARI,,LAR,L 14-37,*,0.0,6,3,9,1,0,0,0,0,0,0,0%,59,88%,1,4%,
13,2023,2023-12-03,13,13,22.259,ARI,@,PIT,W 24-10,*,0.0,3,0,3,0,0,0,0,0,0,0,0%,61,100%,4,17%,
14,2023,2023-12-17,14,15,22.273,ARI,,SFO,L 29-45,,,,,,,,,,,,0,0%,0,0%,9,29%,
15,2023,2023-12-24,15,16,22.280,ARI,@,CHI,L 16-27,,,,,,,,,,,,0,0%,0,0%,8,28%,
16,2023,2023-12-31,16,17,22.287,ARI,@,PHI,W 35-31,,,,,,,,,,,,0,0%,0,0%,9,36%,
17,2023,2024-01-07,17,18,22.294,ARI,,SEA,L 20-21,,,,,,,,,,,,0,0%,0,0%,10,38%,
18,2024,2024-09-08,1,1,23.173,ARI,@,BUF,L 28-34,,1.0,2,1,3,0,1,0,0,0,0,0,0%,4,6%,8,30%,
19,2024,2024-09-15,2,2,23.180,ARI,,LAR,W 41-10,,0.0,1,0,1,1,0,0,0,0,0,0,0%,8,15%,11,44%,
20,2024,2024-09-22,3,3,23.187,ARI,,DET,L 13-20,,,,,,,,,,,,0,0%,0,0%,7,30%,
21,2024,2024-09-29,4,4,23.194,ARI,,WAS,L 14-42,,,,,,,,,,,,0,0%,1,1%,5,22%,
22,2024,2024-10-06,5,5,23.201,ARI,@,SFO,W 24-23,,0.0,0,1,1,0,0,0,0,0,0,0,0%,21,33%,7,29%,
23,2024,2024-10-13,6,6,23.208,ARI,@,GNB,L 13-34,,,,,,,,,,,,0,0%,1,1%,9,33%,
24,2024,2024-10-21,7,7,,ARI,,LAC,W 17-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-10-27,8,8,,ARI,@,MIA,W 28-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2024,2024-11-03,9,9,23.229,ARI,,CHI,W 29-9,*,0.0,1,0,1,0,0,0,0,0,0,0,0%,8,11%,10,36%,
27,2024,2024-11-10,10,10,23.236,ARI,,NYJ,W 31-6,,,,,,,,,,,,0,0%,0,0%,7,39%,
28,2024,2024-11-24,11,12,23.250,ARI,@,SEA,L 6-16,,,,,,,,,,,,0,0%,2,3%,6,25%,
