Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2012,2012-09-09,,1,,PIT,@,DEN,L 19-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2012,2012-09-16,,2,,PIT,,NYJ,W 27-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2012,2012-09-23,3,3,23.107,PIT,@,OAK,L 31-34,,0,,,0,0,0,6,8%,0,0%,1,4%,
4,2012,2012-10-07,,5,,PIT,,PHI,W 16-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2012,2012-10-11,,6,,PIT,@,TEN,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2012,2012-10-21,,7,,PIT,@,CIN,W 24-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2012,2012-10-28,,8,,PIT,,WAS,W 27-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2012,2012-11-04,,9,,PIT,@,NYG,W 24-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2012,2012-11-12,,10,,PIT,,KAN,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2012,2012-11-18,,11,,PIT,,BAL,L 10-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2012,2012-11-25,11,12,23.170,PIT,@,CLE,L 14-20,,0,,,0,0,0,20,32%,0,0%,0,0%,
12,2012,2012-12-02,12,13,23.177,PIT,@,BAL,W 23-20,*,0,,,0,0,0,66,100%,0,0%,0,0%,
13,2012,2012-12-09,13,14,23.184,PIT,,SDG,L 24-34,*,0,,,0,0,0,65,100%,0,0%,0,0%,
14,2012,2012-12-16,14,15,23.191,PIT,@,DAL,L 24-27,*,0,,,0,0,0,61,100%,0,0%,0,0%,
15,2012,2012-12-23,15,16,23.198,PIT,,CIN,L 10-13,*,0,,,0,0,0,64,100%,0,0%,0,0%,
16,2012,2012-12-30,16,17,23.205,PIT,,CLE,W 24-10,*,0,,,0,0,0,27,47%,0,0%,0,0%,
17,2013,2013-09-08,1,1,24.092,PIT,,TEN,L 9-16,*,0,,,0,0,0,48,91%,0,0%,1,4%,
18,2013,2013-09-16,2,2,24.100,PIT,@,CIN,L 10-20,,0,,,0,0,0,2,4%,0,0%,2,7%,
19,2013,2013-09-22,3,3,24.106,PIT,,CHI,L 23-40,,0,,,0,0,0,16,24%,0,0%,5,14%,
20,2013,2013-09-29,4,4,24.113,PIT,@,MIN,L 27-34,,0,,,0,0,0,52,66%,0,0%,5,15%,
21,2013,2013-10-13,5,6,24.127,PIT,@,NYJ,W 19-6,*,0,,,0,0,0,65,100%,0,0%,5,17%,
22,2013,2013-10-20,6,7,24.134,PIT,,BAL,W 19-16,*,0,,,0,0,0,57,100%,0,0%,5,22%,
23,2013,2013-10-27,7,8,24.141,PIT,@,OAK,L 18-21,*,0,,,0,0,0,71,100%,0,0%,4,13%,
24,2013,2013-11-03,8,9,24.148,PIT,@,NWE,L 31-55,*,0,0,0,0,0,0,75,100%,0,0%,5,14%,
25,2013,2013-11-10,9,10,24.155,PIT,,BUF,W 23-10,*,0,,,0,0,0,68,100%,0,0%,5,17%,
26,2013,2013-11-17,10,11,24.162,PIT,,DET,W 37-27,*,0,,,0,0,0,77,100%,0,0%,7,20%,
27,2013,2013-11-24,11,12,24.169,PIT,@,CLE,W 27-11,*,0,,,0,0,0,70,100%,0,0%,5,19%,
28,2013,2013-11-28,12,13,24.173,PIT,@,BAL,L 20-22,*,0,,,0,0,0,52,79%,0,0%,2,8%,
29,2013,2013-12-08,,14,,PIT,,MIA,L 28-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2013,2013-12-15,14,15,24.190,PIT,,CIN,W 30-20,*,0,,,0,0,0,56,90%,0,0%,0,0%,
31,2013,2013-12-22,15,16,24.197,PIT,@,GNB,W 38-31,*,0,,,0,0,0,58,100%,0,0%,0,0%,
32,2013,2013-12-29,16,17,24.204,PIT,,CLE,W 20-7,*,0,,,0,0,0,62,100%,0,0%,0,0%,
33,2014,2014-09-07,1,1,25.091,PIT,,CLE,W 30-27,*,0,,,0,0,0,71,100%,0,0%,6,17%,
34,2014,2014-09-11,2,2,25.095,PIT,@,BAL,L 6-26,*,0,,,0,0,0,59,100%,0,0%,2,8%,
35,2014,2014-09-21,3,3,25.105,PIT,@,CAR,W 37-19,*,0,,,0,0,0,70,100%,0,0%,7,24%,
36,2014,2014-09-28,4,4,25.112,PIT,,TAM,L 24-27,*,0,,,0,0,0,76,100%,0,0%,5,17%,
37,2014,2014-10-05,5,5,25.119,PIT,@,JAX,W 17-9,*,0,,,0,0,0,69,100%,0,0%,3,12%,
38,2014,2014-10-12,6,6,25.126,PIT,@,CLE,L 10-31,*,0,,,0,0,0,78,100%,0,0%,3,10%,
39,2014,2014-10-20,7,7,25.134,PIT,,HOU,W 30-23,*,0,,,0,0,0,64,100%,0,0%,6,19%,
40,2014,2014-10-26,8,8,25.140,PIT,,IND,W 51-34,*,0,,,0,0,0,84,100%,0,0%,8,24%,
41,2014,2014-11-02,9,9,25.147,PIT,,BAL,W 43-23,*,0,0,0,0,0,0,69,100%,0,0%,6,18%,
42,2014,2014-11-09,10,10,25.154,PIT,@,NYJ,L 13-20,*,0,,,0,0,0,64,100%,0,0%,4,15%,
43,2014,2014-11-17,11,11,25.162,PIT,@,TEN,W 27-24,*,0,,,0,0,0,73,100%,0,0%,5,19%,
44,2014,2014-11-30,12,13,25.175,PIT,,NOR,L 32-35,*,0,,,0,0,0,89,100%,0,0%,5,17%,
45,2014,2014-12-07,13,14,25.182,PIT,@,CIN,W 42-21,*,0,,,0,0,0,73,100%,0,0%,6,17%,
46,2014,2014-12-14,14,15,25.189,PIT,@,ATL,W 27-20,*,0,,,0,0,0,59,100%,0,0%,5,19%,
47,2014,2014-12-21,15,16,25.196,PIT,,KAN,W 20-12,*,0,,,0,0,0,54,100%,0,0%,4,18%,
48,2014,2014-12-28,16,17,25.203,PIT,,CIN,W 27-17,*,0,,,0,0,0,59,100%,0,0%,5,19%,
49,2015,2015-09-10,1,1,26.094,PIT,@,NWE,L 21-28,*,0,0,0,0,0,0,72,100%,0,0%,5,19%,
50,2015,2015-09-20,2,2,26.104,PIT,,SFO,W 43-18,*,0,0,0,0,0,0,57,100%,0,0%,5,20%,
51,2015,2015-09-27,3,3,26.111,PIT,@,STL,W 12-6,*,0,0,0,0,0,0,63,100%,0,0%,2,10%,
