Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,,TEN,,ARI,L 13-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2021,2021-09-19,2,2,,TEN,@,SEA,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2021,2021-09-26,3,3,,TEN,,IND,W 25-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2021,2021-10-03,4,4,23.240,TEN,@,NYJ,L 24-27,,,,,,,,,,,,0,0%,9,15%,5,15%,
5,2021,2021-10-10,5,5,23.247,TEN,@,JAX,W 37-19,,,,,,,,,,,,0,0%,23,32%,3,12%,
6,2021,2021-10-18,6,6,23.255,TEN,,BUF,W 34-31,,0.0,3,0,3,0,0,0,0,0,0,0,0%,23,30%,5,17%,
7,2021,2021-10-24,7,7,23.261,TEN,,KAN,W 27-3,,0.0,0,3,3,0,0,0,0,0,0,0,0%,30,42%,2,11%,
8,2021,2021-10-31,8,8,23.268,TEN,@,IND,W 34-31,,0.0,3,0,3,0,0,0,0,0,0,0,0%,39,49%,6,19%,
9,2021,2021-11-07,9,9,23.275,TEN,@,LAR,W 28-16,,0.0,1,1,2,0,0,0,0,0,0,0,0%,16,20%,4,15%,
10,2021,2021-11-14,10,10,23.282,TEN,,NOR,W 23-21,*,1.0,1,0,1,1,1,0,0,0,0,0,0%,29,43%,8,28%,
11,2021,2021-11-21,11,11,23.289,TEN,,HOU,L 13-22,,0.0,2,1,3,1,0,0,0,0,0,0,0%,19,30%,4,16%,
12,2021,2021-11-28,12,12,23.296,TEN,@,NWE,L 13-36,,0.5,0,1,1,0,1,0,0,0,0,0,0%,16,27%,9,32%,
13,2021,2021-12-12,13,14,23.310,TEN,,JAX,W 20-0,*,0.0,0,2,2,0,0,0,0,0,0,0,0%,31,56%,0,0%,
14,2021,2021-12-19,14,15,23.317,TEN,@,PIT,L 13-19,*,1.0,3,1,4,2,1,0,0,0,0,0,0%,31,63%,6,22%,
15,2021,2021-12-23,15,16,23.321,TEN,,SFO,W 20-17,*,0.0,3,2,5,0,0,0,0,0,1,0,0%,35,59%,3,13%,
16,2021,2022-01-02,16,17,23.331,TEN,,MIA,W 34-3,*,0.0,2,0,2,0,0,0,0,0,1,0,0%,27,44%,3,12%,
17,2021,2022-01-09,17,18,,TEN,@,HOU,W 28-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2022,2022-09-11,1,1,,TEN,,NYG,L 20-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2022,2022-09-19,2,2,24.226,TEN,@,BUF,L 7-41,,0.0,2,2,4,0,0,0,0,0,0,0,0%,22,32%,1,4%,
20,2022,2022-09-25,3,3,24.232,TEN,,LVR,W 24-22,,0.0,0,1,1,0,0,0,0,0,0,0,0%,18,26%,5,21%,
21,2022,2022-10-02,4,4,24.239,TEN,@,IND,W 24-17,,,,,,,,,,,,0,0%,16,24%,4,17%,
