Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,,ARI,@,WAS,L 16-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2023,2023-09-17,2,2,22.353,ARI,,NYG,L 28-31,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,61%,
3,2023,2023-09-24,3,3,22.360,ARI,,DAL,W 28-16,,,,,,,,,,,,,,,,,,0,0%,0,0%,13,52%,
4,2023,2023-10-01,4,4,23.002,ARI,@,SFO,L 16-35,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,68%,
5,2023,2023-10-08,5,5,23.009,ARI,,CIN,L 20-34,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,67%,
6,2023,2023-10-15,6,6,23.016,ARI,@,LAR,L 9-26,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,67%,
7,2023,2023-10-22,7,7,23.023,ARI,@,SEA,L 10-20,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,63%,
8,2023,2023-10-29,8,8,23.030,ARI,,BAL,L 24-31,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,71%,
9,2023,2023-11-05,9,9,23.037,ARI,@,CLE,L 0-27,,,,,,,,,,,,,,,,,,0,0%,0,0%,28,100%,
10,2023,2023-11-12,10,10,23.044,ARI,,ATL,W 25-23,,,,,,,,,,,,,,,,,,0,0%,0,0%,18,69%,
11,2023,2023-11-19,11,11,23.051,ARI,@,HOU,L 16-21,,,,,,,,,,,,,,,,,,0,0%,0,0%,11,61%,
12,2023,2023-11-26,12,12,23.058,ARI,,LAR,L 14-37,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,18,64%,
13,2023,2023-12-03,13,13,23.065,ARI,@,PIT,W 24-10,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,10%,16,67%,
14,2023,2023-12-17,14,15,23.079,ARI,,SFO,L 29-45,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,19,61%,
15,2023,2023-12-24,15,16,23.086,ARI,@,CHI,L 16-27,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,50%,8,28%,
16,2023,2023-12-31,16,17,23.093,ARI,@,PHI,W 35-31,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,76%,0,0%,
17,2023,2024-01-07,17,18,23.100,ARI,,SEA,L 20-21,,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,29,53%,6,23%,
18,2024,2024-09-08,1,1,23.345,ARI,@,BUF,L 28-34,,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,19%,23,85%,
19,2024,2024-09-15,2,2,23.352,ARI,,LAR,W 41-10,,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,31%,17,68%,
20,2024,2024-09-22,3,3,23.359,ARI,,DET,L 13-20,,0.0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,12%,19,83%,
21,2024,2024-09-29,4,4,24.000,ARI,,WAS,L 14-42,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,21,91%,
22,2024,2024-10-06,5,5,24.007,ARI,@,SFO,W 24-23,,,,,,,,,,,,,,,,,,0,0%,0,0%,19,79%,
23,2024,2024-10-13,6,6,24.014,ARI,@,GNB,L 13-34,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,11%,22,81%,
24,2024,2024-10-21,7,7,,ARI,,LAC,W 17-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-10-27,8,8,24.028,ARI,@,MIA,W 28-27,,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,12%,22,85%,
26,2024,2024-11-03,9,9,24.035,ARI,,CHI,W 29-9,,0.0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,37,50%,21,75%,
27,2024,2024-11-10,10,10,24.042,ARI,,NYJ,W 31-6,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,7,12%,13,72%,
28,2024,2024-11-24,11,12,24.056,ARI,@,SEA,L 6-16,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,19,79%,
