Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,24.036,HOU,,JAX,W 37-21,,,0,0,,,,,,,,,,,,,,,,,0,0%,20,27%,8,23%,
2,2021,2021-09-19,2,2,24.043,HOU,@,CLE,L 21-31,*,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,56%,9,36%,
3,2021,2021-09-23,3,3,24.047,HOU,,CAR,L 9-24,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,48%,6,26%,
4,2021,2021-10-03,4,4,24.057,HOU,@,BUF,L 0-40,*,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,50%,8,33%,
5,2021,2021-10-10,5,5,24.064,HOU,,NWE,L 22-25,*,,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,31,48%,11,41%,
6,2021,2021-10-17,6,6,24.071,HOU,@,IND,L 3-31,*,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,44%,6,25%,
7,2021,2021-10-24,7,7,24.078,HOU,@,ARI,L 5-31,*,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,42%,6,23%,
8,2021,2021-10-31,8,8,24.085,HOU,,LAR,L 22-38,*,,0,0,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,57%,9,27%,
9,2021,2021-11-07,9,9,24.092,HOU,@,MIA,L 9-17,*,,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,1,6,0,0,0%,33,44%,6,25%,
10,2021,2021-11-21,10,11,24.106,HOU,@,TEN,W 22-13,*,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,37%,7,28%,
11,2021,2021-11-28,11,12,24.113,HOU,,NYJ,L 14-21,*,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,37%,8,32%,
12,2021,2021-12-05,12,13,24.120,HOU,,IND,L 0-31,*,,0,0,,,,,,,,,,,,,,,,,0,0%,38,53%,6,27%,
13,2021,2021-12-12,13,14,24.127,HOU,,SEA,L 13-33,*,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,52%,9,32%,
14,2021,2021-12-19,14,15,24.134,HOU,@,JAX,W 30-16,*,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,46%,10,31%,
15,2021,2021-12-26,15,16,,HOU,,LAC,W 41-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2021,2022-01-02,16,17,24.148,HOU,@,SFO,L 7-23,*,,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,42%,7,28%,
17,2021,2022-01-09,17,18,24.155,HOU,,TEN,L 25-28,*,,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,59%,8,30%,
18,2022,2022-09-11,1,1,25.035,HOU,,IND,T 20-20,*,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,45,49%,6,19%,
19,2022,2022-09-18,2,2,25.042,HOU,@,DEN,L 9-16,*,,0,0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0%,43,60%,4,15%,
20,2022,2022-09-25,3,3,25.049,HOU,@,CHI,L 20-23,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,48%,9,31%,
21,2022,2022-10-02,4,4,25.056,HOU,,LAC,L 24-34,*,,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,54%,11,38%,
22,2022,2022-10-09,5,5,25.063,HOU,@,JAX,W 13-6,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,29,39%,5,24%,
23,2022,2022-10-23,6,7,25.077,HOU,@,LVR,L 20-38,*,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,64%,11,41%,
24,2022,2022-10-30,7,8,25.084,HOU,,TEN,L 10-17,,,0,0,1.0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,27,47%,8,30%,
25,2022,2022-11-03,8,9,25.088,HOU,,PHI,L 17-29,,,0,0,,,,,,,,,,,,,,,,,0,0%,19,29%,7,30%,
26,2022,2022-11-13,9,10,25.098,HOU,@,NYG,L 16-24,,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,30%,9,30%,
27,2022,2022-11-20,10,11,25.105,HOU,,WAS,L 10-23,*,,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,47%,7,26%,
28,2022,2022-11-27,11,12,25.112,HOU,@,MIA,L 15-30,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,42%,6,20%,
