Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.081,TAM,,SFO,L 17-31,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,1,1%,21,84%,
2,2019,2019-09-12,2,2,22.085,TAM,@,CAR,W 20-14,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,25,84%,
3,2019,2019-09-22,3,3,22.095,TAM,,NYG,L 31-32,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,10%,26,76%,
4,2019,2019-09-29,4,4,22.102,TAM,@,LAR,W 55-40,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,7,8%,28,74%,
5,2019,2019-10-06,5,5,22.109,TAM,@,NOR,L 24-31,,0,0,0.0,3,1,4,0,0,1,14,0,1,0,0,0,0,0,0,0,0%,59,86%,10,33%,
6,2019,2019-10-13,6,6,22.116,TAM,,CAR,L 26-37,*,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,36,53%,10,26%,
7,2019,2019-10-27,7,8,22.130,TAM,@,TEN,L 23-27,,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,28,47%,5,17%,
8,2019,2019-11-03,8,9,22.137,TAM,@,SEA,L 34-40,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,100%,11,31%,
9,2019,2019-11-10,9,10,22.144,TAM,,ARI,W 30-27,*,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,11,34%,
10,2019,2019-11-17,10,11,22.151,TAM,,NOR,L 17-34,*,0,0,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,62,93%,7,27%,
11,2019,2019-11-24,11,12,22.158,TAM,@,ATL,W 35-22,*,0,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,74%,11,32%,
12,2019,2019-12-01,12,13,22.165,TAM,@,JAX,W 28-11,*,0,0,0.0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0%,64,94%,10,42%,
13,2019,2019-12-08,13,14,22.172,TAM,,IND,W 38-35,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,97%,11,35%,
14,2019,2019-12-15,14,15,22.179,TAM,@,DET,W 38-17,*,1,6,0.0,8,0,8,0,0,1,70,1,1,0,0,0,0,0,0,0,0%,61,95%,12,40%,
15,2019,2019-12-21,15,16,22.185,TAM,,HOU,L 20-23,*,0,0,1.0,4,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,66,100%,11,37%,
16,2019,2019-12-29,16,17,22.193,TAM,,ATL,L 22-28,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,35%,3,11%,
17,2020,2020-09-13,1,1,23.086,TAM,@,NOR,L 23-34,*,0,0,0.0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,68,100%,7,21%,
18,2020,2020-09-20,2,2,23.093,TAM,,CAR,W 31-17,*,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,99%,8,32%,
19,2020,2020-09-27,3,3,23.100,TAM,@,DEN,W 28-10,*,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,19,30%,3,10%,
20,2020,2020-10-04,4,4,23.107,TAM,,LAC,W 38-31,*,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,100%,7,22%,
21,2020,2020-10-08,5,5,23.111,TAM,@,CHI,L 19-20,*,0,0,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,98%,6,21%,
22,2020,2020-10-18,6,6,23.121,TAM,,GNB,W 38-10,*,0,0,0.0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,7,23%,
23,2020,2020-10-25,7,7,23.128,TAM,@,LVR,W 45-20,*,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,98%,10,32%,
24,2020,2020-11-02,8,8,23.136,TAM,@,NYG,W 25-23,,0,0,0.0,3,3,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,38,51%,9,33%,
25,2020,2020-11-08,9,9,23.142,TAM,,NOR,L 3-38,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,26,36%,2,10%,
