Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,21.049,ARI,@,BUF,L 28-34,,3,13,4.33,0,1,1,5,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,8,13%,0,0%,0,0%,
2.0,2024.0,2024-09-15,2.0,2.0,21.056,ARI,,LAR,W 41-10,*,11,10,0.91,0,1,1,7,7.00,0,100.0%,7.00,0,0,0,0,0,0,0,0,22,33%,0,0%,0,0%,
3.0,2024.0,2024-09-22,3.0,3.0,21.063,ARI,,DET,L 13-20,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,
4.0,2024.0,2024-09-29,4.0,4.0,21.07,ARI,,WAS,L 14-42,,9,50,5.56,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,11,19%,0,0%,0,0%,
5.0,2024.0,2024-10-06,5.0,5.0,,ARI,@,SFO,W 24-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6.0,2024.0,2024-10-13,6.0,6.0,21.084,ARI,@,GNB,L 13-34,,5,26,5.20,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,11,19%,0,0%,0,0%,
7.0,2024.0,2024-10-21,7.0,7.0,21.092,ARI,,LAC,W 17-15,,,,,,,,,,,0.0%,,0,0,,,,,,,4,7%,0,0%,0,0%,
8.0,2024.0,2024-10-27,8.0,8.0,21.098,ARI,@,MIA,W 28-27,,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,
9.0,2024.0,2024-11-03,9.0,9.0,21.105,ARI,,CHI,W 29-9,,8,37,4.63,1,1,1,18,18.00,0,100.0%,18.00,1,6,0,0,0,0,0,0,16,28%,0,0%,0,0%,
10.0,2024.0,2024-11-10,10.0,10.0,21.112,ARI,,NYJ,W 31-6,,10,62,6.20,0,2,2,25,12.50,0,100.0%,12.50,0,0,0,0,0,0,0,0,16,27%,0,0%,0,0%,
11.0,2024.0,2024-11-24,11.0,12.0,21.126,ARI,@,SEA,L 6-16,,4,18,4.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,9,16%,0,0%,0,0%,
