Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,21.298,ARI,@,TEN,W 38-13,,,,,,,,,,,,,,,,,,0,0%,4,6%,14,52%,
2,2021,2021-09-19,2,2,21.305,ARI,,MIN,W 34-33,,,,,,,,,,,,,,,,,,0,0%,0,0%,10,28%,
3,2021,2021-09-26,3,3,,ARI,@,JAX,W 31-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2021,2021-10-03,4,4,,ARI,@,LAR,W 37-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2021,2021-10-10,5,5,,ARI,,SFO,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2021,2021-10-17,6,6,21.333,ARI,@,CLE,W 37-14,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,52%,
7,2021,2021-10-24,7,7,21.340,ARI,,HOU,W 31-5,,,,,,,,,,,,,,,,,,0,0%,11,20%,20,77%,
8,2021,2021-10-28,8,8,21.344,ARI,,GNB,L 21-24,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,68%,
9,2021,2021-11-07,9,9,21.354,ARI,@,SFO,W 31-17,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,65%,
10,2021,2021-11-14,10,10,21.361,ARI,,CAR,L 10-34,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,68%,
