Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,23.007,NYG,,JAX,L 15-20,*,0,0,0,0,0,0,71,100%,0,0%,3,10%,
2,2018,2018-09-16,2,2,23.014,NYG,@,DAL,L 13-20,*,0,0,0,0,0,0,68,100%,0,0%,3,12%,
3,2018,2018-09-23,3,3,23.021,NYG,@,HOU,W 27-22,*,0,0,0,0,0,0,62,100%,0,0%,5,19%,
4,2018,2018-09-30,4,4,23.028,NYG,,NOR,L 18-33,*,0,0,0,0,0,0,62,100%,0,0%,2,7%,
5,2018,2018-10-07,5,5,23.035,NYG,@,CAR,L 31-33,*,0,0,0,0,0,0,56,100%,0,0%,5,16%,
6,2018,2018-10-11,6,6,23.039,NYG,,PHI,L 13-34,*,0,0,0,0,0,0,65,100%,0,0%,4,12%,
7,2018,2018-10-22,7,7,23.050,NYG,@,ATL,L 20-23,*,0,0,0,0,0,0,64,100%,0,0%,2,8%,
8,2018,2018-10-28,8,8,23.056,NYG,,WAS,L 13-20,*,0,0,0,0,0,0,70,100%,0,0%,3,10%,
9,2018,2018-11-12,9,10,23.071,NYG,@,SFO,W 27-23,*,0,0,0,0,0,0,59,100%,0,0%,5,17%,
10,2018,2018-11-18,10,11,23.077,NYG,,TAM,W 38-35,*,0,0,0,0,0,0,53,100%,0,0%,6,21%,
11,2018,2018-11-25,11,12,23.084,NYG,@,PHI,L 22-25,*,0,0,0,0,0,0,61,100%,0,0%,4,15%,
12,2018,2018-12-02,12,13,23.091,NYG,,CHI,W 30-27,*,0,0,0,0,0,0,72,100%,0,0%,6,16%,
13,2018,2018-12-09,13,14,23.098,NYG,@,WAS,W 40-16,*,0,0,0,0,0,0,64,100%,0,0%,7,23%,
14,2018,2018-12-16,14,15,23.105,NYG,,TEN,L 0-17,*,0,0,0,0,0,0,65,100%,0,0%,0,0%,
15,2018,2018-12-23,15,16,23.112,NYG,@,IND,L 27-28,*,0,0,0,0,0,0,64,100%,0,0%,5,19%,
16,2018,2018-12-30,16,17,23.119,NYG,,DAL,L 35-36,*,0,0,0,0,0,0,71,100%,0,0%,5,18%,
17,2019,2019-09-08,1,1,24.006,NYG,@,DAL,L 17-35,*,0,,,0,0,0,68,100%,0,0%,3,12%,
18,2019,2019-09-15,2,2,24.013,NYG,,BUF,L 14-28,*,0,0,0,0,0,0,68,100%,0,0%,3,11%,
19,2019,2019-09-22,3,3,24.020,NYG,@,TAM,W 32-31,*,0,0,0,0,0,0,62,100%,0,0%,4,12%,
20,2019,2019-09-29,4,4,24.027,NYG,,WAS,W 24-3,*,0,,,0,0,0,77,100%,0,0%,4,20%,
21,2019,2019-10-06,5,5,24.034,NYG,,MIN,L 10-28,*,0,,,0,0,0,68,100%,0,0%,3,13%,
22,2019,2019-10-10,6,6,24.038,NYG,@,NWE,L 14-35,*,0,,,0,0,0,50,100%,0,0%,2,8%,
23,2019,2019-10-20,7,7,24.048,NYG,,ARI,L 21-27,*,0,,,0,0,0,70,100%,0,0%,4,14%,
24,2019,2019-10-27,8,8,24.055,NYG,@,DET,L 26-31,*,0,,,0,0,0,74,100%,0,0%,3,12%,
25,2019,2019-11-04,9,9,24.063,NYG,,DAL,L 18-37,*,0,,,0,0,0,71,100%,0,0%,5,16%,
26,2019,2019-11-10,10,10,24.069,NYG,@,NYJ,L 27-34,*,0,,,0,0,0,69,100%,0,0%,3,9%,
27,2019,2019-11-24,11,12,24.083,NYG,@,CHI,L 14-19,*,0,,,0,0,0,60,100%,0,0%,4,15%,
28,2019,2019-12-01,12,13,24.090,NYG,,GNB,L 13-31,*,0,,,0,0,0,66,100%,0,0%,3,14%,
29,2019,2019-12-09,13,14,24.098,NYG,@,PHI,L 17-23,*,0,,,0,0,0,52,100%,0,0%,3,9%,
30,2019,2019-12-15,14,15,24.104,NYG,,MIA,W 36-20,*,0,0,0,0,0,0,67,100%,0,0%,5,17%,
31,2019,2019-12-22,15,16,24.111,NYG,@,WAS,W 41-35,*,0,,,0,0,0,70,100%,0,0%,6,18%,
32,2019,2019-12-29,16,17,24.118,NYG,,PHI,L 17-34,*,0,0,0,0,0,0,74,100%,0,0%,3,9%,
33,2020,2020-09-14,1,1,25.012,NYG,,PIT,L 16-26,*,0,,,0,0,0,68,100%,0,0%,2,8%,
34,2020,2020-09-20,2,2,25.018,NYG,@,CHI,L 13-17,*,0,,,0,0,0,65,100%,0,0%,4,18%,
35,2020,2020-09-27,3,3,25.025,NYG,,SFO,L 9-36,*,0,,,0,0,0,52,100%,0,0%,3,13%,
36,2020,2020-10-04,4,4,25.032,NYG,@,LAR,L 9-17,*,0,,,0,0,0,68,100%,0,0%,3,13%,
37,2020,2020-10-11,5,5,25.039,NYG,@,DAL,L 34-37,*,0,,,0,0,0,68,100%,0,0%,7,21%,
38,2020,2020-10-18,6,6,25.046,NYG,,WAS,W 20-19,*,0,,,0,0,0,48,100%,0,0%,4,18%,
39,2020,2020-10-22,7,7,25.050,NYG,@,PHI,L 21-22,*,0,,,0,0,0,60,100%,0,0%,3,12%,
40,2020,2020-11-02,8,8,,NYG,,TAM,L 23-25,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
41,2020,2020-11-08,9,9,,NYG,@,WAS,W 23-20,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
42,2020,2020-11-15,10,10,25.074,NYG,,PHI,W 27-17,,0,,,0,0,0,12,17%,0,0%,2,8%,
43,2020,2020-11-29,11,12,25.088,NYG,@,CIN,W 19-17,,0,,,0,0,0,26,32%,0,0%,0,0%,
44,2020,2020-12-06,12,13,25.095,NYG,@,SEA,W 17-12,,0,,,0,0,0,16,29%,0,0%,0,0%,
45,2020,2020-12-13,13,14,25.102,NYG,,ARI,L 7-26,,0,,,0,0,0,11,22%,0,0%,0,0%,
46,2020,2020-12-20,14,15,25.109,NYG,,CLE,L 6-20,,0,,,0,0,0,20,37%,0,0%,0,0%,
47,2020,2020-12-27,15,16,25.116,NYG,@,BAL,L 13-27,,0,,,0,0,0,10,16%,0,0%,0,0%,
48,2020,2021-01-03,16,17,,NYG,,DAL,W 23-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2021,2021-09-12,1,1,26.010,NYG,,DEN,L 13-27,*,,,,,,,61,100%,0,0%,1,5%,
50,2021,2021-09-16,2,2,26.014,NYG,@,WAS,L 29-30,*,,,,,,,69,100%,0,0%,7,20%,
51,2021,2021-09-26,3,3,26.024,NYG,,ATL,L 14-17,*,,,,,,,70,100%,0,0%,2,9%,
52,2021,2021-10-03,4,4,26.031,NYG,@,NOR,W 27-21,*,,,,,,,63,100%,0,0%,4,16%,
53,2021,2021-10-10,5,5,26.038,NYG,@,DAL,L 20-44,*,,,,,,,68,100%,0,0%,5,17%,
54,2021,2021-10-17,6,6,26.045,NYG,,LAR,L 11-38,*,0,0,0,1,0,0,75,100%,0,0%,1,4%,
55,2021,2021-10-24,7,7,26.052,NYG,,CAR,W 25-3,*,,,,,,,72,100%,0,0%,5,19%,
56,2021,2021-11-01,8,8,26.060,NYG,@,KAN,L 17-20,*,,,,,,,60,100%,0,0%,3,12%,
57,2021,2021-11-07,9,9,26.066,NYG,,LVR,W 23-16,*,,,,,,,56,100%,0,0%,5,19%,
58,2021,2021-11-22,10,11,26.081,NYG,@,TAM,L 10-30,*,,,,,,,58,100%,0,0%,2,8%,
59,2021,2021-11-28,11,12,26.087,NYG,,PHI,W 13-7,*,,,,,,,60,100%,0,0%,4,21%,
60,2021,2021-12-05,12,13,26.094,NYG,@,MIA,L 9-20,*,,,,,,,65,100%,0,0%,4,13%,
61,2021,2021-12-12,13,14,26.101,NYG,@,LAC,L 21-37,*,,,,,,,69,100%,0,0%,1,3%,
62,2021,2021-12-19,14,15,26.108,NYG,,DAL,L 6-21,*,,,,,,,63,100%,0,0%,2,10%,
63,2021,2021-12-26,15,16,26.115,NYG,@,PHI,L 10-34,*,,,,,,,76,100%,0,0%,2,6%,
64,2021,2022-01-02,16,17,26.122,NYG,@,CHI,L 3-29,*,,,,,,,56,100%,0,0%,1,4%,
65,2021,2022-01-09,17,18,26.129,NYG,,WAS,L 7-22,*,,,,,,,7,12%,0,0%,0,0%,
66,2022,2022-09-11,1,1,27.009,ARI,,KAN,L 21-44,*,,,,,,,57,88%,0,0%,1,4%,
67,2022,2022-09-18,2,2,27.016,ARI,@,LVR,W 29-23,*,,,,,,,87,100%,0,0%,1,5%,
68,2022,2022-09-25,3,3,27.023,ARI,,LAR,L 12-20,*,,,,,,,83,100%,0,0%,4,16%,
69,2022,2022-10-02,4,4,27.030,ARI,@,CAR,W 26-16,*,,,,,,,58,76%,0,0%,2,9%,
70,2022,2022-10-09,5,5,27.037,ARI,,PHI,L 17-20,*,,,,,,,69,100%,0,0%,4,16%,
71,2022,2022-10-16,6,6,27.044,ARI,@,SEA,L 9-19,*,,,,,,,71,100%,0,0%,2,8%,
72,2022,2022-10-20,7,7,27.048,ARI,,NOR,W 42-34,*,,,,,,,66,100%,0,0%,5,16%,
73,2022,2022-10-30,8,8,27.058,ARI,@,MIN,L 26-34,*,,,,,,,78,100%,0,0%,4,13%,
74,2022,2022-11-06,9,9,27.065,ARI,,SEA,L 21-31,*,,,,,,,9,14%,0,0%,0,0%,
75,2022,2022-11-13,10,10,,ARI,@,LAR,W 27-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,2022,2022-11-21,11,11,,ARI,,SFO,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
77,2022,2022-11-27,12,12,,ARI,,LAC,L 24-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,2022,2022-12-12,13,14,,ARI,,NWE,L 13-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,2022,2022-12-18,14,15,27.107,ARI,@,DEN,L 15-24,*,,,,,,,65,100%,0,0%,0,0%,
80,2022,2022-12-25,15,16,27.114,ARI,,TAM,L 16-19,*,,,,,,,76,100%,0,0%,0,0%,
81,2022,2023-01-01,16,17,27.121,ARI,@,ATL,L 19-20,*,,,,,,,74,100%,0,0%,0,0%,
