Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,22.116,ARI,@,TEN,W 38-13,*,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,34%,0,0%,
2,2021,2021-09-19,2,2,22.123,ARI,,MIN,W 34-33,,0,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,25,41%,3,8%,
3,2021,2021-09-26,3,3,22.130,ARI,@,JAX,W 31-19,*,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,41%,5,17%,
4,2021,2021-10-03,4,4,22.137,ARI,@,LAR,W 37-20,,0,0,,,,,,,,,,,,,,,,,0,0%,4,6%,12,43%,
5,2021,2021-10-10,5,5,22.144,ARI,,SFO,W 17-10,*,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,34,52%,9,48%,
6,2021,2021-10-17,6,6,22.151,ARI,@,CLE,W 37-14,*,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,16,27%,0,0%,
7,2021,2021-10-24,7,7,22.158,ARI,,HOU,W 31-5,*,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,57%,2,8%,
8,2021,2021-10-28,8,8,22.162,ARI,,GNB,L 21-24,,0,0,,,,,,,,,,,,,,,,,0,0%,3,4%,0,0%,
9,2021,2021-11-07,9,9,22.172,ARI,@,SFO,W 31-17,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,5%,1,4%,
10,2021,2021-11-14,10,10,22.179,ARI,,CAR,L 10-34,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,31%,14,56%,
11,2021,2021-11-21,11,11,22.186,ARI,@,SEA,W 23-13,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,16,59%,
12,2021,2021-12-05,12,13,22.200,ARI,@,CHI,W 33-22,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,17,71%,
13,2021,2021-12-13,13,14,22.208,ARI,,LAR,L 23-30,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,16,59%,
14,2021,2021-12-19,14,15,22.214,ARI,@,DET,L 12-30,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,16,64%,
15,2021,2021-12-25,15,16,22.220,ARI,,IND,L 16-22,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,14,58%,
16,2021,2022-01-02,16,17,22.228,ARI,@,DAL,W 25-22,*,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,19,30%,14,54%,
17,2021,2022-01-09,17,18,22.235,ARI,,SEA,L 30-38,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,14%,18,56%,
18,2022,2022-09-11,1,1,23.115,ARI,,KAN,L 21-44,*,0,0,0.0,4,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,96%,0,0%,
19,2022,2022-09-18,2,2,23.122,ARI,@,LVR,W 29-23,*,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,67,100%,0,0%,
20,2022,2022-09-25,3,3,23.129,ARI,,LAR,L 12-20,*,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,73%,0,0%,
21,2022,2022-10-02,4,4,23.136,ARI,@,CAR,W 26-16,*,0,0,0.0,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,100%,2,9%,
22,2022,2022-10-09,5,5,23.143,ARI,,PHI,L 17-20,*,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,0,0%,
23,2022,2022-10-16,6,6,23.150,ARI,@,SEA,L 9-19,*,0,0,2.0,4,4,8,2,2,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,0,0%,
24,2022,2022-10-20,7,7,23.154,ARI,,NOR,W 42-34,*,0,0,0.0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,72,100%,9,28%,
25,2022,2022-10-30,8,8,23.164,ARI,@,MIN,L 26-34,*,0,0,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,71,100%,6,20%,
26,2022,2022-11-06,9,9,23.171,ARI,,SEA,L 21-31,*,1,6,0.0,4,3,7,1,0,1,30,1,1,0,0,0,0,0,0,0,0%,71,97%,5,19%,
