Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.297,CLE,,TEN,L 13-43,,1,2,50.0,,,,0,1,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,15%,
2,2019,2019-09-16,2,2,22.305,CLE,@,NYJ,W 23-3,,2,2,100.0,3,3,100.0,0,11,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,38%,
3,2019,2019-09-22,3,3,22.311,CLE,,LAR,L 13-20,,1,1,100.0,2,2,100.0,0,7,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,25%,
4,2019,2019-09-29,4,4,22.318,CLE,@,BAL,W 40-25,,4,4,100.0,2,2,100.0,0,10,0,0,,0,0,,0,,0,,0,0,0%,0,0%,14,50%,
5,2019,2019-10-07,5,5,22.326,CLE,@,SFO,L 3-31,,,,,1,1,100.0,0,3,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,11%,
6,2019,2019-10-13,6,6,22.332,CLE,,SEA,L 28-32,,2,3,66.7,,,,0,2,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,31%,
7,2019,2019-10-27,7,8,22.346,CLE,@,NWE,L 13-27,,1,1,100.0,2,2,100.0,0,7,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,19%,
8,2019,2019-11-03,8,9,22.353,CLE,@,DEN,L 19-24,,1,1,100.0,4,4,100.0,0,13,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,41%,
9,2019,2019-11-10,9,10,22.360,CLE,,BUF,W 19-16,,1,2,50.0,2,2,100.0,0,7,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,38%,
10,2019,2019-11-14,10,11,22.364,CLE,,PIT,W 21-7,,3,3,100.0,,2,0.0,0,3,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,35%,
