Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.086,WAS,@,TAM,L 20-37,,,,,,,0.0%,,0,0,,,,,,,13.0,22%,0.0,0%,8.0,30%
2.0,2024.0,2024-09-15,2.0,2.0,22.093,WAS,,NYG,W 21-18,,,,,,,0.0%,,0,0,,,,,,,13.0,18%,0.0,0%,4.0,19%
3.0,2024.0,2024-09-23,3.0,3.0,22.101,WAS,@,CIN,W 38-33,,,,,,,0.0%,,0,0,,,,,,,26.0,44%,0.0,0%,6.0,23%
4.0,2024.0,2024-09-29,4.0,4.0,22.107,WAS,@,ARI,W 42-14,,0.0,0.0,0.0,,0.0,0.0%,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,42%,0.0,0%,4.0,17%
5.0,2024.0,2024-10-06,5.0,5.0,22.114,WAS,,CLE,W 34-13,,,,,,,0.0%,,0,0,,,,,,,24.0,36%,0.0,0%,8.0,26%
6.0,2024.0,2024-10-13,6.0,6.0,22.121,WAS,@,BAL,L 23-30,,,,,,,0.0%,,0,0,,,,,,,11.0,19%,0.0,0%,9.0,31%
7.0,2024.0,2024-10-20,7.0,7.0,22.128,WAS,,CAR,W 40-7,,2.0,2.0,6.0,3.0,1.0,100.0%,3.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,31.0,45%,0.0,0%,3.0,12%
8.0,2024.0,2024-10-27,8.0,8.0,22.135,WAS,,CHI,W 18-15,,,,,,,0.0%,,0,0,,,,,,,16.0,22%,0.0,0%,14.0,54%
9.0,2024.0,2024-11-03,9.0,9.0,22.142,WAS,@,NYG,W 27-22,*,1.0,1.0,12.0,12.0,0.0,100.0%,12.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,39%,0.0,0%,8.0,36%
10.0,2024.0,2024-11-10,10.0,10.0,22.149,WAS,,PIT,L 27-28,,,,,,,0.0%,,0,0,,,,,,,13.0,20%,0.0,0%,11.0,34%
11.0,2024.0,2024-11-14,11.0,11.0,22.153,WAS,@,PHI,L 18-26,,,,,,,0.0%,,0,0,,,,,,,6.0,9%,0.0,0%,13.0,48%
