Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,24.004,WAS,,LAC,L 16-20,,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,58%,9,39%,
2,2021,2021-09-16,2,2,24.008,WAS,,NYG,W 30-29,,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,75%,16,46%,
3,2021,2021-09-26,3,3,24.018,WAS,@,BUF,L 21-43,,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,61,77%,12,41%,
4,2021,2021-10-03,4,4,,WAS,@,ATL,W 34-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2021,2021-10-10,5,5,24.032,WAS,,NOR,L 22-33,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,12,21%,16,55%,
6,2021,2021-10-17,6,6,24.039,WAS,,KAN,L 13-31,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,49%,11,44%,
7,2021,2021-10-24,7,7,24.046,WAS,@,GNB,L 10-24,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,98%,6,32%,
8,2021,2021-10-31,8,8,24.053,WAS,@,DEN,L 10-17,*,0.0,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,96%,4,21%,
9,2021,2021-11-14,9,10,,WAS,,TAM,W 29-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2021,2021-11-21,10,11,24.074,WAS,@,CAR,W 27-21,,,,,,,,,,,,,,,,,,0,0%,0,0%,5,19%,
11,2021,2021-11-29,11,12,24.082,WAS,,SEA,W 17-15,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,63%,
12,2021,2021-12-05,12,13,,WAS,@,LVR,W 17-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2021,2021-12-12,13,14,,WAS,,DAL,L 20-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2021,2021-12-21,14,15,,WAS,@,PHI,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2021,2021-12-26,15,16,,WAS,@,DAL,L 14-56,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2021,2022-01-02,16,17,,WAS,,PHI,L 16-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2021,2022-01-09,17,18,,WAS,@,NYG,W 22-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2022,2022-09-11,1,1,25.003,WAS,,JAX,W 28-22,*,0.0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,61,87%,5,21%,
19,2022,2022-09-18,2,2,25.010,WAS,@,DET,L 27-36,*,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,42,69%,7,22%,
20,2022,2022-09-25,3,3,25.017,WAS,,PHI,L 8-24,*,0.0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,64,91%,0,0%,
21,2022,2022-10-02,4,4,25.024,WAS,@,DAL,L 10-25,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,43,71%,0,0%,
22,2022,2022-10-09,5,5,25.031,WAS,,TEN,L 17-21,*,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,89%,0,0%,
23,2022,2022-10-13,6,6,25.035,WAS,@,CHI,W 12-7,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,99%,0,0%,
24,2022,2022-10-23,7,7,25.045,WAS,,GNB,W 23-21,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,0,0%,
25,2022,2022-10-30,8,8,25.052,WAS,@,IND,W 17-16,*,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,0,0%,
26,2022,2022-11-06,9,9,25.059,WAS,,MIN,L 17-20,*,1.0,3,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0%,66,100%,0,0%,
27,2022,2022-11-14,10,10,25.067,WAS,@,PHI,W 32-21,*,0.0,6,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,50,100%,0,0%,
28,2022,2022-11-20,11,11,25.073,WAS,@,HOU,W 23-10,*,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,45,80%,0,0%,
29,2022,2022-11-27,12,12,,WAS,,ATL,W 19-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2022,2022-12-04,13,13,,WAS,@,NYG,T 20-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,2022,2022-12-18,14,15,,WAS,,NYG,L 12-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2022,2022-12-24,15,16,25.107,WAS,@,SFO,L 20-37,*,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,44,85%,0,0%,
33,2022,2023-01-01,16,17,,WAS,,CLE,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2022,2023-01-08,17,18,,WAS,,DAL,W 26-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,2023,2023-09-10,1,1,26.002,WAS,,ARI,W 20-16,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,0,0%,
36,2023,2023-09-17,2,2,26.009,WAS,@,DEN,W 35-33,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,66,100%,0,0%,
37,2023,2023-09-24,3,3,26.016,WAS,,BUF,L 3-37,*,0.0,5,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,68,100%,0,0%,
38,2023,2023-10-01,4,4,26.023,WAS,@,PHI,L 31-34,*,0.0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,71,100%,0,0%,
39,2023,2023-10-05,5,5,26.027,WAS,,CHI,L 20-40,*,0.0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,64,100%,0,0%,
40,2023,2023-10-15,6,6,26.037,WAS,@,ATL,W 24-16,*,0.0,5,1,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0%,81,98%,0,0%,
41,2023,2023-10-22,7,7,26.044,WAS,@,NYG,L 7-14,*,0.0,4,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0%,68,100%,0,0%,
42,2023,2023-10-29,8,8,26.051,WAS,,PHI,L 31-38,*,0.0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,100%,0,0%,
43,2023,2023-11-05,9,9,26.058,WAS,@,NWE,W 20-17,*,0.0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0%,64,100%,0,0%,
44,2023,2023-11-12,10,10,26.065,WAS,@,SEA,L 26-29,*,0.0,5,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,81,100%,0,0%,
45,2023,2023-11-19,11,11,26.072,WAS,,NYG,L 19-31,*,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,100%,0,0%,
46,2023,2023-11-23,12,12,26.076,WAS,@,DAL,L 10-45,*,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,0,0%,
47,2023,2023-12-03,13,13,26.086,WAS,,MIA,L 15-45,*,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,61,100%,0,0%,
48,2023,2023-12-17,14,15,26.100,WAS,@,LAR,L 20-28,*,0.0,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0%,75,100%,0,0%,
49,2023,2023-12-24,15,16,26.107,WAS,@,NYJ,L 28-30,*,0.0,2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,67%,0,0%,
50,2023,2023-12-31,16,17,,WAS,,SFO,L 10-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,2023,2024-01-07,17,18,26.121,WAS,,DAL,L 10-38,*,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,71,99%,0,0%,
52,2024,2024-09-08,1,1,27.000,WAS,@,TAM,L 20-37,*,0.0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,64,100%,7,26%,
53,2024,2024-09-15,2,2,27.007,WAS,,NYG,W 21-18,*,0.0,5,1,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0%,56,100%,1,5%,
54,2024,2024-09-23,3,3,27.015,WAS,@,CIN,W 38-33,*,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,0,0%,
55,2024,2024-09-29,4,4,27.021,WAS,@,ARI,W 42-14,*,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,59,100%,2,9%,
56,2024,2024-10-06,5,5,27.028,WAS,,CLE,W 34-13,*,0.0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,58,94%,1,3%,
57,2024,2024-10-13,6,6,27.035,WAS,@,BAL,L 23-30,*,0.0,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,65,96%,0,0%,
58,2024,2024-10-20,7,7,27.042,WAS,,CAR,W 40-7,*,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,35,81%,0,0%,
59,2024,2024-10-27,8,8,27.049,WAS,,CHI,W 18-15,*,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,98%,2,8%,
60,2024,2024-11-03,9,9,27.056,WAS,@,NYG,W 27-22,*,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,64,98%,0,0%,
61,2024,2024-11-10,10,10,27.063,WAS,,PIT,L 27-28,*,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,74,95%,0,0%,
62,2024,2024-11-14,11,11,27.067,WAS,@,PHI,L 18-26,*,0.0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,72%,0,0%,
